group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,199796.0,ns,196158
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,399582.0,ns,392316
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,595280.0,ns,588474
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,799976.0,ns,784632
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,988421.0,ns,980790
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,1190600.0,ns,1176948
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,1384866.0,ns,1373106
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,1589883.0,ns,1569264
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,1782595.0,ns,1765422
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,1971471.0,ns,1961580
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,2175144.0,ns,2157738
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,2373788.0,ns,2353896
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,2572212.0,ns,2550054
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,2767489.0,ns,2746212
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,2965672.0,ns,2942370
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,3157242.0,ns,3138528
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,3348342.0,ns,3334686
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,3546936.0,ns,3530844
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,3752713.0,ns,3727002
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,3943733.0,ns,3923160
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,4138169.0,ns,4119318
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,4341923.0,ns,4315476
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,4538934.0,ns,4511634
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,4743138.0,ns,4707792
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,4949395.0,ns,4903950
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,5126259.0,ns,5100108
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,5332467.0,ns,5296266
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,5525991.0,ns,5492424
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,5720027.0,ns,5688582
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,5932015.0,ns,5884740
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,6119528.0,ns,6080898
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,6317642.0,ns,6277056
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,6511065.0,ns,6473214
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,6713576.0,ns,6669372
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,6914825.0,ns,6865530
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,7120392.0,ns,7061688
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,7295953.0,ns,7257846
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,7482204.0,ns,7454004
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,7690956.0,ns,7650162
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,7879290.0,ns,7846320
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,8086079.0,ns,8042478
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,8345178.0,ns,8238636
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,8467116.0,ns,8434794
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,8657135.0,ns,8630952
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,8854176.0,ns,8827110
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,9059542.0,ns,9023268
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,9250882.0,ns,9219426
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,9451610.0,ns,9415584
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,9647799.0,ns,9611742
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,9842736.0,ns,9807900
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,10038986.0,ns,10004058
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,10233522.0,ns,10200216
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,10432446.0,ns,10396374
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,10625840.0,ns,10592532
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,10816098.0,ns,10788690
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,11016565.0,ns,10984848
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,11214959.0,ns,11181006
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,11409335.0,ns,11377164
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,11584164.0,ns,11573322
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,11774592.0,ns,11769480
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,11979318.0,ns,11965638
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,12151502.0,ns,12161796
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,12362670.0,ns,12357954
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,12551906.0,ns,12554112
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,12762622.0,ns,12750270
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,12952059.0,ns,12946428
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,13161282.0,ns,13142586
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,13322315.0,ns,13338744
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,13536989.0,ns,13534902
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,13742085.0,ns,13731060
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,13916794.0,ns,13927218
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,14106421.0,ns,14123376
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,14322237.0,ns,14319534
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,14504490.0,ns,14515692
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,14706270.0,ns,14711850
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,14898161.0,ns,14908008
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,15089992.0,ns,15104166
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,15280401.0,ns,15300324
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,15478474.0,ns,15496482
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,15668191.0,ns,15692640
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,15870963.0,ns,15888798
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,16074085.0,ns,16084956
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,16296062.0,ns,16281114
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,16459681.0,ns,16477272
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,16640501.0,ns,16673430
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,16865775.0,ns,16869588
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,17062876.0,ns,17065746
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,17277409.0,ns,17261904
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,17475292.0,ns,17458062
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,17671912.0,ns,17654220
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,17856369.0,ns,17850378
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,18056406.0,ns,18046536
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,18284405.0,ns,18242694
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,18429108.0,ns,18438852
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,18631419.0,ns,18635010
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,18807760.0,ns,18831168
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,19024949.0,ns,19027326
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,19199677.0,ns,19223484
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,19398682.0,ns,19419642
distr_low_reject_i32,SmallRng,Canon-Unbiased,,,19589452.0,ns,19615800
