group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,SmallRng,Canon-reduced,,,200778.0,ns,200524
distr_low_reject_i32,SmallRng,Canon-reduced,,,394783.0,ns,401048
distr_low_reject_i32,SmallRng,Canon-reduced,,,595711.0,ns,601572
distr_low_reject_i32,SmallRng,Canon-reduced,,,789516.0,ns,802096
distr_low_reject_i32,SmallRng,Canon-reduced,,,996285.0,ns,1002620
distr_low_reject_i32,SmallRng,Canon-reduced,,,1190571.0,ns,1203144
distr_low_reject_i32,SmallRng,Canon-reduced,,,1384255.0,ns,1403668
distr_low_reject_i32,SmallRng,Canon-reduced,,,1594501.0,ns,1604192
distr_low_reject_i32,SmallRng,Canon-reduced,,,1777786.0,ns,1804716
distr_low_reject_i32,SmallRng,Canon-reduced,,,1981109.0,ns,2005240
distr_low_reject_i32,SmallRng,Canon-reduced,,,2175064.0,ns,2205764
distr_low_reject_i32,SmallRng,Canon-reduced,,,2375602.0,ns,2406288
distr_low_reject_i32,SmallRng,Canon-reduced,,,2568545.0,ns,2606812
distr_low_reject_i32,SmallRng,Canon-reduced,,,2766827.0,ns,2807336
distr_low_reject_i32,SmallRng,Canon-reduced,,,2964149.0,ns,3007860
distr_low_reject_i32,SmallRng,Canon-reduced,,,3168764.0,ns,3208384
distr_low_reject_i32,SmallRng,Canon-reduced,,,3365003.0,ns,3408908
distr_low_reject_i32,SmallRng,Canon-reduced,,,3561954.0,ns,3609432
distr_low_reject_i32,SmallRng,Canon-reduced,,,3760288.0,ns,3809956
distr_low_reject_i32,SmallRng,Canon-reduced,,,3958411.0,ns,4010480
distr_low_reject_i32,SmallRng,Canon-reduced,,,4155722.0,ns,4211004
distr_low_reject_i32,SmallRng,Canon-reduced,,,4353264.0,ns,4411528
distr_low_reject_i32,SmallRng,Canon-reduced,,,4545265.0,ns,4612052
distr_low_reject_i32,SmallRng,Canon-reduced,,,4742697.0,ns,4812576
distr_low_reject_i32,SmallRng,Canon-reduced,,,4939958.0,ns,5013100
distr_low_reject_i32,SmallRng,Canon-reduced,,,5145485.0,ns,5213624
distr_low_reject_i32,SmallRng,Canon-reduced,,,5337646.0,ns,5414148
distr_low_reject_i32,SmallRng,Canon-reduced,,,5532022.0,ns,5614672
distr_low_reject_i32,SmallRng,Canon-reduced,,,5743821.0,ns,5815196
distr_low_reject_i32,SmallRng,Canon-reduced,,,5926986.0,ns,6015720
distr_low_reject_i32,SmallRng,Canon-reduced,,,6116633.0,ns,6216244
distr_low_reject_i32,SmallRng,Canon-reduced,,,6316880.0,ns,6416768
distr_low_reject_i32,SmallRng,Canon-reduced,,,6520432.0,ns,6617292
distr_low_reject_i32,SmallRng,Canon-reduced,,,6719267.0,ns,6817816
distr_low_reject_i32,SmallRng,Canon-reduced,,,6920646.0,ns,7018340
distr_low_reject_i32,SmallRng,Canon-reduced,,,7107788.0,ns,7218864
distr_low_reject_i32,SmallRng,Canon-reduced,,,7301322.0,ns,7419388
distr_low_reject_i32,SmallRng,Canon-reduced,,,7487292.0,ns,7619912
distr_low_reject_i32,SmallRng,Canon-reduced,,,7671480.0,ns,7820436
distr_low_reject_i32,SmallRng,Canon-reduced,,,7882917.0,ns,8020960
distr_low_reject_i32,SmallRng,Canon-reduced,,,8074297.0,ns,8221484
distr_low_reject_i32,SmallRng,Canon-reduced,,,8270417.0,ns,8422008
distr_low_reject_i32,SmallRng,Canon-reduced,,,8470342.0,ns,8622532
distr_low_reject_i32,SmallRng,Canon-reduced,,,8657085.0,ns,8823056
distr_low_reject_i32,SmallRng,Canon-reduced,,,8863132.0,ns,9023580
distr_low_reject_i32,SmallRng,Canon-reduced,,,9052619.0,ns,9224104
distr_low_reject_i32,SmallRng,Canon-reduced,,,9237467.0,ns,9424628
distr_low_reject_i32,SmallRng,Canon-reduced,,,9445859.0,ns,9625152
distr_low_reject_i32,SmallRng,Canon-reduced,,,9644693.0,ns,9825676
distr_low_reject_i32,SmallRng,Canon-reduced,,,9840752.0,ns,10026200
distr_low_reject_i32,SmallRng,Canon-reduced,,,10041921.0,ns,10226724
