group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i32,SmallRng,Old,,,208232.0,ns,177793
distr_low_reject_i32,SmallRng,Old,,,407016.0,ns,355586
distr_low_reject_i32,SmallRng,Old,,,607383.0,ns,533379
distr_low_reject_i32,SmallRng,Old,,,797782.0,ns,711172
distr_low_reject_i32,SmallRng,Old,,,969044.0,ns,888965
distr_low_reject_i32,SmallRng,Old,,,1193537.0,ns,1066758
distr_low_reject_i32,SmallRng,Old,,,1351404.0,ns,1244551
distr_low_reject_i32,SmallRng,Old,,,1545779.0,ns,1422344
distr_low_reject_i32,SmallRng,Old,,,1736879.0,ns,1600137
distr_low_reject_i32,SmallRng,Old,,,2034169.0,ns,1777930
distr_low_reject_i32,SmallRng,Old,,,2203087.0,ns,1955723
distr_low_reject_i32,SmallRng,Old,,,2367176.0,ns,2133516
distr_low_reject_i32,SmallRng,Old,,,2509754.0,ns,2311309
distr_low_reject_i32,SmallRng,Old,,,2741089.0,ns,2489102
distr_low_reject_i32,SmallRng,Old,,,2928101.0,ns,2666895
distr_low_reject_i32,SmallRng,Old,,,3143557.0,ns,2844688
distr_low_reject_i32,SmallRng,Old,,,3333495.0,ns,3022481
distr_low_reject_i32,SmallRng,Old,,,3501110.0,ns,3200274
distr_low_reject_i32,SmallRng,Old,,,3715844.0,ns,3378067
distr_low_reject_i32,SmallRng,Old,,,3888209.0,ns,3555860
distr_low_reject_i32,SmallRng,Old,,,4121017.0,ns,3733653
distr_low_reject_i32,SmallRng,Old,,,4335591.0,ns,3911446
distr_low_reject_i32,SmallRng,Old,,,4504689.0,ns,4089239
distr_low_reject_i32,SmallRng,Old,,,4673928.0,ns,4267032
distr_low_reject_i32,SmallRng,Old,,,4838898.0,ns,4444825
distr_low_reject_i32,SmallRng,Old,,,5095100.0,ns,4622618
distr_low_reject_i32,SmallRng,Old,,,5256985.0,ns,4800411
distr_low_reject_i32,SmallRng,Old,,,5483801.0,ns,4978204
distr_low_reject_i32,SmallRng,Old,,,5672477.0,ns,5155997
distr_low_reject_i32,SmallRng,Old,,,5848789.0,ns,5333790
distr_low_reject_i32,SmallRng,Old,,,6053615.0,ns,5511583
distr_low_reject_i32,SmallRng,Old,,,6223083.0,ns,5689376
distr_low_reject_i32,SmallRng,Old,,,6424172.0,ns,5867169
distr_low_reject_i32,SmallRng,Old,,,6632363.0,ns,6044962
distr_low_reject_i32,SmallRng,Old,,,6815107.0,ns,6222755
distr_low_reject_i32,SmallRng,Old,,,7014843.0,ns,6400548
distr_low_reject_i32,SmallRng,Old,,,7176467.0,ns,6578341
distr_low_reject_i32,SmallRng,Old,,,7451555.0,ns,6756134
distr_low_reject_i32,SmallRng,Old,,,7613881.0,ns,6933927
distr_low_reject_i32,SmallRng,Old,,,7806273.0,ns,7111720
distr_low_reject_i32,SmallRng,Old,,,7962166.0,ns,7289513
distr_low_reject_i32,SmallRng,Old,,,8195956.0,ns,7467306
distr_low_reject_i32,SmallRng,Old,,,8356619.0,ns,7645099
distr_low_reject_i32,SmallRng,Old,,,8505629.0,ns,7822892
distr_low_reject_i32,SmallRng,Old,,,8755640.0,ns,8000685
distr_low_reject_i32,SmallRng,Old,,,8984761.0,ns,8178478
distr_low_reject_i32,SmallRng,Old,,,9152156.0,ns,8356271
distr_low_reject_i32,SmallRng,Old,,,9401335.0,ns,8534064
distr_low_reject_i32,SmallRng,Old,,,9542200.0,ns,8711857
distr_low_reject_i32,SmallRng,Old,,,9726377.0,ns,8889650
distr_low_reject_i32,SmallRng,Old,,,9943295.0,ns,9067443
distr_low_reject_i32,SmallRng,Old,,,10107705.0,ns,9245236
distr_low_reject_i32,SmallRng,Old,,,10222400.0,ns,9423029
distr_low_reject_i32,SmallRng,Old,,,10454017.0,ns,9600822
distr_low_reject_i32,SmallRng,Old,,,10782085.0,ns,9778615
distr_low_reject_i32,SmallRng,Old,,,10953576.0,ns,9956408
distr_low_reject_i32,SmallRng,Old,,,11088952.0,ns,10134201
distr_low_reject_i32,SmallRng,Old,,,11274391.0,ns,10311994
distr_low_reject_i32,SmallRng,Old,,,11460361.0,ns,10489787
distr_low_reject_i32,SmallRng,Old,,,11671698.0,ns,10667580
distr_low_reject_i32,SmallRng,Old,,,11829515.0,ns,10845373
distr_low_reject_i32,SmallRng,Old,,,12109392.0,ns,11023166
distr_low_reject_i32,SmallRng,Old,,,12255047.0,ns,11200959
distr_low_reject_i32,SmallRng,Old,,,12370454.0,ns,11378752
distr_low_reject_i32,SmallRng,Old,,,12603753.0,ns,11556545
distr_low_reject_i32,SmallRng,Old,,,12826322.0,ns,11734338
distr_low_reject_i32,SmallRng,Old,,,12998156.0,ns,11912131
distr_low_reject_i32,SmallRng,Old,,,13318939.0,ns,12089924
distr_low_reject_i32,SmallRng,Old,,,13350708.0,ns,12267717
distr_low_reject_i32,SmallRng,Old,,,13579910.0,ns,12445510
distr_low_reject_i32,SmallRng,Old,,,13850489.0,ns,12623303
distr_low_reject_i32,SmallRng,Old,,,14080833.0,ns,12801096
distr_low_reject_i32,SmallRng,Old,,,14186151.0,ns,12978889
distr_low_reject_i32,SmallRng,Old,,,14449908.0,ns,13156682
distr_low_reject_i32,SmallRng,Old,,,14603797.0,ns,13334475
distr_low_reject_i32,SmallRng,Old,,,14795639.0,ns,13512268
distr_low_reject_i32,SmallRng,Old,,,14936984.0,ns,13690061
distr_low_reject_i32,SmallRng,Old,,,15110291.0,ns,13867854
