group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,Canon-Lemire,SmallRng,,,990495.0,ns,992306
distr_low_reject_i64,Canon-Lemire,SmallRng,,,1979937.0,ns,1984612
distr_low_reject_i64,Canon-Lemire,SmallRng,,,2967506.0,ns,2976918
distr_low_reject_i64,Canon-Lemire,SmallRng,,,3957651.0,ns,3969224
distr_low_reject_i64,Canon-Lemire,SmallRng,,,4958346.0,ns,4961530
distr_low_reject_i64,Canon-Lemire,SmallRng,,,5940594.0,ns,5953836
distr_low_reject_i64,Canon-Lemire,SmallRng,,,6923264.0,ns,6946142
distr_low_reject_i64,Canon-Lemire,SmallRng,,,7922605.0,ns,7938448
distr_low_reject_i64,Canon-Lemire,SmallRng,,,8922328.0,ns,8930754
distr_low_reject_i64,Canon-Lemire,SmallRng,,,9896091.0,ns,9923060
distr_low_reject_i64,Canon-Lemire,SmallRng,,,10879743.0,ns,10915366
distr_low_reject_i64,Canon-Lemire,SmallRng,,,11888642.0,ns,11907672
distr_low_reject_i64,Canon-Lemire,SmallRng,,,12877955.0,ns,12899978
distr_low_reject_i64,Canon-Lemire,SmallRng,,,13872878.0,ns,13892284
distr_low_reject_i64,Canon-Lemire,SmallRng,,,14852282.0,ns,14884590
distr_low_reject_i64,Canon-Lemire,SmallRng,,,15836045.0,ns,15876896
distr_low_reject_i64,Canon-Lemire,SmallRng,,,16819406.0,ns,16869202
distr_low_reject_i64,Canon-Lemire,SmallRng,,,17817374.0,ns,17861508
distr_low_reject_i64,Canon-Lemire,SmallRng,,,18801206.0,ns,18853814
distr_low_reject_i64,Canon-Lemire,SmallRng,,,19798033.0,ns,19846120
distr_low_reject_i64,Canon-Lemire,SmallRng,,,20785682.0,ns,20838426
distr_low_reject_i64,Canon-Lemire,SmallRng,,,21775176.0,ns,21830732
distr_low_reject_i64,Canon-Lemire,SmallRng,,,22751213.0,ns,22823038
distr_low_reject_i64,Canon-Lemire,SmallRng,,,23742710.0,ns,23815344
distr_low_reject_i64,Canon-Lemire,SmallRng,,,24734216.0,ns,24807650
distr_low_reject_i64,Canon-Lemire,SmallRng,,,25720643.0,ns,25799956
distr_low_reject_i64,Canon-Lemire,SmallRng,,,26709155.0,ns,26792262
distr_low_reject_i64,Canon-Lemire,SmallRng,,,27703717.0,ns,27784568
distr_low_reject_i64,Canon-Lemire,SmallRng,,,28689212.0,ns,28776874
distr_low_reject_i64,Canon-Lemire,SmallRng,,,29687642.0,ns,29769180
distr_low_reject_i64,Canon-Lemire,SmallRng,,,30664221.0,ns,30761486
distr_low_reject_i64,Canon-Lemire,SmallRng,,,31703677.0,ns,31753792
distr_low_reject_i64,Canon-Lemire,SmallRng,,,32661320.0,ns,32746098
distr_low_reject_i64,Canon-Lemire,SmallRng,,,33675229.0,ns,33738404
distr_low_reject_i64,Canon-Lemire,SmallRng,,,34680021.0,ns,34730710
distr_low_reject_i64,Canon-Lemire,SmallRng,,,35615872.0,ns,35723016
distr_low_reject_i64,Canon-Lemire,SmallRng,,,36626576.0,ns,36715322
distr_low_reject_i64,Canon-Lemire,SmallRng,,,37578087.0,ns,37707628
distr_low_reject_i64,Canon-Lemire,SmallRng,,,38568853.0,ns,38699934
distr_low_reject_i64,Canon-Lemire,SmallRng,,,39555139.0,ns,39692240
distr_low_reject_i64,Canon-Lemire,SmallRng,,,40531648.0,ns,40684546
distr_low_reject_i64,Canon-Lemire,SmallRng,,,41513426.0,ns,41676852
distr_low_reject_i64,Canon-Lemire,SmallRng,,,42508990.0,ns,42669158
distr_low_reject_i64,Canon-Lemire,SmallRng,,,43490558.0,ns,43661464
distr_low_reject_i64,Canon-Lemire,SmallRng,,,44488106.0,ns,44653770
distr_low_reject_i64,Canon-Lemire,SmallRng,,,45490393.0,ns,45646076
distr_low_reject_i64,Canon-Lemire,SmallRng,,,46549567.0,ns,46638382
distr_low_reject_i64,Canon-Lemire,SmallRng,,,47511349.0,ns,47630688
distr_low_reject_i64,Canon-Lemire,SmallRng,,,48478990.0,ns,48622994
distr_low_reject_i64,Canon-Lemire,SmallRng,,,49451871.0,ns,49615300
