group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,196821.0,ns,113139
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,393391.0,ns,226278
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,592876.0,ns,339417
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,787623.0,ns,452556
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,984123.0,ns,565695
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,1185211.0,ns,678834
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,1379366.0,ns,791973
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,1583490.0,ns,905112
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,1772616.0,ns,1018251
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,1995195.0,ns,1131390
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,2183279.0,ns,1244529
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,2379979.0,ns,1357668
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,2572211.0,ns,1470807
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,2768110.0,ns,1583946
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,2949020.0,ns,1697085
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,3155149.0,ns,1810224
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,3351929.0,ns,1923363
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,3561243.0,ns,2036502
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,3759786.0,ns,2149641
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,3943262.0,ns,2262780
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,4156403.0,ns,2375919
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,4344026.0,ns,2489058
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,4545114.0,ns,2602197
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,4740453.0,ns,2715336
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,4939718.0,ns,2828475
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,5139874.0,ns,2941614
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,5339771.0,ns,3054753
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,5536080.0,ns,3167892
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,5732770.0,ns,3281031
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,5934029.0,ns,3394170
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,6114729.0,ns,3507309
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,6301190.0,ns,3620448
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,6508200.0,ns,3733587
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,6706123.0,ns,3846726
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,6909335.0,ns,3959865
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,7122055.0,ns,4073004
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,7316701.0,ns,4186143
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,7492602.0,ns,4299282
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,7674796.0,ns,4412421
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,7903887.0,ns,4525560
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,8089957.0,ns,4638699
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,8270958.0,ns,4751838
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,8478989.0,ns,4864977
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,8691169.0,ns,4978116
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,8860287.0,ns,5091255
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,9044884.0,ns,5204394
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,9262664.0,ns,5317533
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,9443525.0,ns,5430672
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,9661375.0,ns,5543811
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,9867833.0,ns,5656950
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,10039196.0,ns,5770089
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,10263749.0,ns,5883228
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,10426795.0,ns,5996367
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,10624267.0,ns,6109506
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,10820266.0,ns,6222645
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,11041733.0,ns,6335784
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,11232853.0,ns,6448923
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,11398315.0,ns,6562062
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,11619080.0,ns,6675201
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,11832412.0,ns,6788340
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,12029622.0,ns,6901479
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,12227244.0,ns,7014618
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,12418975.0,ns,7127757
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,12570220.0,ns,7240896
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,12781618.0,ns,7354035
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,12967998.0,ns,7467174
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,13184856.0,ns,7580313
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,13356329.0,ns,7693452
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,13555454.0,ns,7806591
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,13793923.0,ns,7919730
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,13970616.0,ns,8032869
distr_low_reject_i64,ChaCha8Rng,Bitmask,,,14163919.0,ns,8146008
