group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,198133.0,ns,118109
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,392168.0,ns,236218
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,593557.0,ns,354327
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,791570.0,ns,472436
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,983161.0,ns,590545
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,1190390.0,ns,708654
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,1384946.0,ns,826763
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,1586496.0,ns,944872
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,1776534.0,ns,1062981
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,1971771.0,ns,1181090
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,2182218.0,ns,1299199
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,2368909.0,ns,1417308
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,2575838.0,ns,1535417
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,2774682.0,ns,1653526
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,2961183.0,ns,1771635
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,3164376.0,ns,1889744
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,3358571.0,ns,2007853
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,3545263.0,ns,2125962
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,3750238.0,ns,2244071
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,3980412.0,ns,2362180
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,4138599.0,ns,2480289
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,4326453.0,ns,2598398
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,4520969.0,ns,2716507
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,4733118.0,ns,2834616
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,4957602.0,ns,2952725
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,5119697.0,ns,3070834
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,5324222.0,ns,3188943
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,5500623.0,ns,3307052
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,5717041.0,ns,3425161
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,5926045.0,ns,3543270
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,6117675.0,ns,3661379
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,6286973.0,ns,3779488
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,6498922.0,ns,3897597
distr_low_reject_i64,ChaCha8Rng,Canon-reduced,,,6701303.0,ns,4015706
