group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,ChaCha8Rng,Lemire,,,196690.0,ns,105131
distr_low_reject_i64,ChaCha8Rng,Lemire,,,395534.0,ns,210262
distr_low_reject_i64,ChaCha8Rng,Lemire,,,591694.0,ns,315393
distr_low_reject_i64,ChaCha8Rng,Lemire,,,789646.0,ns,420524
distr_low_reject_i64,ChaCha8Rng,Lemire,,,987378.0,ns,525655
distr_low_reject_i64,ChaCha8Rng,Lemire,,,1187876.0,ns,630786
distr_low_reject_i64,ChaCha8Rng,Lemire,,,1382723.0,ns,735917
distr_low_reject_i64,ChaCha8Rng,Lemire,,,1576838.0,ns,841048
distr_low_reject_i64,ChaCha8Rng,Lemire,,,1788346.0,ns,946179
distr_low_reject_i64,ChaCha8Rng,Lemire,,,1976951.0,ns,1051310
distr_low_reject_i64,ChaCha8Rng,Lemire,,,2171518.0,ns,1156441
distr_low_reject_i64,ChaCha8Rng,Lemire,,,2370542.0,ns,1261572
distr_low_reject_i64,ChaCha8Rng,Lemire,,,2571149.0,ns,1366703
distr_low_reject_i64,ChaCha8Rng,Lemire,,,2757831.0,ns,1471834
distr_low_reject_i64,ChaCha8Rng,Lemire,,,2977014.0,ns,1576965
distr_low_reject_i64,ChaCha8Rng,Lemire,,,3159196.0,ns,1682096
distr_low_reject_i64,ChaCha8Rng,Lemire,,,3354514.0,ns,1787227
distr_low_reject_i64,ChaCha8Rng,Lemire,,,3566192.0,ns,1892358
distr_low_reject_i64,ChaCha8Rng,Lemire,,,3747223.0,ns,1997489
distr_low_reject_i64,ChaCha8Rng,Lemire,,,3952500.0,ns,2102620
distr_low_reject_i64,ChaCha8Rng,Lemire,,,4142588.0,ns,2207751
distr_low_reject_i64,ChaCha8Rng,Lemire,,,4358494.0,ns,2312882
distr_low_reject_i64,ChaCha8Rng,Lemire,,,4558079.0,ns,2418013
distr_low_reject_i64,ChaCha8Rng,Lemire,,,4754820.0,ns,2523144
distr_low_reject_i64,ChaCha8Rng,Lemire,,,4935840.0,ns,2628275
distr_low_reject_i64,ChaCha8Rng,Lemire,,,5142269.0,ns,2733406
distr_low_reject_i64,ChaCha8Rng,Lemire,,,5327588.0,ns,2838537
distr_low_reject_i64,ChaCha8Rng,Lemire,,,5531953.0,ns,2943668
distr_low_reject_i64,ChaCha8Rng,Lemire,,,5719546.0,ns,3048799
distr_low_reject_i64,ChaCha8Rng,Lemire,,,5927066.0,ns,3153930
distr_low_reject_i64,ChaCha8Rng,Lemire,,,6142572.0,ns,3259061
distr_low_reject_i64,ChaCha8Rng,Lemire,,,6318002.0,ns,3364192
distr_low_reject_i64,ChaCha8Rng,Lemire,,,6495666.0,ns,3469323
distr_low_reject_i64,ChaCha8Rng,Lemire,,,6710851.0,ns,3574454
distr_low_reject_i64,ChaCha8Rng,Lemire,,,6904465.0,ns,3679585
distr_low_reject_i64,ChaCha8Rng,Lemire,,,7089724.0,ns,3784716
distr_low_reject_i64,ChaCha8Rng,Lemire,,,7289120.0,ns,3889847
distr_low_reject_i64,ChaCha8Rng,Lemire,,,7467546.0,ns,3994978
distr_low_reject_i64,ChaCha8Rng,Lemire,,,7667382.0,ns,4100109
distr_low_reject_i64,ChaCha8Rng,Lemire,,,7882877.0,ns,4205240
distr_low_reject_i64,ChaCha8Rng,Lemire,,,8063857.0,ns,4310371
distr_low_reject_i64,ChaCha8Rng,Lemire,,,8266559.0,ns,4415502
distr_low_reject_i64,ChaCha8Rng,Lemire,,,8457749.0,ns,4520633
distr_low_reject_i64,ChaCha8Rng,Lemire,,,8641535.0,ns,4625764
distr_low_reject_i64,ChaCha8Rng,Lemire,,,8855558.0,ns,4730895
distr_low_reject_i64,ChaCha8Rng,Lemire,,,9014949.0,ns,4836026
distr_low_reject_i64,ChaCha8Rng,Lemire,,,9229902.0,ns,4941157
distr_low_reject_i64,ChaCha8Rng,Lemire,,,9437093.0,ns,5046288
distr_low_reject_i64,ChaCha8Rng,Lemire,,,9635507.0,ns,5151419
distr_low_reject_i64,ChaCha8Rng,Lemire,,,9836464.0,ns,5256550
distr_low_reject_i64,ChaCha8Rng,Lemire,,,10027955.0,ns,5361681
distr_low_reject_i64,ChaCha8Rng,Lemire,,,10245874.0,ns,5466812
distr_low_reject_i64,ChaCha8Rng,Lemire,,,10431064.0,ns,5571943
distr_low_reject_i64,ChaCha8Rng,Lemire,,,10607827.0,ns,5677074
distr_low_reject_i64,ChaCha8Rng,Lemire,,,10811420.0,ns,5782205
distr_low_reject_i64,ChaCha8Rng,Lemire,,,11009993.0,ns,5887336
distr_low_reject_i64,ChaCha8Rng,Lemire,,,11196164.0,ns,5992467
distr_low_reject_i64,ChaCha8Rng,Lemire,,,11401560.0,ns,6097598
distr_low_reject_i64,ChaCha8Rng,Lemire,,,11585066.0,ns,6202729
distr_low_reject_i64,ChaCha8Rng,Lemire,,,11790092.0,ns,6307860
distr_low_reject_i64,ChaCha8Rng,Lemire,,,12003402.0,ns,6412991
distr_low_reject_i64,ChaCha8Rng,Lemire,,,12166200.0,ns,6518122
distr_low_reject_i64,ChaCha8Rng,Lemire,,,12370554.0,ns,6623253
distr_low_reject_i64,ChaCha8Rng,Lemire,,,12569178.0,ns,6728384
distr_low_reject_i64,ChaCha8Rng,Lemire,,,12832965.0,ns,6833515
distr_low_reject_i64,ChaCha8Rng,Lemire,,,12954713.0,ns,6938646
distr_low_reject_i64,ChaCha8Rng,Lemire,,,13178305.0,ns,7043777
distr_low_reject_i64,ChaCha8Rng,Lemire,,,13375245.0,ns,7148908
distr_low_reject_i64,ChaCha8Rng,Lemire,,,13575973.0,ns,7254039
distr_low_reject_i64,ChaCha8Rng,Lemire,,,13772343.0,ns,7359170
distr_low_reject_i64,ChaCha8Rng,Lemire,,,13958162.0,ns,7464301
distr_low_reject_i64,ChaCha8Rng,Lemire,,,14137790.0,ns,7569432
distr_low_reject_i64,ChaCha8Rng,Lemire,,,14347174.0,ns,7674563
distr_low_reject_i64,ChaCha8Rng,Lemire,,,14556338.0,ns,7779694
distr_low_reject_i64,ChaCha8Rng,Lemire,,,14840303.0,ns,7884825
