group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,ChaCha8Rng,Old,,,195358.0,ns,93300
distr_low_reject_i64,ChaCha8Rng,Old,,,393621.0,ns,186600
distr_low_reject_i64,ChaCha8Rng,Old,,,591303.0,ns,279900
distr_low_reject_i64,ChaCha8Rng,Old,,,785759.0,ns,373200
distr_low_reject_i64,ChaCha8Rng,Old,,,990955.0,ns,466500
distr_low_reject_i64,ChaCha8Rng,Old,,,1187385.0,ns,559800
distr_low_reject_i64,ChaCha8Rng,Old,,,1385187.0,ns,653100
distr_low_reject_i64,ChaCha8Rng,Old,,,1587468.0,ns,746400
distr_low_reject_i64,ChaCha8Rng,Old,,,1764531.0,ns,839700
distr_low_reject_i64,ChaCha8Rng,Old,,,1970089.0,ns,933000
distr_low_reject_i64,ChaCha8Rng,Old,,,2170315.0,ns,1026300
distr_low_reject_i64,ChaCha8Rng,Old,,,2356705.0,ns,1119600
distr_low_reject_i64,ChaCha8Rng,Old,,,2554108.0,ns,1212900
distr_low_reject_i64,ChaCha8Rng,Old,,,2759154.0,ns,1306200
distr_low_reject_i64,ChaCha8Rng,Old,,,2955964.0,ns,1399500
distr_low_reject_i64,ChaCha8Rng,Old,,,3167962.0,ns,1492800
distr_low_reject_i64,ChaCha8Rng,Old,,,3372728.0,ns,1586100
distr_low_reject_i64,ChaCha8Rng,Old,,,3554710.0,ns,1679400
distr_low_reject_i64,ChaCha8Rng,Old,,,3743877.0,ns,1772700
distr_low_reject_i64,ChaCha8Rng,Old,,,3970643.0,ns,1866000
distr_low_reject_i64,ChaCha8Rng,Old,,,4170700.0,ns,1959300
distr_low_reject_i64,ChaCha8Rng,Old,,,4336662.0,ns,2052600
distr_low_reject_i64,ChaCha8Rng,Old,,,4521951.0,ns,2145900
distr_low_reject_i64,ChaCha8Rng,Old,,,4715094.0,ns,2239200
distr_low_reject_i64,ChaCha8Rng,Old,,,4938065.0,ns,2332500
distr_low_reject_i64,ChaCha8Rng,Old,,,5115980.0,ns,2425800
distr_low_reject_i64,ChaCha8Rng,Old,,,5327868.0,ns,2519100
distr_low_reject_i64,ChaCha8Rng,Old,,,5535940.0,ns,2612400
distr_low_reject_i64,ChaCha8Rng,Old,,,5700189.0,ns,2705700
distr_low_reject_i64,ChaCha8Rng,Old,,,5901508.0,ns,2799000
distr_low_reject_i64,ChaCha8Rng,Old,,,6098539.0,ns,2892300
distr_low_reject_i64,ChaCha8Rng,Old,,,6308614.0,ns,2985600
distr_low_reject_i64,ChaCha8Rng,Old,,,6531643.0,ns,3078900
distr_low_reject_i64,ChaCha8Rng,Old,,,6690052.0,ns,3172200
distr_low_reject_i64,ChaCha8Rng,Old,,,6890660.0,ns,3265500
distr_low_reject_i64,ChaCha8Rng,Old,,,7064006.0,ns,3358800
distr_low_reject_i64,ChaCha8Rng,Old,,,7256548.0,ns,3452100
distr_low_reject_i64,ChaCha8Rng,Old,,,7440434.0,ns,3545400
distr_low_reject_i64,ChaCha8Rng,Old,,,7655519.0,ns,3638700
distr_low_reject_i64,ChaCha8Rng,Old,,,7828284.0,ns,3732000
distr_low_reject_i64,ChaCha8Rng,Old,,,8003113.0,ns,3825300
distr_low_reject_i64,ChaCha8Rng,Old,,,8243396.0,ns,3918600
distr_low_reject_i64,ChaCha8Rng,Old,,,8471575.0,ns,4011900
distr_low_reject_i64,ChaCha8Rng,Old,,,8649210.0,ns,4105200
distr_low_reject_i64,ChaCha8Rng,Old,,,8796096.0,ns,4198500
distr_low_reject_i64,ChaCha8Rng,Old,,,9034125.0,ns,4291800
distr_low_reject_i64,ChaCha8Rng,Old,,,9225925.0,ns,4385100
distr_low_reject_i64,ChaCha8Rng,Old,,,9432173.0,ns,4478400
distr_low_reject_i64,ChaCha8Rng,Old,,,9614627.0,ns,4571700
distr_low_reject_i64,ChaCha8Rng,Old,,,9816297.0,ns,4665000
distr_low_reject_i64,ChaCha8Rng,Old,,,10014960.0,ns,4758300
distr_low_reject_i64,ChaCha8Rng,Old,,,10201582.0,ns,4851600
distr_low_reject_i64,ChaCha8Rng,Old,,,10425173.0,ns,4944900
distr_low_reject_i64,ChaCha8Rng,Old,,,10613066.0,ns,5038200
distr_low_reject_i64,ChaCha8Rng,Old,,,10776864.0,ns,5131500
distr_low_reject_i64,ChaCha8Rng,Old,,,10985276.0,ns,5224800
distr_low_reject_i64,ChaCha8Rng,Old,,,11152802.0,ns,5318100
distr_low_reject_i64,ChaCha8Rng,Old,,,11386091.0,ns,5411400
distr_low_reject_i64,ChaCha8Rng,Old,,,11560219.0,ns,5504700
distr_low_reject_i64,ChaCha8Rng,Old,,,11789540.0,ns,5598000
distr_low_reject_i64,ChaCha8Rng,Old,,,11927760.0,ns,5691300
distr_low_reject_i64,ChaCha8Rng,Old,,,12169415.0,ns,5784600
distr_low_reject_i64,ChaCha8Rng,Old,,,12366597.0,ns,5877900
distr_low_reject_i64,ChaCha8Rng,Old,,,12562095.0,ns,5971200
distr_low_reject_i64,ChaCha8Rng,Old,,,12743767.0,ns,6064500
distr_low_reject_i64,ChaCha8Rng,Old,,,12924908.0,ns,6157800
distr_low_reject_i64,ChaCha8Rng,Old,,,13075902.0,ns,6251100
distr_low_reject_i64,ChaCha8Rng,Old,,,13331272.0,ns,6344400
distr_low_reject_i64,ChaCha8Rng,Old,,,13510239.0,ns,6437700
distr_low_reject_i64,ChaCha8Rng,Old,,,13695147.0,ns,6531000
distr_low_reject_i64,ChaCha8Rng,Old,,,13897488.0,ns,6624300
distr_low_reject_i64,ChaCha8Rng,Old,,,14241576.0,ns,6717600
distr_low_reject_i64,ChaCha8Rng,Old,,,14318200.0,ns,6810900
distr_low_reject_i64,ChaCha8Rng,Old,,,14552481.0,ns,6904200
distr_low_reject_i64,ChaCha8Rng,Old,,,14737900.0,ns,6997500
distr_low_reject_i64,ChaCha8Rng,Old,,,14894585.0,ns,7090800
distr_low_reject_i64,ChaCha8Rng,Old,,,15147260.0,ns,7184100
distr_low_reject_i64,ChaCha8Rng,Old,,,15338921.0,ns,7277400
distr_low_reject_i64,ChaCha8Rng,Old,,,15472773.0,ns,7370700
distr_low_reject_i64,ChaCha8Rng,Old,,,15749234.0,ns,7464000
distr_low_reject_i64,ChaCha8Rng,Old,,,15922930.0,ns,7557300
distr_low_reject_i64,ChaCha8Rng,Old,,,16095144.0,ns,7650600
distr_low_reject_i64,ChaCha8Rng,Old,,,16377055.0,ns,7743900
distr_low_reject_i64,ChaCha8Rng,Old,,,16530314.0,ns,7837200
distr_low_reject_i64,ChaCha8Rng,Old,,,16704422.0,ns,7930500
distr_low_reject_i64,ChaCha8Rng,Old,,,16879782.0,ns,8023800
distr_low_reject_i64,ChaCha8Rng,Old,,,17028491.0,ns,8117100
distr_low_reject_i64,ChaCha8Rng,Old,,,17267521.0,ns,8210400
distr_low_reject_i64,ChaCha8Rng,Old,,,17460375.0,ns,8303700
distr_low_reject_i64,ChaCha8Rng,Old,,,17660331.0,ns,8397000
distr_low_reject_i64,ChaCha8Rng,Old,,,17931581.0,ns,8490300
distr_low_reject_i64,ChaCha8Rng,Old,,,18097854.0,ns,8583600
distr_low_reject_i64,ChaCha8Rng,Old,,,18258205.0,ns,8676900
distr_low_reject_i64,ChaCha8Rng,Old,,,18444035.0,ns,8770200
distr_low_reject_i64,ChaCha8Rng,Old,,,18594078.0,ns,8863500
distr_low_reject_i64,ChaCha8Rng,Old,,,18767504.0,ns,8956800
distr_low_reject_i64,ChaCha8Rng,Old,,,19025299.0,ns,9050100
distr_low_reject_i64,ChaCha8Rng,Old,,,19259931.0,ns,9143400
distr_low_reject_i64,ChaCha8Rng,Old,,,19389395.0,ns,9236700
distr_low_reject_i64,ChaCha8Rng,Old,,,19618106.0,ns,9330000
