group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,Lemire,SmallRng,,,985676.0,ns,1034996
distr_low_reject_i64,Lemire,SmallRng,,,1970951.0,ns,2069992
distr_low_reject_i64,Lemire,SmallRng,,,2962047.0,ns,3104988
distr_low_reject_i64,Lemire,SmallRng,,,3936211.0,ns,4139984
distr_low_reject_i64,Lemire,SmallRng,,,4988021.0,ns,5174980
distr_low_reject_i64,Lemire,SmallRng,,,5934452.0,ns,6209976
distr_low_reject_i64,Lemire,SmallRng,,,6943572.0,ns,7244972
distr_low_reject_i64,Lemire,SmallRng,,,7907788.0,ns,8279968
distr_low_reject_i64,Lemire,SmallRng,,,8898022.0,ns,9314964
distr_low_reject_i64,Lemire,SmallRng,,,9874070.0,ns,10349960
distr_low_reject_i64,Lemire,SmallRng,,,10862921.0,ns,11384956
distr_low_reject_i64,Lemire,SmallRng,,,11896056.0,ns,12419952
distr_low_reject_i64,Lemire,SmallRng,,,12912119.0,ns,13454948
distr_low_reject_i64,Lemire,SmallRng,,,13835688.0,ns,14489944
distr_low_reject_i64,Lemire,SmallRng,,,14883210.0,ns,15524940
distr_low_reject_i64,Lemire,SmallRng,,,16026883.0,ns,16559936
distr_low_reject_i64,Lemire,SmallRng,,,16856836.0,ns,17594932
distr_low_reject_i64,Lemire,SmallRng,,,17848573.0,ns,18629928
distr_low_reject_i64,Lemire,SmallRng,,,18858665.0,ns,19664924
distr_low_reject_i64,Lemire,SmallRng,,,19829893.0,ns,20699920
distr_low_reject_i64,Lemire,SmallRng,,,20748713.0,ns,21734916
distr_low_reject_i64,Lemire,SmallRng,,,21856599.0,ns,22769912
distr_low_reject_i64,Lemire,SmallRng,,,22738880.0,ns,23804908
distr_low_reject_i64,Lemire,SmallRng,,,23804396.0,ns,24839904
distr_low_reject_i64,Lemire,SmallRng,,,24838171.0,ns,25874900
distr_low_reject_i64,Lemire,SmallRng,,,25787269.0,ns,26909896
distr_low_reject_i64,Lemire,SmallRng,,,26712721.0,ns,27944892
distr_low_reject_i64,Lemire,SmallRng,,,27759321.0,ns,28979888
distr_low_reject_i64,Lemire,SmallRng,,,28694652.0,ns,30014884
distr_low_reject_i64,Lemire,SmallRng,,,29765168.0,ns,31049880
distr_low_reject_i64,Lemire,SmallRng,,,30760803.0,ns,32084876
distr_low_reject_i64,Lemire,SmallRng,,,31700972.0,ns,33119872
distr_low_reject_i64,Lemire,SmallRng,,,32741592.0,ns,34154868
distr_low_reject_i64,Lemire,SmallRng,,,33724712.0,ns,35189864
distr_low_reject_i64,Lemire,SmallRng,,,34751546.0,ns,36224860
distr_low_reject_i64,Lemire,SmallRng,,,35802053.0,ns,37259856
distr_low_reject_i64,Lemire,SmallRng,,,36794482.0,ns,38294852
distr_low_reject_i64,Lemire,SmallRng,,,37642298.0,ns,39329848
distr_low_reject_i64,Lemire,SmallRng,,,38628866.0,ns,40364844
distr_low_reject_i64,Lemire,SmallRng,,,39605514.0,ns,41399840
distr_low_reject_i64,Lemire,SmallRng,,,40555853.0,ns,42434836
distr_low_reject_i64,Lemire,SmallRng,,,41532181.0,ns,43469832
distr_low_reject_i64,Lemire,SmallRng,,,42541521.0,ns,44504828
distr_low_reject_i64,Lemire,SmallRng,,,43516858.0,ns,45539824
distr_low_reject_i64,Lemire,SmallRng,,,44523483.0,ns,46574820
distr_low_reject_i64,Lemire,SmallRng,,,45469915.0,ns,47609816
