group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,196901.0,ns,90699
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,395264.0,ns,181398
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,590671.0,ns,272097
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,788775.0,ns,362796
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,985525.0,ns,453495
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,1182526.0,ns,544194
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,1380679.0,ns,634893
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,1576297.0,ns,725592
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,1773528.0,ns,816291
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,1966802.0,ns,906990
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,2168712.0,ns,997689
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,2366305.0,ns,1088388
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,2556973.0,ns,1179087
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,2760456.0,ns,1269786
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,2957506.0,ns,1360485
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,3154257.0,ns,1451184
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,3351098.0,ns,1541883
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,3549341.0,ns,1632582
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,3746521.0,ns,1723281
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,3943703.0,ns,1813980
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,4140252.0,ns,1904679
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,4336823.0,ns,1995378
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,4535076.0,ns,2086077
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,4724913.0,ns,2176776
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,4927384.0,ns,2267475
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,5121439.0,ns,2358174
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,5318140.0,ns,2448873
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,5519059.0,ns,2539572
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,5716440.0,ns,2630271
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,5907018.0,ns,2720970
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,6096164.0,ns,2811669
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,6301491.0,ns,2902368
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,6498161.0,ns,2993067
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,6687737.0,ns,3083766
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,6888135.0,ns,3174465
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,7062133.0,ns,3265164
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,7266297.0,ns,3355863
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,7458459.0,ns,3446562
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,7652404.0,ns,3537261
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,7843023.0,ns,3627960
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,8051956.0,ns,3718659
distr_low_reject_i64,Pcg32,Canon-Unbiased,,,8234519.0,ns,3809358
