group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,Pcg64,Canon-Lemire,,,197622.0,ns,136647
distr_low_reject_i64,Pcg64,Canon-Lemire,,,395214.0,ns,273294
distr_low_reject_i64,Pcg64,Canon-Lemire,,,595060.0,ns,409941
distr_low_reject_i64,Pcg64,Canon-Lemire,,,792572.0,ns,546588
distr_low_reject_i64,Pcg64,Canon-Lemire,,,990104.0,ns,683235
distr_low_reject_i64,Pcg64,Canon-Lemire,,,1187786.0,ns,819882
distr_low_reject_i64,Pcg64,Canon-Lemire,,,1385247.0,ns,956529
distr_low_reject_i64,Pcg64,Canon-Lemire,,,1584753.0,ns,1093176
distr_low_reject_i64,Pcg64,Canon-Lemire,,,1782435.0,ns,1229823
distr_low_reject_i64,Pcg64,Canon-Lemire,,,1980457.0,ns,1366470
distr_low_reject_i64,Pcg64,Canon-Lemire,,,2178149.0,ns,1503117
distr_low_reject_i64,Pcg64,Canon-Lemire,,,2378086.0,ns,1639764
distr_low_reject_i64,Pcg64,Canon-Lemire,,,2575017.0,ns,1776411
distr_low_reject_i64,Pcg64,Canon-Lemire,,,2772659.0,ns,1913058
distr_low_reject_i64,Pcg64,Canon-Lemire,,,2970361.0,ns,2049705
distr_low_reject_i64,Pcg64,Canon-Lemire,,,3167622.0,ns,2186352
distr_low_reject_i64,Pcg64,Canon-Lemire,,,3364462.0,ns,2322999
distr_low_reject_i64,Pcg64,Canon-Lemire,,,3561353.0,ns,2459646
distr_low_reject_i64,Pcg64,Canon-Lemire,,,3760909.0,ns,2596293
distr_low_reject_i64,Pcg64,Canon-Lemire,,,3960214.0,ns,2732940
distr_low_reject_i64,Pcg64,Canon-Lemire,,,4158868.0,ns,2869587
distr_low_reject_i64,Pcg64,Canon-Lemire,,,4362762.0,ns,3006234
distr_low_reject_i64,Pcg64,Canon-Lemire,,,4554993.0,ns,3142881
distr_low_reject_i64,Pcg64,Canon-Lemire,,,4752956.0,ns,3279528
distr_low_reject_i64,Pcg64,Canon-Lemire,,,4949796.0,ns,3416175
distr_low_reject_i64,Pcg64,Canon-Lemire,,,5143882.0,ns,3552822
distr_low_reject_i64,Pcg64,Canon-Lemire,,,5347916.0,ns,3689469
distr_low_reject_i64,Pcg64,Canon-Lemire,,,5543213.0,ns,3826116
distr_low_reject_i64,Pcg64,Canon-Lemire,,,5739994.0,ns,3962763
distr_low_reject_i64,Pcg64,Canon-Lemire,,,5941173.0,ns,4099410
distr_low_reject_i64,Pcg64,Canon-Lemire,,,6132923.0,ns,4236057
distr_low_reject_i64,Pcg64,Canon-Lemire,,,6328962.0,ns,4372704
distr_low_reject_i64,Pcg64,Canon-Lemire,,,6532455.0,ns,4509351
distr_low_reject_i64,Pcg64,Canon-Lemire,,,6731800.0,ns,4645998
distr_low_reject_i64,Pcg64,Canon-Lemire,,,6923922.0,ns,4782645
distr_low_reject_i64,Pcg64,Canon-Lemire,,,7122616.0,ns,4919292
distr_low_reject_i64,Pcg64,Canon-Lemire,,,7318855.0,ns,5055939
distr_low_reject_i64,Pcg64,Canon-Lemire,,,7516537.0,ns,5192586
distr_low_reject_i64,Pcg64,Canon-Lemire,,,7715953.0,ns,5329233
distr_low_reject_i64,Pcg64,Canon-Lemire,,,7911892.0,ns,5465880
distr_low_reject_i64,Pcg64,Canon-Lemire,,,8109824.0,ns,5602527
distr_low_reject_i64,Pcg64,Canon-Lemire,,,8309831.0,ns,5739174
distr_low_reject_i64,Pcg64,Canon-Lemire,,,8504998.0,ns,5875821
distr_low_reject_i64,Pcg64,Canon-Lemire,,,8705145.0,ns,6012468
distr_low_reject_i64,Pcg64,Canon-Lemire,,,8900933.0,ns,6149115
distr_low_reject_i64,Pcg64,Canon-Lemire,,,9106209.0,ns,6285762
distr_low_reject_i64,Pcg64,Canon-Lemire,,,9295797.0,ns,6422409
distr_low_reject_i64,Pcg64,Canon-Lemire,,,9496124.0,ns,6559056
distr_low_reject_i64,Pcg64,Canon-Lemire,,,9691332.0,ns,6695703
distr_low_reject_i64,Pcg64,Canon-Lemire,,,9891157.0,ns,6832350
distr_low_reject_i64,Pcg64,Canon-Lemire,,,10087547.0,ns,6968997
distr_low_reject_i64,Pcg64,Canon-Lemire,,,10285960.0,ns,7105644
distr_low_reject_i64,Pcg64,Canon-Lemire,,,10482810.0,ns,7242291
distr_low_reject_i64,Pcg64,Canon-Lemire,,,10681926.0,ns,7378938
distr_low_reject_i64,Pcg64,Canon-Lemire,,,10878676.0,ns,7515585
distr_low_reject_i64,Pcg64,Canon-Lemire,,,11079223.0,ns,7652232
distr_low_reject_i64,Pcg64,Canon-Lemire,,,11274571.0,ns,7788879
distr_low_reject_i64,Pcg64,Canon-Lemire,,,11472574.0,ns,7925526
distr_low_reject_i64,Pcg64,Canon-Lemire,,,11670156.0,ns,8062173
distr_low_reject_i64,Pcg64,Canon-Lemire,,,11868259.0,ns,8198820
distr_low_reject_i64,Pcg64,Canon-Lemire,,,12071461.0,ns,8335467
distr_low_reject_i64,Pcg64,Canon-Lemire,,,12264174.0,ns,8472114
distr_low_reject_i64,Pcg64,Canon-Lemire,,,12462267.0,ns,8608761
distr_low_reject_i64,Pcg64,Canon-Lemire,,,12658567.0,ns,8745408
distr_low_reject_i64,Pcg64,Canon-Lemire,,,12856980.0,ns,8882055
distr_low_reject_i64,Pcg64,Canon-Lemire,,,13055714.0,ns,9018702
distr_low_reject_i64,Pcg64,Canon-Lemire,,,13254468.0,ns,9155349
distr_low_reject_i64,Pcg64,Canon-Lemire,,,13452851.0,ns,9291996
distr_low_reject_i64,Pcg64,Canon-Lemire,,,13656685.0,ns,9428643
distr_low_reject_i64,Pcg64,Canon-Lemire,,,13855119.0,ns,9565290
distr_low_reject_i64,Pcg64,Canon-Lemire,,,14059944.0,ns,9701937
distr_low_reject_i64,Pcg64,Canon-Lemire,,,14247246.0,ns,9838584
distr_low_reject_i64,Pcg64,Canon-Lemire,,,14451771.0,ns,9975231
distr_low_reject_i64,Pcg64,Canon-Lemire,,,14642690.0,ns,10111878
distr_low_reject_i64,Pcg64,Canon-Lemire,,,14846905.0,ns,10248525
distr_low_reject_i64,Pcg64,Canon-Lemire,,,15033576.0,ns,10385172
distr_low_reject_i64,Pcg64,Canon-Lemire,,,15229885.0,ns,10521819
