group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,Pcg64,Lemire,,,197992.0,ns,133095
distr_low_reject_i64,Pcg64,Lemire,,,397238.0,ns,266190
distr_low_reject_i64,Pcg64,Lemire,,,593888.0,ns,399285
distr_low_reject_i64,Pcg64,Lemire,,,792952.0,ns,532380
distr_low_reject_i64,Pcg64,Lemire,,,980265.0,ns,665475
distr_low_reject_i64,Pcg64,Lemire,,,1188728.0,ns,798570
distr_low_reject_i64,Pcg64,Lemire,,,1387882.0,ns,931665
distr_low_reject_i64,Pcg64,Lemire,,,1584633.0,ns,1064760
distr_low_reject_i64,Pcg64,Lemire,,,1781043.0,ns,1197855
distr_low_reject_i64,Pcg64,Lemire,,,1983743.0,ns,1330950
distr_low_reject_i64,Pcg64,Lemire,,,2180264.0,ns,1464045
distr_low_reject_i64,Pcg64,Lemire,,,2379609.0,ns,1597140
distr_low_reject_i64,Pcg64,Lemire,,,2575768.0,ns,1730235
distr_low_reject_i64,Pcg64,Lemire,,,2774662.0,ns,1863330
distr_low_reject_i64,Pcg64,Lemire,,,2972815.0,ns,1996425
distr_low_reject_i64,Pcg64,Lemire,,,3170948.0,ns,2129520
distr_low_reject_i64,Pcg64,Lemire,,,3357810.0,ns,2262615
distr_low_reject_i64,Pcg64,Lemire,,,3567755.0,ns,2395710
distr_low_reject_i64,Pcg64,Lemire,,,3768403.0,ns,2528805
distr_low_reject_i64,Pcg64,Lemire,,,3949284.0,ns,2661900
distr_low_reject_i64,Pcg64,Lemire,,,4164709.0,ns,2794995
distr_low_reject_i64,Pcg64,Lemire,,,4359996.0,ns,2928090
distr_low_reject_i64,Pcg64,Lemire,,,4558781.0,ns,3061185
distr_low_reject_i64,Pcg64,Lemire,,,4760170.0,ns,3194280
distr_low_reject_i64,Pcg64,Lemire,,,4927815.0,ns,3327375
distr_low_reject_i64,Pcg64,Lemire,,,5155444.0,ns,3460470
distr_low_reject_i64,Pcg64,Lemire,,,5330783.0,ns,3593565
distr_low_reject_i64,Pcg64,Lemire,,,5549586.0,ns,3726660
distr_low_reject_i64,Pcg64,Lemire,,,5745595.0,ns,3859755
distr_low_reject_i64,Pcg64,Lemire,,,5946833.0,ns,3992850
distr_low_reject_i64,Pcg64,Lemire,,,6143313.0,ns,4125945
distr_low_reject_i64,Pcg64,Lemire,,,6344742.0,ns,4259040
distr_low_reject_i64,Pcg64,Lemire,,,6544989.0,ns,4392135
distr_low_reject_i64,Pcg64,Lemire,,,6739065.0,ns,4525230
distr_low_reject_i64,Pcg64,Lemire,,,6937839.0,ns,4658325
distr_low_reject_i64,Pcg64,Lemire,,,7134148.0,ns,4791420
distr_low_reject_i64,Pcg64,Lemire,,,7331499.0,ns,4924515
distr_low_reject_i64,Pcg64,Lemire,,,7533890.0,ns,5057610
distr_low_reject_i64,Pcg64,Lemire,,,7729799.0,ns,5190705
distr_low_reject_i64,Pcg64,Lemire,,,7919827.0,ns,5323800
distr_low_reject_i64,Pcg64,Lemire,,,8124552.0,ns,5456895
distr_low_reject_i64,Pcg64,Lemire,,,8326111.0,ns,5589990
distr_low_reject_i64,Pcg64,Lemire,,,8518473.0,ns,5723085
distr_low_reject_i64,Pcg64,Lemire,,,8697591.0,ns,5856180
distr_low_reject_i64,Pcg64,Lemire,,,8916933.0,ns,5989275
distr_low_reject_i64,Pcg64,Lemire,,,9118213.0,ns,6122370
distr_low_reject_i64,Pcg64,Lemire,,,9308691.0,ns,6255465
distr_low_reject_i64,Pcg64,Lemire,,,9490774.0,ns,6388560
distr_low_reject_i64,Pcg64,Lemire,,,9715005.0,ns,6521655
distr_low_reject_i64,Pcg64,Lemire,,,9908059.0,ns,6654750
distr_low_reject_i64,Pcg64,Lemire,,,10108958.0,ns,6787845
distr_low_reject_i64,Pcg64,Lemire,,,10305578.0,ns,6920940
distr_low_reject_i64,Pcg64,Lemire,,,10507067.0,ns,7054035
