group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,SmallRng,Canon-Lemire,,,196380.0,ns,210205
distr_low_reject_i64,SmallRng,Canon-Lemire,,,392098.0,ns,420410
distr_low_reject_i64,SmallRng,Canon-Lemire,,,586013.0,ns,630615
distr_low_reject_i64,SmallRng,Canon-Lemire,,,792823.0,ns,840820
distr_low_reject_i64,SmallRng,Canon-Lemire,,,983201.0,ns,1051025
distr_low_reject_i64,SmallRng,Canon-Lemire,,,1197444.0,ns,1261230
distr_low_reject_i64,SmallRng,Canon-Lemire,,,1401949.0,ns,1471435
distr_low_reject_i64,SmallRng,Canon-Lemire,,,1582870.0,ns,1681640
distr_low_reject_i64,SmallRng,Canon-Lemire,,,1765563.0,ns,1891845
distr_low_reject_i64,SmallRng,Canon-Lemire,,,2007419.0,ns,2102050
distr_low_reject_i64,SmallRng,Canon-Lemire,,,2211493.0,ns,2312255
distr_low_reject_i64,SmallRng,Canon-Lemire,,,2360042.0,ns,2522460
distr_low_reject_i64,SmallRng,Canon-Lemire,,,2602228.0,ns,2732665
distr_low_reject_i64,SmallRng,Canon-Lemire,,,2768280.0,ns,2942870
distr_low_reject_i64,SmallRng,Canon-Lemire,,,2945514.0,ns,3153075
distr_low_reject_i64,SmallRng,Canon-Lemire,,,3134901.0,ns,3363280
distr_low_reject_i64,SmallRng,Canon-Lemire,,,3397815.0,ns,3573485
distr_low_reject_i64,SmallRng,Canon-Lemire,,,3559670.0,ns,3783690
distr_low_reject_i64,SmallRng,Canon-Lemire,,,3725261.0,ns,3993895
distr_low_reject_i64,SmallRng,Canon-Lemire,,,3966926.0,ns,4204100
distr_low_reject_i64,SmallRng,Canon-Lemire,,,4167504.0,ns,4414305
distr_low_reject_i64,SmallRng,Canon-Lemire,,,4324970.0,ns,4624510
distr_low_reject_i64,SmallRng,Canon-Lemire,,,4603715.0,ns,4834715
distr_low_reject_i64,SmallRng,Canon-Lemire,,,4763556.0,ns,5044920
distr_low_reject_i64,SmallRng,Canon-Lemire,,,4906616.0,ns,5255125
distr_low_reject_i64,SmallRng,Canon-Lemire,,,5176022.0,ns,5465330
distr_low_reject_i64,SmallRng,Canon-Lemire,,,5356753.0,ns,5675535
distr_low_reject_i64,SmallRng,Canon-Lemire,,,5490815.0,ns,5885740
distr_low_reject_i64,SmallRng,Canon-Lemire,,,5698296.0,ns,6095945
distr_low_reject_i64,SmallRng,Canon-Lemire,,,5912669.0,ns,6306150
distr_low_reject_i64,SmallRng,Canon-Lemire,,,6130589.0,ns,6516355
distr_low_reject_i64,SmallRng,Canon-Lemire,,,6362014.0,ns,6726560
distr_low_reject_i64,SmallRng,Canon-Lemire,,,6541082.0,ns,6936765
distr_low_reject_i64,SmallRng,Canon-Lemire,,,6791573.0,ns,7146970
distr_low_reject_i64,SmallRng,Canon-Lemire,,,6892133.0,ns,7357175
distr_low_reject_i64,SmallRng,Canon-Lemire,,,7181137.0,ns,7567380
distr_low_reject_i64,SmallRng,Canon-Lemire,,,7299139.0,ns,7777585
distr_low_reject_i64,SmallRng,Canon-Lemire,,,7431317.0,ns,7987790
distr_low_reject_i64,SmallRng,Canon-Lemire,,,7688261.0,ns,8197995
distr_low_reject_i64,SmallRng,Canon-Lemire,,,7913414.0,ns,8408200
distr_low_reject_i64,SmallRng,Canon-Lemire,,,8123731.0,ns,8618405
distr_low_reject_i64,SmallRng,Canon-Lemire,,,8223328.0,ns,8828610
distr_low_reject_i64,SmallRng,Canon-Lemire,,,8483838.0,ns,9038815
distr_low_reject_i64,SmallRng,Canon-Lemire,,,8616117.0,ns,9249020
distr_low_reject_i64,SmallRng,Canon-Lemire,,,8848034.0,ns,9459225
distr_low_reject_i64,SmallRng,Canon-Lemire,,,9071343.0,ns,9669430
distr_low_reject_i64,SmallRng,Canon-Lemire,,,9241114.0,ns,9879635
distr_low_reject_i64,SmallRng,Canon-Lemire,,,9418268.0,ns,10089840
distr_low_reject_i64,SmallRng,Canon-Lemire,,,9690440.0,ns,10300045
distr_low_reject_i64,SmallRng,Canon-Lemire,,,9823660.0,ns,10510250
distr_low_reject_i64,SmallRng,Canon-Lemire,,,10000523.0,ns,10720455
distr_low_reject_i64,SmallRng,Canon-Lemire,,,10287353.0,ns,10930660
distr_low_reject_i64,SmallRng,Canon-Lemire,,,10441113.0,ns,11140865
distr_low_reject_i64,SmallRng,Canon-Lemire,,,10738082.0,ns,11351070
distr_low_reject_i64,SmallRng,Canon-Lemire,,,10808614.0,ns,11561275
distr_low_reject_i64,SmallRng,Canon-Lemire,,,11067551.0,ns,11771480
distr_low_reject_i64,SmallRng,Canon-Lemire,,,11186596.0,ns,11981685
distr_low_reject_i64,SmallRng,Canon-Lemire,,,11408003.0,ns,12191890
distr_low_reject_i64,SmallRng,Canon-Lemire,,,11531164.0,ns,12402095
distr_low_reject_i64,SmallRng,Canon-Lemire,,,11838973.0,ns,12612300
distr_low_reject_i64,SmallRng,Canon-Lemire,,,12087892.0,ns,12822505
