group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i64,SmallRng,Old,,,205386.0,ns,199771
distr_low_reject_i64,SmallRng,Old,,,393140.0,ns,399542
distr_low_reject_i64,SmallRng,Old,,,581965.0,ns,599313
distr_low_reject_i64,SmallRng,Old,,,775469.0,ns,799084
distr_low_reject_i64,SmallRng,Old,,,976398.0,ns,998855
distr_low_reject_i64,SmallRng,Old,,,1172267.0,ns,1198626
distr_low_reject_i64,SmallRng,Old,,,1374838.0,ns,1398397
distr_low_reject_i64,SmallRng,Old,,,1549167.0,ns,1598168
distr_low_reject_i64,SmallRng,Old,,,1765122.0,ns,1797939
distr_low_reject_i64,SmallRng,Old,,,2047694.0,ns,1997710
distr_low_reject_i64,SmallRng,Old,,,2147051.0,ns,2197481
distr_low_reject_i64,SmallRng,Old,,,2351806.0,ns,2397252
distr_low_reject_i64,SmallRng,Old,,,2560450.0,ns,2597023
distr_low_reject_i64,SmallRng,Old,,,2731933.0,ns,2796794
distr_low_reject_i64,SmallRng,Old,,,2922792.0,ns,2996565
distr_low_reject_i64,SmallRng,Old,,,3147314.0,ns,3196336
distr_low_reject_i64,SmallRng,Old,,,3318796.0,ns,3396107
distr_low_reject_i64,SmallRng,Old,,,3526708.0,ns,3595878
distr_low_reject_i64,SmallRng,Old,,,3701076.0,ns,3795649
distr_low_reject_i64,SmallRng,Old,,,3910250.0,ns,3995420
distr_low_reject_i64,SmallRng,Old,,,4102171.0,ns,4195191
distr_low_reject_i64,SmallRng,Old,,,4264186.0,ns,4394962
distr_low_reject_i64,SmallRng,Old,,,4511612.0,ns,4594733
distr_low_reject_i64,SmallRng,Old,,,4644853.0,ns,4794504
distr_low_reject_i64,SmallRng,Old,,,4847394.0,ns,4994275
distr_low_reject_i64,SmallRng,Old,,,5073189.0,ns,5194046
distr_low_reject_i64,SmallRng,Old,,,5310806.0,ns,5393817
distr_low_reject_i64,SmallRng,Old,,,5457663.0,ns,5593588
distr_low_reject_i64,SmallRng,Old,,,5642000.0,ns,5793359
distr_low_reject_i64,SmallRng,Old,,,5857886.0,ns,5993130
distr_low_reject_i64,SmallRng,Old,,,6047803.0,ns,6192901
distr_low_reject_i64,SmallRng,Old,,,6237120.0,ns,6392672
distr_low_reject_i64,SmallRng,Old,,,6447004.0,ns,6592443
distr_low_reject_i64,SmallRng,Old,,,6630991.0,ns,6792214
distr_low_reject_i64,SmallRng,Old,,,6806451.0,ns,6991985
distr_low_reject_i64,SmallRng,Old,,,7017339.0,ns,7191756
distr_low_reject_i64,SmallRng,Old,,,7240067.0,ns,7391527
distr_low_reject_i64,SmallRng,Old,,,7397293.0,ns,7591298
