group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,199155.0,ns,57820
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,394482.0,ns,115640
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,594228.0,ns,173460
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,785688.0,ns,231280
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,988050.0,ns,289100
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,1183076.0,ns,346920
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,1384075.0,ns,404740
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,1576767.0,ns,462560
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,1874228.0,ns,520380
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,1977632.0,ns,578200
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,2180845.0,ns,636020
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,2363829.0,ns,693840
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,2576329.0,ns,751660
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,2763943.0,ns,809480
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,2968688.0,ns,867300
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,3301053.0,ns,925120
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,3355727.0,ns,982940
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,3551745.0,ns,1040760
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,3756992.0,ns,1098580
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,3953872.0,ns,1156400
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,4159298.0,ns,1214220
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,4437162.0,ns,1272040
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,4527371.0,ns,1329860
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,4741344.0,ns,1387680
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,4935359.0,ns,1445500
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,5152979.0,ns,1503320
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,5313031.0,ns,1561140
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,5525370.0,ns,1618960
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,5735065.0,ns,1676780
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,6010564.0,ns,1734600
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,6154534.0,ns,1792420
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,6305328.0,ns,1850240
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,6519110.0,ns,1908060
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,6713005.0,ns,1965880
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,6923912.0,ns,2023700
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,7199080.0,ns,2081520
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,7286404.0,ns,2139340
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,7511919.0,ns,2197160
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,7716444.0,ns,2254980
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,7887907.0,ns,2312800
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,8204453.0,ns,2370620
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,8268954.0,ns,2428440
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,8477316.0,ns,2486260
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,8776970.0,ns,2544080
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,8866629.0,ns,2601900
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,9254880.0,ns,2659720
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,9251203.0,ns,2717540
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,9435910.0,ns,2775360
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,9662847.0,ns,2833180
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,9944658.0,ns,2891000
distr_low_reject_i8,ChaCha8Rng,Canon-Unbiased,,,10034577.0,ns,2948820
