group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i8,ChaCha8Rng,Canon,,,198023.0,ns,62701
distr_low_reject_i8,ChaCha8Rng,Canon,,,393471.0,ns,125402
distr_low_reject_i8,ChaCha8Rng,Canon,,,592415.0,ns,188103
distr_low_reject_i8,ChaCha8Rng,Canon,,,792642.0,ns,250804
distr_low_reject_i8,ChaCha8Rng,Canon,,,985244.0,ns,313505
distr_low_reject_i8,ChaCha8Rng,Canon,,,1184078.0,ns,376206
distr_low_reject_i8,ChaCha8Rng,Canon,,,1384166.0,ns,438907
distr_low_reject_i8,ChaCha8Rng,Canon,,,1577299.0,ns,501608
distr_low_reject_i8,ChaCha8Rng,Canon,,,1779038.0,ns,564309
distr_low_reject_i8,ChaCha8Rng,Canon,,,1980177.0,ns,627010
distr_low_reject_i8,ChaCha8Rng,Canon,,,2181045.0,ns,689711
distr_low_reject_i8,ChaCha8Rng,Canon,,,2385500.0,ns,752412
distr_low_reject_i8,ChaCha8Rng,Canon,,,2570749.0,ns,815113
distr_low_reject_i8,ChaCha8Rng,Canon,,,2775363.0,ns,877814
distr_low_reject_i8,ChaCha8Rng,Canon,,,2967486.0,ns,940515
distr_low_reject_i8,ChaCha8Rng,Canon,,,3164857.0,ns,1003216
distr_low_reject_i8,ChaCha8Rng,Canon,,,3372958.0,ns,1065917
distr_low_reject_i8,ChaCha8Rng,Canon,,,3558358.0,ns,1128618
distr_low_reject_i8,ChaCha8Rng,Canon,,,3768323.0,ns,1191319
distr_low_reject_i8,ChaCha8Rng,Canon,,,3967037.0,ns,1254020
distr_low_reject_i8,ChaCha8Rng,Canon,,,4144841.0,ns,1316721
distr_low_reject_i8,ChaCha8Rng,Canon,,,4356049.0,ns,1379422
distr_low_reject_i8,ChaCha8Rng,Canon,,,4530326.0,ns,1442123
distr_low_reject_i8,ChaCha8Rng,Canon,,,4758817.0,ns,1504824
distr_low_reject_i8,ChaCha8Rng,Canon,,,4937734.0,ns,1567525
distr_low_reject_i8,ChaCha8Rng,Canon,,,5145676.0,ns,1630226
distr_low_reject_i8,ChaCha8Rng,Canon,,,5325364.0,ns,1692927
distr_low_reject_i8,ChaCha8Rng,Canon,,,5554215.0,ns,1755628
distr_low_reject_i8,ChaCha8Rng,Canon,,,5730776.0,ns,1818329
distr_low_reject_i8,ChaCha8Rng,Canon,,,5907990.0,ns,1881030
distr_low_reject_i8,ChaCha8Rng,Canon,,,6118567.0,ns,1943731
distr_low_reject_i8,ChaCha8Rng,Canon,,,6338381.0,ns,2006432
distr_low_reject_i8,ChaCha8Rng,Canon,,,6518730.0,ns,2069133
distr_low_reject_i8,ChaCha8Rng,Canon,,,6720689.0,ns,2131834
distr_low_reject_i8,ChaCha8Rng,Canon,,,6927569.0,ns,2194535
distr_low_reject_i8,ChaCha8Rng,Canon,,,7113088.0,ns,2257236
