group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i8,Pcg32,Bitmask,,,197522.0,ns,156867
distr_low_reject_i8,Pcg32,Bitmask,,,393681.0,ns,313734
distr_low_reject_i8,Pcg32,Bitmask,,,590722.0,ns,470601
distr_low_reject_i8,Pcg32,Bitmask,,,787071.0,ns,627468
distr_low_reject_i8,Pcg32,Bitmask,,,986927.0,ns,784335
distr_low_reject_i8,Pcg32,Bitmask,,,1181884.0,ns,941202
distr_low_reject_i8,Pcg32,Bitmask,,,1377312.0,ns,1098069
distr_low_reject_i8,Pcg32,Bitmask,,,1581687.0,ns,1254936
distr_low_reject_i8,Pcg32,Bitmask,,,1769981.0,ns,1411803
distr_low_reject_i8,Pcg32,Bitmask,,,1972352.0,ns,1568670
distr_low_reject_i8,Pcg32,Bitmask,,,2164915.0,ns,1725537
distr_low_reject_i8,Pcg32,Bitmask,,,2370272.0,ns,1882404
distr_low_reject_i8,Pcg32,Bitmask,,,2558485.0,ns,2039271
distr_low_reject_i8,Pcg32,Bitmask,,,2758192.0,ns,2196138
distr_low_reject_i8,Pcg32,Bitmask,,,2957347.0,ns,2353005
distr_low_reject_i8,Pcg32,Bitmask,,,3152814.0,ns,2509872
distr_low_reject_i8,Pcg32,Bitmask,,,3352470.0,ns,2666739
distr_low_reject_i8,Pcg32,Bitmask,,,3555813.0,ns,2823606
distr_low_reject_i8,Pcg32,Bitmask,,,3750229.0,ns,2980473
distr_low_reject_i8,Pcg32,Bitmask,,,3944144.0,ns,3137340
distr_low_reject_i8,Pcg32,Bitmask,,,4135224.0,ns,3294207
distr_low_reject_i8,Pcg32,Bitmask,,,4332525.0,ns,3451074
distr_low_reject_i8,Pcg32,Bitmask,,,4534886.0,ns,3607941
distr_low_reject_i8,Pcg32,Bitmask,,,4735873.0,ns,3764808
distr_low_reject_i8,Pcg32,Bitmask,,,4917726.0,ns,3921675
distr_low_reject_i8,Pcg32,Bitmask,,,5122131.0,ns,4078542
distr_low_reject_i8,Pcg32,Bitmask,,,5326606.0,ns,4235409
distr_low_reject_i8,Pcg32,Bitmask,,,5512586.0,ns,4392276
