group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i8,Pcg32,Canon32,,,199576.0,ns,189226
distr_low_reject_i8,Pcg32,Canon32,,,400504.0,ns,378452
distr_low_reject_i8,Pcg32,Canon32,,,598687.0,ns,567678
distr_low_reject_i8,Pcg32,Canon32,,,799765.0,ns,756904
distr_low_reject_i8,Pcg32,Canon32,,,999081.0,ns,946130
distr_low_reject_i8,Pcg32,Canon32,,,1198587.0,ns,1135356
distr_low_reject_i8,Pcg32,Canon32,,,1399224.0,ns,1324582
distr_low_reject_i8,Pcg32,Canon32,,,1597778.0,ns,1513808
distr_low_reject_i8,Pcg32,Canon32,,,1798105.0,ns,1703034
distr_low_reject_i8,Pcg32,Canon32,,,1942597.0,ns,1892260
distr_low_reject_i8,Pcg32,Canon32,,,2197937.0,ns,2081486
distr_low_reject_i8,Pcg32,Canon32,,,2398274.0,ns,2270712
distr_low_reject_i8,Pcg32,Canon32,,,2493102.0,ns,2459938
distr_low_reject_i8,Pcg32,Canon32,,,2758863.0,ns,2649164
distr_low_reject_i8,Pcg32,Canon32,,,2999716.0,ns,2838390
distr_low_reject_i8,Pcg32,Canon32,,,3199973.0,ns,3027616
distr_low_reject_i8,Pcg32,Canon32,,,3285154.0,ns,3216842
distr_low_reject_i8,Pcg32,Canon32,,,3600898.0,ns,3406068
distr_low_reject_i8,Pcg32,Canon32,,,3691117.0,ns,3595294
distr_low_reject_i8,Pcg32,Canon32,,,4003816.0,ns,3784520
distr_low_reject_i8,Pcg32,Canon32,,,3989660.0,ns,3973746
distr_low_reject_i8,Pcg32,Canon32,,,4403007.0,ns,4162972
distr_low_reject_i8,Pcg32,Canon32,,,4616790.0,ns,4352198
distr_low_reject_i8,Pcg32,Canon32,,,4733850.0,ns,4541424
distr_low_reject_i8,Pcg32,Canon32,,,4894322.0,ns,4730650
distr_low_reject_i8,Pcg32,Canon32,,,5005151.0,ns,4919876
