group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,197331.0,ns,119385
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,394612.0,ns,238770
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,593186.0,ns,358155
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,790598.0,ns,477540
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,987809.0,ns,596925
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,1184910.0,ns,716310
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,1382211.0,ns,835695
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,1580865.0,ns,955080
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,1777756.0,ns,1074465
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,1975178.0,ns,1193850
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,2173370.0,ns,1313235
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,2369951.0,ns,1432620
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,2580157.0,ns,1552005
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,2768631.0,ns,1671390
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,2963708.0,ns,1790775
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,3161661.0,ns,1910160
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,3357469.0,ns,2029545
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,3556053.0,ns,2148930
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,3752182.0,ns,2268315
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,3950065.0,ns,2387700
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,4148358.0,ns,2507085
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,4350769.0,ns,2626470
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,4542961.0,ns,2745855
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,4740443.0,ns,2865240
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,4938355.0,ns,2984625
distr_low_reject_i8,Pcg64,Canon-Unbiased,,,5135366.0,ns,3104010
