group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_low_reject_i8,SmallRng,Lemire,,,198403.0,ns,176348
distr_low_reject_i8,SmallRng,Lemire,,,396766.0,ns,352696
distr_low_reject_i8,SmallRng,Lemire,,,594819.0,ns,529044
distr_low_reject_i8,SmallRng,Lemire,,,793944.0,ns,705392
distr_low_reject_i8,SmallRng,Lemire,,,992629.0,ns,881740
distr_low_reject_i8,SmallRng,Lemire,,,1189790.0,ns,1058088
distr_low_reject_i8,SmallRng,Lemire,,,1384747.0,ns,1234436
distr_low_reject_i8,SmallRng,Lemire,,,1582749.0,ns,1410784
distr_low_reject_i8,SmallRng,Lemire,,,1781463.0,ns,1587132
distr_low_reject_i8,SmallRng,Lemire,,,1981200.0,ns,1763480
distr_low_reject_i8,SmallRng,Lemire,,,2176126.0,ns,1939828
distr_low_reject_i8,SmallRng,Lemire,,,2371153.0,ns,2116176
distr_low_reject_i8,SmallRng,Lemire,,,2568705.0,ns,2292524
distr_low_reject_i8,SmallRng,Lemire,,,2767880.0,ns,2468872
distr_low_reject_i8,SmallRng,Lemire,,,2964450.0,ns,2645220
distr_low_reject_i8,SmallRng,Lemire,,,3161060.0,ns,2821568
distr_low_reject_i8,SmallRng,Lemire,,,3363310.0,ns,2997916
distr_low_reject_i8,SmallRng,Lemire,,,3557085.0,ns,3174264
distr_low_reject_i8,SmallRng,Lemire,,,3760428.0,ns,3350612
distr_low_reject_i8,SmallRng,Lemire,,,3950966.0,ns,3526960
distr_low_reject_i8,SmallRng,Lemire,,,4143028.0,ns,3703308
distr_low_reject_i8,SmallRng,Lemire,,,4345540.0,ns,3879656
distr_low_reject_i8,SmallRng,Lemire,,,4549764.0,ns,4056004
distr_low_reject_i8,SmallRng,Lemire,,,4738528.0,ns,4232352
distr_low_reject_i8,SmallRng,Lemire,,,4932314.0,ns,4408700
distr_low_reject_i8,SmallRng,Lemire,,,5152037.0,ns,4585048
distr_low_reject_i8,SmallRng,Lemire,,,5332658.0,ns,4761396
distr_low_reject_i8,SmallRng,Lemire,,,5526993.0,ns,4937744
distr_low_reject_i8,SmallRng,Lemire,,,5728943.0,ns,5114092
distr_low_reject_i8,SmallRng,Lemire,,,5934120.0,ns,5290440
distr_low_reject_i8,SmallRng,Lemire,,,6121843.0,ns,5466788
distr_low_reject_i8,SmallRng,Lemire,,,6322299.0,ns,5643136
distr_low_reject_i8,SmallRng,Lemire,,,6500676.0,ns,5819484
distr_low_reject_i8,SmallRng,Lemire,,,6718626.0,ns,5995832
distr_low_reject_i8,SmallRng,Lemire,,,6901269.0,ns,6172180
distr_low_reject_i8,SmallRng,Lemire,,,7099743.0,ns,6348528
distr_low_reject_i8,SmallRng,Lemire,,,7278860.0,ns,6524876
distr_low_reject_i8,SmallRng,Lemire,,,7475841.0,ns,6701224
distr_low_reject_i8,SmallRng,Lemire,,,7673633.0,ns,6877572
