group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Bitmask,,,256363.0,ns,434
distr_random_i128,ChaCha8Rng,Bitmask,,,204876.0,ns,868
distr_random_i128,ChaCha8Rng,Bitmask,,,349448.0,ns,1302
distr_random_i128,ChaCha8Rng,Bitmask,,,1013227.0,ns,1736
distr_random_i128,ChaCha8Rng,Bitmask,,,847535.0,ns,2170
distr_random_i128,ChaCha8Rng,Bitmask,,,1133824.0,ns,2604
distr_random_i128,ChaCha8Rng,Bitmask,,,798222.0,ns,3038
distr_random_i128,ChaCha8Rng,Bitmask,,,1883496.0,ns,3472
distr_random_i128,ChaCha8Rng,Bitmask,,,1021192.0,ns,3906
distr_random_i128,ChaCha8Rng,Bitmask,,,1474236.0,ns,4340
distr_random_i128,ChaCha8Rng,Bitmask,,,2541865.0,ns,4774
distr_random_i128,ChaCha8Rng,Bitmask,,,2300771.0,ns,5208
distr_random_i128,ChaCha8Rng,Bitmask,,,1082367.0,ns,5642
distr_random_i128,ChaCha8Rng,Bitmask,,,2492111.0,ns,6076
distr_random_i128,ChaCha8Rng,Bitmask,,,2514343.0,ns,6510
distr_random_i128,ChaCha8Rng,Bitmask,,,3784674.0,ns,6944
distr_random_i128,ChaCha8Rng,Bitmask,,,4290937.0,ns,7378
distr_random_i128,ChaCha8Rng,Bitmask,,,1864349.0,ns,7812
distr_random_i128,ChaCha8Rng,Bitmask,,,2846308.0,ns,8246
distr_random_i128,ChaCha8Rng,Bitmask,,,1771815.0,ns,8680
distr_random_i128,ChaCha8Rng,Bitmask,,,4380546.0,ns,9114
distr_random_i128,ChaCha8Rng,Bitmask,,,1873167.0,ns,9548
distr_random_i128,ChaCha8Rng,Bitmask,,,4760151.0,ns,9982
distr_random_i128,ChaCha8Rng,Bitmask,,,2412762.0,ns,10416
distr_random_i128,ChaCha8Rng,Bitmask,,,5231689.0,ns,10850
distr_random_i128,ChaCha8Rng,Bitmask,,,4859818.0,ns,11284
distr_random_i128,ChaCha8Rng,Bitmask,,,6894628.0,ns,11718
distr_random_i128,ChaCha8Rng,Bitmask,,,2864021.0,ns,12152
distr_random_i128,ChaCha8Rng,Bitmask,,,4050705.0,ns,12586
