group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Canon32,,,264858.0,ns,488
distr_random_i128,ChaCha8Rng,Canon32,,,377631.0,ns,976
distr_random_i128,ChaCha8Rng,Canon32,,,733210.0,ns,1464
distr_random_i128,ChaCha8Rng,Canon32,,,612954.0,ns,1952
distr_random_i128,ChaCha8Rng,Canon32,,,1046290.0,ns,2440
distr_random_i128,ChaCha8Rng,Canon32,,,1111782.0,ns,2928
distr_random_i128,ChaCha8Rng,Canon32,,,1128374.0,ns,3416
distr_random_i128,ChaCha8Rng,Canon32,,,1485496.0,ns,3904
distr_random_i128,ChaCha8Rng,Canon32,,,1618086.0,ns,4392
distr_random_i128,ChaCha8Rng,Canon32,,,1521084.0,ns,4880
distr_random_i128,ChaCha8Rng,Canon32,,,3068466.0,ns,5368
distr_random_i128,ChaCha8Rng,Canon32,,,2048096.0,ns,5856
distr_random_i128,ChaCha8Rng,Canon32,,,3681600.0,ns,6344
distr_random_i128,ChaCha8Rng,Canon32,,,2120351.0,ns,6832
distr_random_i128,ChaCha8Rng,Canon32,,,3055271.0,ns,7320
distr_random_i128,ChaCha8Rng,Canon32,,,3527961.0,ns,7808
distr_random_i128,ChaCha8Rng,Canon32,,,4205567.0,ns,8296
distr_random_i128,ChaCha8Rng,Canon32,,,4446811.0,ns,8784
distr_random_i128,ChaCha8Rng,Canon32,,,3274384.0,ns,9272
distr_random_i128,ChaCha8Rng,Canon32,,,4452221.0,ns,9760
distr_random_i128,ChaCha8Rng,Canon32,,,5732722.0,ns,10248
distr_random_i128,ChaCha8Rng,Canon32,,,5792413.0,ns,10736
distr_random_i128,ChaCha8Rng,Canon32,,,5462683.0,ns,11224
distr_random_i128,ChaCha8Rng,Canon32,,,5924923.0,ns,11712
distr_random_i128,ChaCha8Rng,Canon32,,,5295979.0,ns,12200
distr_random_i128,ChaCha8Rng,Canon32,,,6515295.0,ns,12688
distr_random_i128,ChaCha8Rng,Canon32,,,4658389.0,ns,13176
distr_random_i128,ChaCha8Rng,Canon32,,,7907746.0,ns,13664
distr_random_i128,ChaCha8Rng,Canon32,,,4444777.0,ns,14152
distr_random_i128,ChaCha8Rng,Canon32,,,5598839.0,ns,14640
distr_random_i128,ChaCha8Rng,Canon32,,,5074322.0,ns,15128
distr_random_i128,ChaCha8Rng,Canon32,,,5242809.0,ns,15616
distr_random_i128,ChaCha8Rng,Canon32,,,5609209.0,ns,16104
distr_random_i128,ChaCha8Rng,Canon32,,,9479725.0,ns,16592
distr_random_i128,ChaCha8Rng,Canon32,,,7100556.0,ns,17080
distr_random_i128,ChaCha8Rng,Canon32,,,7692651.0,ns,17568
distr_random_i128,ChaCha8Rng,Canon32,,,9068271.0,ns,18056
distr_random_i128,ChaCha8Rng,Canon32,,,9360780.0,ns,18544
distr_random_i128,ChaCha8Rng,Canon32,,,6169754.0,ns,19032
distr_random_i128,ChaCha8Rng,Canon32,,,10056240.0,ns,19520
distr_random_i128,ChaCha8Rng,Canon32,,,5985838.0,ns,20008
distr_random_i128,ChaCha8Rng,Canon32,,,7425608.0,ns,20496
distr_random_i128,ChaCha8Rng,Canon32,,,6929554.0,ns,20984
distr_random_i128,ChaCha8Rng,Canon32,,,9798215.0,ns,21472
distr_random_i128,ChaCha8Rng,Canon32,,,12705878.0,ns,21960
distr_random_i128,ChaCha8Rng,Canon32,,,7115504.0,ns,22448
distr_random_i128,ChaCha8Rng,Canon32,,,11349184.0,ns,22936
distr_random_i128,ChaCha8Rng,Canon32,,,13541752.0,ns,23424
distr_random_i128,ChaCha8Rng,Canon32,,,11733307.0,ns,23912
distr_random_i128,ChaCha8Rng,Canon32,,,8844960.0,ns,24400
distr_random_i128,ChaCha8Rng,Canon32,,,9194087.0,ns,24888
distr_random_i128,ChaCha8Rng,Canon32,,,14070727.0,ns,25376
distr_random_i128,ChaCha8Rng,Canon32,,,13942416.0,ns,25864
distr_random_i128,ChaCha8Rng,Canon32,,,15031846.0,ns,26352
distr_random_i128,ChaCha8Rng,Canon32,,,8172304.0,ns,26840
distr_random_i128,ChaCha8Rng,Canon32,,,13792282.0,ns,27328
distr_random_i128,ChaCha8Rng,Canon32,,,9362424.0,ns,27816
distr_random_i128,ChaCha8Rng,Canon32,,,9147600.0,ns,28304
distr_random_i128,ChaCha8Rng,Canon32,,,13524067.0,ns,28792
distr_random_i128,ChaCha8Rng,Canon32,,,12347193.0,ns,29280
distr_random_i128,ChaCha8Rng,Canon32,,,9062910.0,ns,29768
distr_random_i128,ChaCha8Rng,Canon32,,,11794161.0,ns,30256
distr_random_i128,ChaCha8Rng,Canon32,,,17632582.0,ns,30744
distr_random_i128,ChaCha8Rng,Canon32,,,11331060.0,ns,31232
distr_random_i128,ChaCha8Rng,Canon32,,,11372628.0,ns,31720
distr_random_i128,ChaCha8Rng,Canon32,,,13445991.0,ns,32208
distr_random_i128,ChaCha8Rng,Canon32,,,18908233.0,ns,32696
distr_random_i128,ChaCha8Rng,Canon32,,,11933233.0,ns,33184
distr_random_i128,ChaCha8Rng,Canon32,,,12405332.0,ns,33672
distr_random_i128,ChaCha8Rng,Canon32,,,19530224.0,ns,34160
distr_random_i128,ChaCha8Rng,Canon32,,,10663002.0,ns,34648
distr_random_i128,ChaCha8Rng,Canon32,,,11972397.0,ns,35136
distr_random_i128,ChaCha8Rng,Canon32,,,19927652.0,ns,35624
distr_random_i128,ChaCha8Rng,Canon32,,,17711831.0,ns,36112
distr_random_i128,ChaCha8Rng,Canon32,,,13131750.0,ns,36600
distr_random_i128,ChaCha8Rng,Canon32,,,21086654.0,ns,37088
distr_random_i128,ChaCha8Rng,Canon32,,,12347583.0,ns,37576
distr_random_i128,ChaCha8Rng,Canon32,,,11482665.0,ns,38064
distr_random_i128,ChaCha8Rng,Canon32,,,21979825.0,ns,38552
distr_random_i128,ChaCha8Rng,Canon32,,,19123990.0,ns,39040
distr_random_i128,ChaCha8Rng,Canon32,,,22435594.0,ns,39528
distr_random_i128,ChaCha8Rng,Canon32,,,12999771.0,ns,40016
distr_random_i128,ChaCha8Rng,Canon32,,,18483423.0,ns,40504
distr_random_i128,ChaCha8Rng,Canon32,,,23486962.0,ns,40992
distr_random_i128,ChaCha8Rng,Canon32,,,20691410.0,ns,41480
distr_random_i128,ChaCha8Rng,Canon32,,,19290072.0,ns,41968
distr_random_i128,ChaCha8Rng,Canon32,,,15126985.0,ns,42456
distr_random_i128,ChaCha8Rng,Canon32,,,21925964.0,ns,42944
distr_random_i128,ChaCha8Rng,Canon32,,,22977583.0,ns,43432
distr_random_i128,ChaCha8Rng,Canon32,,,22686636.0,ns,43920
distr_random_i128,ChaCha8Rng,Canon32,,,25479142.0,ns,44408
distr_random_i128,ChaCha8Rng,Canon32,,,22539840.0,ns,44896
distr_random_i128,ChaCha8Rng,Canon32,,,16068968.0,ns,45384
distr_random_i128,ChaCha8Rng,Canon32,,,24397467.0,ns,45872
distr_random_i128,ChaCha8Rng,Canon32,,,18354371.0,ns,46360
distr_random_i128,ChaCha8Rng,Canon32,,,17711190.0,ns,46848
distr_random_i128,ChaCha8Rng,Canon32,,,18579995.0,ns,47336
distr_random_i128,ChaCha8Rng,Canon32,,,14402461.0,ns,47824
distr_random_i128,ChaCha8Rng,Canon32,,,15052736.0,ns,48312
distr_random_i128,ChaCha8Rng,Canon32,,,23267779.0,ns,48800
