group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Lemire,,,308059.0,ns,803
distr_random_i128,ChaCha8Rng,Lemire,,,455447.0,ns,1606
distr_random_i128,ChaCha8Rng,Lemire,,,553953.0,ns,2409
distr_random_i128,ChaCha8Rng,Lemire,,,748970.0,ns,3212
distr_random_i128,ChaCha8Rng,Lemire,,,1034267.0,ns,4015
distr_random_i128,ChaCha8Rng,Lemire,,,1177667.0,ns,4818
distr_random_i128,ChaCha8Rng,Lemire,,,3071342.0,ns,5621
distr_random_i128,ChaCha8Rng,Lemire,,,4011050.0,ns,6424
distr_random_i128,ChaCha8Rng,Lemire,,,4898391.0,ns,7227
distr_random_i128,ChaCha8Rng,Lemire,,,2205051.0,ns,8030
distr_random_i128,ChaCha8Rng,Lemire,,,2036824.0,ns,8833
distr_random_i128,ChaCha8Rng,Lemire,,,2912703.0,ns,9636
distr_random_i128,ChaCha8Rng,Lemire,,,3471454.0,ns,10439
distr_random_i128,ChaCha8Rng,Lemire,,,3812407.0,ns,11242
distr_random_i128,ChaCha8Rng,Lemire,,,4557610.0,ns,12045
distr_random_i128,ChaCha8Rng,Lemire,,,3061373.0,ns,12848
distr_random_i128,ChaCha8Rng,Lemire,,,3136734.0,ns,13651
distr_random_i128,ChaCha8Rng,Lemire,,,3634251.0,ns,14454
distr_random_i128,ChaCha8Rng,Lemire,,,3956027.0,ns,15257
distr_random_i128,ChaCha8Rng,Lemire,,,5949300.0,ns,16060
distr_random_i128,ChaCha8Rng,Lemire,,,4758338.0,ns,16863
distr_random_i128,ChaCha8Rng,Lemire,,,4037671.0,ns,17666
distr_random_i128,ChaCha8Rng,Lemire,,,6320648.0,ns,18469
distr_random_i128,ChaCha8Rng,Lemire,,,9241166.0,ns,19272
distr_random_i128,ChaCha8Rng,Lemire,,,4619786.0,ns,20075
distr_random_i128,ChaCha8Rng,Lemire,,,5705720.0,ns,20878
distr_random_i128,ChaCha8Rng,Lemire,,,11399559.0,ns,21681
distr_random_i128,ChaCha8Rng,Lemire,,,6401521.0,ns,22484
distr_random_i128,ChaCha8Rng,Lemire,,,9690601.0,ns,23287
distr_random_i128,ChaCha8Rng,Lemire,,,8873504.0,ns,24090
distr_random_i128,ChaCha8Rng,Lemire,,,7187911.0,ns,24893
distr_random_i128,ChaCha8Rng,Lemire,,,5904735.0,ns,25696
distr_random_i128,ChaCha8Rng,Lemire,,,6441515.0,ns,26499
distr_random_i128,ChaCha8Rng,Lemire,,,8095820.0,ns,27302
