group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,Pcg32,Lemire,,,154782.0,ns,635
distr_random_i128,Pcg32,Lemire,,,684348.0,ns,1270
distr_random_i128,Pcg32,Lemire,,,509259.0,ns,1905
distr_random_i128,Pcg32,Lemire,,,995053.0,ns,2540
distr_random_i128,Pcg32,Lemire,,,940931.0,ns,3175
distr_random_i128,Pcg32,Lemire,,,1015221.0,ns,3810
distr_random_i128,Pcg32,Lemire,,,2974529.0,ns,4445
distr_random_i128,Pcg32,Lemire,,,1358538.0,ns,5080
distr_random_i128,Pcg32,Lemire,,,1606865.0,ns,5715
distr_random_i128,Pcg32,Lemire,,,1646780.0,ns,6350
distr_random_i128,Pcg32,Lemire,,,2497622.0,ns,6985
distr_random_i128,Pcg32,Lemire,,,1856625.0,ns,7620
distr_random_i128,Pcg32,Lemire,,,2141942.0,ns,8255
distr_random_i128,Pcg32,Lemire,,,2149887.0,ns,8890
distr_random_i128,Pcg32,Lemire,,,2837161.0,ns,9525
distr_random_i128,Pcg32,Lemire,,,2581289.0,ns,10160
distr_random_i128,Pcg32,Lemire,,,5233201.0,ns,10795
distr_random_i128,Pcg32,Lemire,,,3203090.0,ns,11430
distr_random_i128,Pcg32,Lemire,,,2992082.0,ns,12065
distr_random_i128,Pcg32,Lemire,,,6052393.0,ns,12700
distr_random_i128,Pcg32,Lemire,,,5746648.0,ns,13335
distr_random_i128,Pcg32,Lemire,,,3543711.0,ns,13970
distr_random_i128,Pcg32,Lemire,,,4489822.0,ns,14605
distr_random_i128,Pcg32,Lemire,,,6876424.0,ns,15240
distr_random_i128,Pcg32,Lemire,,,7767192.0,ns,15875
distr_random_i128,Pcg32,Lemire,,,4612874.0,ns,16510
distr_random_i128,Pcg32,Lemire,,,6853201.0,ns,17145
distr_random_i128,Pcg32,Lemire,,,5881491.0,ns,17780
distr_random_i128,Pcg32,Lemire,,,6930345.0,ns,18415
distr_random_i128,Pcg32,Lemire,,,6142854.0,ns,19050
distr_random_i128,Pcg32,Lemire,,,4951170.0,ns,19685
distr_random_i128,Pcg32,Lemire,,,6459079.0,ns,20320
distr_random_i128,Pcg32,Lemire,,,13130107.0,ns,20955
distr_random_i128,Pcg32,Lemire,,,5724435.0,ns,21590
distr_random_i128,Pcg32,Lemire,,,8385135.0,ns,22225
distr_random_i128,Pcg32,Lemire,,,9744423.0,ns,22860
distr_random_i128,Pcg32,Lemire,,,5813794.0,ns,23495
distr_random_i128,Pcg32,Lemire,,,7363712.0,ns,24130
distr_random_i128,Pcg32,Lemire,,,7104784.0,ns,24765
distr_random_i128,Pcg32,Lemire,,,6223715.0,ns,25400
distr_random_i128,Pcg32,Lemire,,,6660728.0,ns,26035
distr_random_i128,Pcg32,Lemire,,,6679614.0,ns,26670
distr_random_i128,Pcg32,Lemire,,,14468625.0,ns,27305
distr_random_i128,Pcg32,Lemire,,,10095925.0,ns,27940
distr_random_i128,Pcg32,Lemire,,,10214518.0,ns,28575
distr_random_i128,Pcg32,Lemire,,,7361938.0,ns,29210
distr_random_i128,Pcg32,Lemire,,,9760183.0,ns,29845
distr_random_i128,Pcg32,Lemire,,,7379261.0,ns,30480
distr_random_i128,Pcg32,Lemire,,,8578870.0,ns,31115
distr_random_i128,Pcg32,Lemire,,,8408569.0,ns,31750
distr_random_i128,Pcg32,Lemire,,,7900562.0,ns,32385
distr_random_i128,Pcg32,Lemire,,,8470395.0,ns,33020
distr_random_i128,Pcg32,Lemire,,,9265060.0,ns,33655
distr_random_i128,Pcg32,Lemire,,,8288783.0,ns,34290
distr_random_i128,Pcg32,Lemire,,,8519888.0,ns,34925
distr_random_i128,Pcg32,Lemire,,,9213734.0,ns,35560
distr_random_i128,Pcg32,Lemire,,,10103779.0,ns,36195
distr_random_i128,Pcg32,Lemire,,,9392962.0,ns,36830
distr_random_i128,Pcg32,Lemire,,,9637411.0,ns,37465
distr_random_i128,Pcg32,Lemire,,,9635538.0,ns,38100
distr_random_i128,Pcg32,Lemire,,,10092017.0,ns,38735
distr_random_i128,Pcg32,Lemire,,,13419861.0,ns,39370
distr_random_i128,Pcg32,Lemire,,,10631945.0,ns,40005
distr_random_i128,Pcg32,Lemire,,,9951002.0,ns,40640
distr_random_i128,Pcg32,Lemire,,,11844367.0,ns,41275
distr_random_i128,Pcg32,Lemire,,,10773430.0,ns,41910
distr_random_i128,Pcg32,Lemire,,,13201581.0,ns,42545
distr_random_i128,Pcg32,Lemire,,,11671310.0,ns,43180
distr_random_i128,Pcg32,Lemire,,,11149017.0,ns,43815
distr_random_i128,Pcg32,Lemire,,,11148977.0,ns,44450
distr_random_i128,Pcg32,Lemire,,,14290510.0,ns,45085
distr_random_i128,Pcg32,Lemire,,,11112328.0,ns,45720
distr_random_i128,Pcg32,Lemire,,,14021334.0,ns,46355
distr_random_i128,Pcg32,Lemire,,,13478482.0,ns,46990
distr_random_i128,Pcg32,Lemire,,,11996492.0,ns,47625
distr_random_i128,Pcg32,Lemire,,,12308139.0,ns,48260
distr_random_i128,Pcg32,Lemire,,,14553265.0,ns,48895
distr_random_i128,Pcg32,Lemire,,,12044653.0,ns,49530
distr_random_i128,Pcg32,Lemire,,,12628493.0,ns,50165
distr_random_i128,Pcg32,Lemire,,,12418086.0,ns,50800
distr_random_i128,Pcg32,Lemire,,,12762054.0,ns,51435
