group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,Pcg64,Canon-reduced,,,156124.0,ns,833
distr_random_i128,Pcg64,Canon-reduced,,,409030.0,ns,1666
distr_random_i128,Pcg64,Canon-reduced,,,745143.0,ns,2499
distr_random_i128,Pcg64,Canon-reduced,,,1094590.0,ns,3332
distr_random_i128,Pcg64,Canon-reduced,,,1015502.0,ns,4165
distr_random_i128,Pcg64,Canon-reduced,,,1304306.0,ns,4998
distr_random_i128,Pcg64,Canon-reduced,,,1211010.0,ns,5831
distr_random_i128,Pcg64,Canon-reduced,,,2032727.0,ns,6664
distr_random_i128,Pcg64,Canon-reduced,,,2483836.0,ns,7497
distr_random_i128,Pcg64,Canon-reduced,,,1721351.0,ns,8330
distr_random_i128,Pcg64,Canon-reduced,,,2203798.0,ns,9163
distr_random_i128,Pcg64,Canon-reduced,,,2151840.0,ns,9996
distr_random_i128,Pcg64,Canon-reduced,,,2590116.0,ns,10829
distr_random_i128,Pcg64,Canon-reduced,,,4383281.0,ns,11662
distr_random_i128,Pcg64,Canon-reduced,,,3368230.0,ns,12495
distr_random_i128,Pcg64,Canon-reduced,,,4549995.0,ns,13328
distr_random_i128,Pcg64,Canon-reduced,,,3902806.0,ns,14161
distr_random_i128,Pcg64,Canon-reduced,,,4458102.0,ns,14994
distr_random_i128,Pcg64,Canon-reduced,,,4972069.0,ns,15827
distr_random_i128,Pcg64,Canon-reduced,,,3983849.0,ns,16660
distr_random_i128,Pcg64,Canon-reduced,,,5251636.0,ns,17493
distr_random_i128,Pcg64,Canon-reduced,,,6751239.0,ns,18326
distr_random_i128,Pcg64,Canon-reduced,,,6920798.0,ns,19159
distr_random_i128,Pcg64,Canon-reduced,,,5231027.0,ns,19992
distr_random_i128,Pcg64,Canon-reduced,,,4697193.0,ns,20825
distr_random_i128,Pcg64,Canon-reduced,,,8174889.0,ns,21658
distr_random_i128,Pcg64,Canon-reduced,,,5316739.0,ns,22491
distr_random_i128,Pcg64,Canon-reduced,,,5071226.0,ns,23324
distr_random_i128,Pcg64,Canon-reduced,,,9051960.0,ns,24157
distr_random_i128,Pcg64,Canon-reduced,,,6009563.0,ns,24990
distr_random_i128,Pcg64,Canon-reduced,,,7296065.0,ns,25823
distr_random_i128,Pcg64,Canon-reduced,,,6429142.0,ns,26656
distr_random_i128,Pcg64,Canon-reduced,,,6184973.0,ns,27489
distr_random_i128,Pcg64,Canon-reduced,,,7641315.0,ns,28322
distr_random_i128,Pcg64,Canon-reduced,,,11244427.0,ns,29155
distr_random_i128,Pcg64,Canon-reduced,,,6291043.0,ns,29988
distr_random_i128,Pcg64,Canon-reduced,,,8360709.0,ns,30821
distr_random_i128,Pcg64,Canon-reduced,,,10746710.0,ns,31654
distr_random_i128,Pcg64,Canon-reduced,,,6473256.0,ns,32487
distr_random_i128,Pcg64,Canon-reduced,,,7982326.0,ns,33320
distr_random_i128,Pcg64,Canon-reduced,,,6724067.0,ns,34153
distr_random_i128,Pcg64,Canon-reduced,,,12038602.0,ns,34986
distr_random_i128,Pcg64,Canon-reduced,,,7991634.0,ns,35819
distr_random_i128,Pcg64,Canon-reduced,,,6628708.0,ns,36652
distr_random_i128,Pcg64,Canon-reduced,,,7339346.0,ns,37485
distr_random_i128,Pcg64,Canon-reduced,,,7350356.0,ns,38318
distr_random_i128,Pcg64,Canon-reduced,,,14692547.0,ns,39151
distr_random_i128,Pcg64,Canon-reduced,,,7627127.0,ns,39984
distr_random_i128,Pcg64,Canon-reduced,,,13314754.0,ns,40817
