group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,Pcg64,Canon32,,,251463.0,ns,706
distr_random_i128,Pcg64,Canon32,,,306417.0,ns,1412
distr_random_i128,Pcg64,Canon32,,,938877.0,ns,2118
distr_random_i128,Pcg64,Canon32,,,642340.0,ns,2824
distr_random_i128,Pcg64,Canon32,,,822288.0,ns,3530
distr_random_i128,Pcg64,Canon32,,,819232.0,ns,4236
distr_random_i128,Pcg64,Canon32,,,1175102.0,ns,4942
distr_random_i128,Pcg64,Canon32,,,2209640.0,ns,5648
distr_random_i128,Pcg64,Canon32,,,2684162.0,ns,6354
distr_random_i128,Pcg64,Canon32,,,2669465.0,ns,7060
distr_random_i128,Pcg64,Canon32,,,1678640.0,ns,7766
distr_random_i128,Pcg64,Canon32,,,3248034.0,ns,8472
distr_random_i128,Pcg64,Canon32,,,3723579.0,ns,9178
distr_random_i128,Pcg64,Canon32,,,3643499.0,ns,9884
distr_random_i128,Pcg64,Canon32,,,2887616.0,ns,10590
distr_random_i128,Pcg64,Canon32,,,2207185.0,ns,11296
distr_random_i128,Pcg64,Canon32,,,2351306.0,ns,12002
distr_random_i128,Pcg64,Canon32,,,5168689.0,ns,12708
distr_random_i128,Pcg64,Canon32,,,5957515.0,ns,13414
distr_random_i128,Pcg64,Canon32,,,4073007.0,ns,14120
distr_random_i128,Pcg64,Canon32,,,6630652.0,ns,14826
distr_random_i128,Pcg64,Canon32,,,6901251.0,ns,15532
distr_random_i128,Pcg64,Canon32,,,6678662.0,ns,16238
distr_random_i128,Pcg64,Canon32,,,7112358.0,ns,16944
distr_random_i128,Pcg64,Canon32,,,5023757.0,ns,17650
distr_random_i128,Pcg64,Canon32,,,6224797.0,ns,18356
distr_random_i128,Pcg64,Canon32,,,8236915.0,ns,19062
distr_random_i128,Pcg64,Canon32,,,8474112.0,ns,19768
distr_random_i128,Pcg64,Canon32,,,8865960.0,ns,20474
distr_random_i128,Pcg64,Canon32,,,4369415.0,ns,21180
distr_random_i128,Pcg64,Canon32,,,5491667.0,ns,21886
distr_random_i128,Pcg64,Canon32,,,5551791.0,ns,22592
distr_random_i128,Pcg64,Canon32,,,4506093.0,ns,23298
distr_random_i128,Pcg64,Canon32,,,8265138.0,ns,24004
distr_random_i128,Pcg64,Canon32,,,4887470.0,ns,24710
distr_random_i128,Pcg64,Canon32,,,7896225.0,ns,25416
distr_random_i128,Pcg64,Canon32,,,6087469.0,ns,26122
distr_random_i128,Pcg64,Canon32,,,7758074.0,ns,26828
distr_random_i128,Pcg64,Canon32,,,12278052.0,ns,27534
distr_random_i128,Pcg64,Canon32,,,9343318.0,ns,28240
distr_random_i128,Pcg64,Canon32,,,5607205.0,ns,28946
distr_random_i128,Pcg64,Canon32,,,8659191.0,ns,29652
distr_random_i128,Pcg64,Canon32,,,11175277.0,ns,30358
distr_random_i128,Pcg64,Canon32,,,6139717.0,ns,31064
distr_random_i128,Pcg64,Canon32,,,14189591.0,ns,31770
distr_random_i128,Pcg64,Canon32,,,8118792.0,ns,32476
distr_random_i128,Pcg64,Canon32,,,8014156.0,ns,33182
distr_random_i128,Pcg64,Canon32,,,6577512.0,ns,33888
distr_random_i128,Pcg64,Canon32,,,8159239.0,ns,34594
distr_random_i128,Pcg64,Canon32,,,15860015.0,ns,35300
distr_random_i128,Pcg64,Canon32,,,7008463.0,ns,36006
distr_random_i128,Pcg64,Canon32,,,8380536.0,ns,36712
distr_random_i128,Pcg64,Canon32,,,7902796.0,ns,37418
distr_random_i128,Pcg64,Canon32,,,13282734.0,ns,38124
distr_random_i128,Pcg64,Canon32,,,9199748.0,ns,38830
distr_random_i128,Pcg64,Canon32,,,15794682.0,ns,39536
distr_random_i128,Pcg64,Canon32,,,10029810.0,ns,40242
distr_random_i128,Pcg64,Canon32,,,12161894.0,ns,40948
distr_random_i128,Pcg64,Canon32,,,15470972.0,ns,41654
distr_random_i128,Pcg64,Canon32,,,16397958.0,ns,42360
distr_random_i128,Pcg64,Canon32,,,18631211.0,ns,43066
distr_random_i128,Pcg64,Canon32,,,9737791.0,ns,43772
distr_random_i128,Pcg64,Canon32,,,9945912.0,ns,44478
distr_random_i128,Pcg64,Canon32,,,18275702.0,ns,45184
