group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,SmallRng,Lemire,,,184828.0,ns,756
distr_random_i128,SmallRng,Lemire,,,378272.0,ns,1512
distr_random_i128,SmallRng,Lemire,,,526551.0,ns,2268
distr_random_i128,SmallRng,Lemire,,,886178.0,ns,3024
distr_random_i128,SmallRng,Lemire,,,863054.0,ns,3780
distr_random_i128,SmallRng,Lemire,,,1857907.0,ns,4536
distr_random_i128,SmallRng,Lemire,,,1379076.0,ns,5292
distr_random_i128,SmallRng,Lemire,,,1434851.0,ns,6048
distr_random_i128,SmallRng,Lemire,,,2426818.0,ns,6804
distr_random_i128,SmallRng,Lemire,,,2217875.0,ns,7560
distr_random_i128,SmallRng,Lemire,,,2616355.0,ns,8316
distr_random_i128,SmallRng,Lemire,,,3037127.0,ns,9072
distr_random_i128,SmallRng,Lemire,,,2605385.0,ns,9828
distr_random_i128,SmallRng,Lemire,,,3044371.0,ns,10584
distr_random_i128,SmallRng,Lemire,,,2576971.0,ns,11340
distr_random_i128,SmallRng,Lemire,,,7030545.0,ns,12096
distr_random_i128,SmallRng,Lemire,,,3159758.0,ns,12852
distr_random_i128,SmallRng,Lemire,,,3703331.0,ns,13608
distr_random_i128,SmallRng,Lemire,,,3303629.0,ns,14364
distr_random_i128,SmallRng,Lemire,,,3534593.0,ns,15120
distr_random_i128,SmallRng,Lemire,,,3660480.0,ns,15876
distr_random_i128,SmallRng,Lemire,,,4344518.0,ns,16632
distr_random_i128,SmallRng,Lemire,,,4139823.0,ns,17388
distr_random_i128,SmallRng,Lemire,,,7876858.0,ns,18144
distr_random_i128,SmallRng,Lemire,,,5331005.0,ns,18900
distr_random_i128,SmallRng,Lemire,,,5097476.0,ns,19656
distr_random_i128,SmallRng,Lemire,,,5951984.0,ns,20412
distr_random_i128,SmallRng,Lemire,,,4787642.0,ns,21168
distr_random_i128,SmallRng,Lemire,,,5210889.0,ns,21924
distr_random_i128,SmallRng,Lemire,,,5514541.0,ns,22680
distr_random_i128,SmallRng,Lemire,,,6896812.0,ns,23436
distr_random_i128,SmallRng,Lemire,,,5601014.0,ns,24192
distr_random_i128,SmallRng,Lemire,,,6001277.0,ns,24948
distr_random_i128,SmallRng,Lemire,,,8755792.0,ns,25704
distr_random_i128,SmallRng,Lemire,,,7975514.0,ns,26460
distr_random_i128,SmallRng,Lemire,,,6145048.0,ns,27216
distr_random_i128,SmallRng,Lemire,,,6909908.0,ns,27972
distr_random_i128,SmallRng,Lemire,,,6507920.0,ns,28728
distr_random_i128,SmallRng,Lemire,,,7820982.0,ns,29484
distr_random_i128,SmallRng,Lemire,,,9517997.0,ns,30240
distr_random_i128,SmallRng,Lemire,,,8783284.0,ns,30996
distr_random_i128,SmallRng,Lemire,,,7599786.0,ns,31752
distr_random_i128,SmallRng,Lemire,,,7990762.0,ns,32508
distr_random_i128,SmallRng,Lemire,,,7611518.0,ns,33264
distr_random_i128,SmallRng,Lemire,,,8650814.0,ns,34020
distr_random_i128,SmallRng,Lemire,,,8434467.0,ns,34776
distr_random_i128,SmallRng,Lemire,,,12811036.0,ns,35532
distr_random_i128,SmallRng,Lemire,,,8684428.0,ns,36288
distr_random_i128,SmallRng,Lemire,,,8354937.0,ns,37044
distr_random_i128,SmallRng,Lemire,,,9041039.0,ns,37800
distr_random_i128,SmallRng,Lemire,,,10137433.0,ns,38556
distr_random_i128,SmallRng,Lemire,,,12429277.0,ns,39312
distr_random_i128,SmallRng,Lemire,,,20022511.0,ns,40068
distr_random_i128,SmallRng,Lemire,,,11735611.0,ns,40824
distr_random_i128,SmallRng,Lemire,,,9427126.0,ns,41580
distr_random_i128,SmallRng,Lemire,,,10765926.0,ns,42336
distr_random_i128,SmallRng,Lemire,,,13201591.0,ns,43092
distr_random_i128,SmallRng,Lemire,,,9997159.0,ns,43848
distr_random_i128,SmallRng,Lemire,,,12764938.0,ns,44604
distr_random_i128,SmallRng,Lemire,,,12823179.0,ns,45360
distr_random_i128,SmallRng,Lemire,,,27275094.0,ns,46116
distr_random_i128,SmallRng,Lemire,,,12305725.0,ns,46872
distr_random_i128,SmallRng,Lemire,,,10762819.0,ns,47628
distr_random_i128,SmallRng,Lemire,,,11628099.0,ns,48384
distr_random_i128,SmallRng,Lemire,,,11648527.0,ns,49140
distr_random_i128,SmallRng,Lemire,,,11941138.0,ns,49896
distr_random_i128,SmallRng,Lemire,,,30507848.0,ns,50652
distr_random_i128,SmallRng,Lemire,,,12641266.0,ns,51408
distr_random_i128,SmallRng,Lemire,,,12381347.0,ns,52164
distr_random_i128,SmallRng,Lemire,,,12810525.0,ns,52920
distr_random_i128,SmallRng,Lemire,,,12197771.0,ns,53676
distr_random_i128,SmallRng,Lemire,,,12242365.0,ns,54432
distr_random_i128,SmallRng,Lemire,,,14127243.0,ns,55188
distr_random_i128,SmallRng,Lemire,,,12821776.0,ns,55944
distr_random_i128,SmallRng,Lemire,,,20838718.0,ns,56700
distr_random_i128,SmallRng,Lemire,,,13105611.0,ns,57456
distr_random_i128,SmallRng,Lemire,,,13369818.0,ns,58212
distr_random_i128,SmallRng,Lemire,,,32196908.0,ns,58968
distr_random_i128,SmallRng,Lemire,,,16453092.0,ns,59724
distr_random_i128,SmallRng,Lemire,,,22363136.0,ns,60480
distr_random_i128,SmallRng,Lemire,,,15000577.0,ns,61236
distr_random_i128,SmallRng,Lemire,,,17627513.0,ns,61992
distr_random_i128,SmallRng,Lemire,,,16699366.0,ns,62748
distr_random_i128,SmallRng,Lemire,,,18241218.0,ns,63504
distr_random_i128,SmallRng,Lemire,,,17615299.0,ns,64260
distr_random_i128,SmallRng,Lemire,,,21812991.0,ns,65016
distr_random_i128,SmallRng,Lemire,,,23304258.0,ns,65772
distr_random_i128,SmallRng,Lemire,,,16152726.0,ns,66528
distr_random_i128,SmallRng,Lemire,,,16897448.0,ns,67284
distr_random_i128,SmallRng,Lemire,,,18896782.0,ns,68040
distr_random_i128,SmallRng,Lemire,,,19528952.0,ns,68796
distr_random_i128,SmallRng,Lemire,,,39579285.0,ns,69552
distr_random_i128,SmallRng,Lemire,,,23083072.0,ns,70308
distr_random_i128,SmallRng,Lemire,,,18059255.0,ns,71064
distr_random_i128,SmallRng,Lemire,,,17015921.0,ns,71820
distr_random_i128,SmallRng,Lemire,,,28769796.0,ns,72576
distr_random_i128,SmallRng,Lemire,,,24177342.0,ns,73332
distr_random_i128,SmallRng,Lemire,,,43489074.0,ns,74088
distr_random_i128,SmallRng,Lemire,,,19651593.0,ns,74844
distr_random_i128,SmallRng,Lemire,,,22428529.0,ns,75600
