group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,SmallRng,Old,,,181171.0,ns,723
distr_random_i128,SmallRng,Old,,,386638.0,ns,1446
distr_random_i128,SmallRng,Old,,,554664.0,ns,2169
distr_random_i128,SmallRng,Old,,,740233.0,ns,2892
distr_random_i128,SmallRng,Old,,,1106813.0,ns,3615
distr_random_i128,SmallRng,Old,,,2059397.0,ns,4338
distr_random_i128,SmallRng,Old,,,1268237.0,ns,5061
distr_random_i128,SmallRng,Old,,,1450431.0,ns,5784
distr_random_i128,SmallRng,Old,,,1607586.0,ns,6507
distr_random_i128,SmallRng,Old,,,1809777.0,ns,7230
distr_random_i128,SmallRng,Old,,,2526465.0,ns,7953
distr_random_i128,SmallRng,Old,,,3462258.0,ns,8676
distr_random_i128,SmallRng,Old,,,2461554.0,ns,9399
distr_random_i128,SmallRng,Old,,,2629691.0,ns,10122
distr_random_i128,SmallRng,Old,,,2810311.0,ns,10845
distr_random_i128,SmallRng,Old,,,3694976.0,ns,11568
distr_random_i128,SmallRng,Old,,,4224623.0,ns,12291
distr_random_i128,SmallRng,Old,,,3311433.0,ns,13014
distr_random_i128,SmallRng,Old,,,3789914.0,ns,13737
distr_random_i128,SmallRng,Old,,,3897517.0,ns,14460
distr_random_i128,SmallRng,Old,,,4113633.0,ns,15183
distr_random_i128,SmallRng,Old,,,4611541.0,ns,15906
distr_random_i128,SmallRng,Old,,,4735745.0,ns,16629
distr_random_i128,SmallRng,Old,,,4294704.0,ns,17352
distr_random_i128,SmallRng,Old,,,9960279.0,ns,18075
distr_random_i128,SmallRng,Old,,,10538969.0,ns,18798
distr_random_i128,SmallRng,Old,,,7654639.0,ns,19521
distr_random_i128,SmallRng,Old,,,6134567.0,ns,20244
distr_random_i128,SmallRng,Old,,,11158174.0,ns,20967
distr_random_i128,SmallRng,Old,,,6304838.0,ns,21690
distr_random_i128,SmallRng,Old,,,5673269.0,ns,22413
distr_random_i128,SmallRng,Old,,,8491655.0,ns,23136
distr_random_i128,SmallRng,Old,,,6316251.0,ns,23859
distr_random_i128,SmallRng,Old,,,6797616.0,ns,24582
distr_random_i128,SmallRng,Old,,,6506537.0,ns,25305
distr_random_i128,SmallRng,Old,,,6666179.0,ns,26028
distr_random_i128,SmallRng,Old,,,9512336.0,ns,26751
distr_random_i128,SmallRng,Old,,,7495329.0,ns,27474
distr_random_i128,SmallRng,Old,,,7103392.0,ns,28197
distr_random_i128,SmallRng,Old,,,7374362.0,ns,28920
distr_random_i128,SmallRng,Old,,,17014278.0,ns,29643
distr_random_i128,SmallRng,Old,,,7792519.0,ns,30366
distr_random_i128,SmallRng,Old,,,9958045.0,ns,31089
distr_random_i128,SmallRng,Old,,,13429039.0,ns,31812
distr_random_i128,SmallRng,Old,,,8062156.0,ns,32535
distr_random_i128,SmallRng,Old,,,10355994.0,ns,33258
distr_random_i128,SmallRng,Old,,,9402429.0,ns,33981
distr_random_i128,SmallRng,Old,,,8600299.0,ns,34704
distr_random_i128,SmallRng,Old,,,9175622.0,ns,35427
distr_random_i128,SmallRng,Old,,,10352217.0,ns,36150
distr_random_i128,SmallRng,Old,,,9526433.0,ns,36873
distr_random_i128,SmallRng,Old,,,9348137.0,ns,37596
distr_random_i128,SmallRng,Old,,,9753520.0,ns,38319
distr_random_i128,SmallRng,Old,,,9750444.0,ns,39042
distr_random_i128,SmallRng,Old,,,10145358.0,ns,39765
distr_random_i128,SmallRng,Old,,,10588542.0,ns,40488
distr_random_i128,SmallRng,Old,,,11129310.0,ns,41211
distr_random_i128,SmallRng,Old,,,21022473.0,ns,41934
distr_random_i128,SmallRng,Old,,,11068606.0,ns,42657
distr_random_i128,SmallRng,Old,,,12033643.0,ns,43380
distr_random_i128,SmallRng,Old,,,26011234.0,ns,44103
distr_random_i128,SmallRng,Old,,,11505939.0,ns,44826
distr_random_i128,SmallRng,Old,,,15023762.0,ns,45549
distr_random_i128,SmallRng,Old,,,13181172.0,ns,46272
distr_random_i128,SmallRng,Old,,,15807797.0,ns,46995
distr_random_i128,SmallRng,Old,,,12342214.0,ns,47718
distr_random_i128,SmallRng,Old,,,12021069.0,ns,48441
distr_random_i128,SmallRng,Old,,,12249810.0,ns,49164
distr_random_i128,SmallRng,Old,,,15717307.0,ns,49887
distr_random_i128,SmallRng,Old,,,13394865.0,ns,50610
distr_random_i128,SmallRng,Old,,,12652988.0,ns,51333
distr_random_i128,SmallRng,Old,,,16710947.0,ns,52056
distr_random_i128,SmallRng,Old,,,13184128.0,ns,52779
distr_random_i128,SmallRng,Old,,,21005321.0,ns,53502
distr_random_i128,SmallRng,Old,,,13372773.0,ns,54225
distr_random_i128,SmallRng,Old,,,14179622.0,ns,54948
distr_random_i128,SmallRng,Old,,,15956186.0,ns,55671
distr_random_i128,SmallRng,Old,,,18973175.0,ns,56394
distr_random_i128,SmallRng,Old,,,14250094.0,ns,57117
distr_random_i128,SmallRng,Old,,,15672372.0,ns,57840
distr_random_i128,SmallRng,Old,,,14609731.0,ns,58563
distr_random_i128,SmallRng,Old,,,34205459.0,ns,59286
distr_random_i128,SmallRng,Old,,,26896621.0,ns,60009
distr_random_i128,SmallRng,Old,,,19063646.0,ns,60732
distr_random_i128,SmallRng,Old,,,15586791.0,ns,61455
distr_random_i128,SmallRng,Old,,,21654272.0,ns,62178
distr_random_i128,SmallRng,Old,,,17475938.0,ns,62901
distr_random_i128,SmallRng,Old,,,21440310.0,ns,63624
distr_random_i128,SmallRng,Old,,,21765010.0,ns,64347
distr_random_i128,SmallRng,Old,,,16784285.0,ns,65070
distr_random_i128,SmallRng,Old,,,17856664.0,ns,65793
distr_random_i128,SmallRng,Old,,,19082371.0,ns,66516
distr_random_i128,SmallRng,Old,,,16589388.0,ns,67239
distr_random_i128,SmallRng,Old,,,24451869.0,ns,67962
distr_random_i128,SmallRng,Old,,,17266182.0,ns,68685
distr_random_i128,SmallRng,Old,,,25551769.0,ns,69408
distr_random_i128,SmallRng,Old,,,25104337.0,ns,70131
distr_random_i128,SmallRng,Old,,,20111147.0,ns,70854
distr_random_i128,SmallRng,Old,,,22584573.0,ns,71577
distr_random_i128,SmallRng,Old,,,28559160.0,ns,72300
