group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,ChaCha8Rng,Bitmask,,,160322.0,ns,624
distr_random_i16,ChaCha8Rng,Bitmask,,,194305.0,ns,1248
distr_random_i16,ChaCha8Rng,Bitmask,,,724835.0,ns,1872
distr_random_i16,ChaCha8Rng,Bitmask,,,652078.0,ns,2496
distr_random_i16,ChaCha8Rng,Bitmask,,,789877.0,ns,3120
distr_random_i16,ChaCha8Rng,Bitmask,,,858456.0,ns,3744
distr_random_i16,ChaCha8Rng,Bitmask,,,551328.0,ns,4368
distr_random_i16,ChaCha8Rng,Bitmask,,,2091868.0,ns,4992
distr_random_i16,ChaCha8Rng,Bitmask,,,690179.0,ns,5616
distr_random_i16,ChaCha8Rng,Bitmask,,,773526.0,ns,6240
distr_random_i16,ChaCha8Rng,Bitmask,,,1792865.0,ns,6864
distr_random_i16,ChaCha8Rng,Bitmask,,,3015276.0,ns,7488
distr_random_i16,ChaCha8Rng,Bitmask,,,3395171.0,ns,8112
distr_random_i16,ChaCha8Rng,Bitmask,,,1457033.0,ns,8736
distr_random_i16,ChaCha8Rng,Bitmask,,,3431058.0,ns,9360
distr_random_i16,ChaCha8Rng,Bitmask,,,3121536.0,ns,9984
distr_random_i16,ChaCha8Rng,Bitmask,,,3749438.0,ns,10608
distr_random_i16,ChaCha8Rng,Bitmask,,,3204843.0,ns,11232
distr_random_i16,ChaCha8Rng,Bitmask,,,1520873.0,ns,11856
distr_random_i16,ChaCha8Rng,Bitmask,,,3703611.0,ns,12480
distr_random_i16,ChaCha8Rng,Bitmask,,,2662012.0,ns,13104
distr_random_i16,ChaCha8Rng,Bitmask,,,3842313.0,ns,13728
distr_random_i16,ChaCha8Rng,Bitmask,,,4350429.0,ns,14352
distr_random_i16,ChaCha8Rng,Bitmask,,,4701199.0,ns,14976
distr_random_i16,ChaCha8Rng,Bitmask,,,3063006.0,ns,15600
distr_random_i16,ChaCha8Rng,Bitmask,,,2082440.0,ns,16224
distr_random_i16,ChaCha8Rng,Bitmask,,,5425644.0,ns,16848
distr_random_i16,ChaCha8Rng,Bitmask,,,2442868.0,ns,17472
distr_random_i16,ChaCha8Rng,Bitmask,,,6565539.0,ns,18096
distr_random_i16,ChaCha8Rng,Bitmask,,,4784456.0,ns,18720
distr_random_i16,ChaCha8Rng,Bitmask,,,3458039.0,ns,19344
distr_random_i16,ChaCha8Rng,Bitmask,,,8157356.0,ns,19968
distr_random_i16,ChaCha8Rng,Bitmask,,,5629107.0,ns,20592
distr_random_i16,ChaCha8Rng,Bitmask,,,3801156.0,ns,21216
distr_random_i16,ChaCha8Rng,Bitmask,,,6637655.0,ns,21840
distr_random_i16,ChaCha8Rng,Bitmask,,,9623546.0,ns,22464
distr_random_i16,ChaCha8Rng,Bitmask,,,4146345.0,ns,23088
distr_random_i16,ChaCha8Rng,Bitmask,,,7287218.0,ns,23712
distr_random_i16,ChaCha8Rng,Bitmask,,,4512494.0,ns,24336
distr_random_i16,ChaCha8Rng,Bitmask,,,5041390.0,ns,24960
distr_random_i16,ChaCha8Rng,Bitmask,,,8391145.0,ns,25584
distr_random_i16,ChaCha8Rng,Bitmask,,,5760183.0,ns,26208
distr_random_i16,ChaCha8Rng,Bitmask,,,9509531.0,ns,26832
distr_random_i16,ChaCha8Rng,Bitmask,,,4555215.0,ns,27456
distr_random_i16,ChaCha8Rng,Bitmask,,,8269537.0,ns,28080
distr_random_i16,ChaCha8Rng,Bitmask,,,9486888.0,ns,28704
distr_random_i16,ChaCha8Rng,Bitmask,,,4315453.0,ns,29328
distr_random_i16,ChaCha8Rng,Bitmask,,,7502974.0,ns,29952
