group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,ChaCha8Rng,Lemire,,,199636.0,ns,2654
distr_random_i16,ChaCha8Rng,Lemire,,,395704.0,ns,5308
distr_random_i16,ChaCha8Rng,Lemire,,,588588.0,ns,7962
distr_random_i16,ChaCha8Rng,Lemire,,,788033.0,ns,10616
distr_random_i16,ChaCha8Rng,Lemire,,,985275.0,ns,13270
distr_random_i16,ChaCha8Rng,Lemire,,,1181965.0,ns,15924
distr_random_i16,ChaCha8Rng,Lemire,,,1379176.0,ns,18578
distr_random_i16,ChaCha8Rng,Lemire,,,1575617.0,ns,21232
distr_random_i16,ChaCha8Rng,Lemire,,,1792074.0,ns,23886
distr_random_i16,ChaCha8Rng,Lemire,,,1981830.0,ns,26540
distr_random_i16,ChaCha8Rng,Lemire,,,2172079.0,ns,29194
distr_random_i16,ChaCha8Rng,Lemire,,,2398545.0,ns,31848
distr_random_i16,ChaCha8Rng,Lemire,,,2574005.0,ns,34502
distr_random_i16,ChaCha8Rng,Lemire,,,2824607.0,ns,37156
distr_random_i16,ChaCha8Rng,Lemire,,,2960854.0,ns,39810
distr_random_i16,ChaCha8Rng,Lemire,,,3153426.0,ns,42464
distr_random_i16,ChaCha8Rng,Lemire,,,3346099.0,ns,45118
distr_random_i16,ChaCha8Rng,Lemire,,,3581351.0,ns,47772
distr_random_i16,ChaCha8Rng,Lemire,,,3748597.0,ns,50426
distr_random_i16,ChaCha8Rng,Lemire,,,3943464.0,ns,53080
distr_random_i16,ChaCha8Rng,Lemire,,,4280618.0,ns,55734
distr_random_i16,ChaCha8Rng,Lemire,,,4371689.0,ns,58388
distr_random_i16,ChaCha8Rng,Lemire,,,4538584.0,ns,61042
distr_random_i16,ChaCha8Rng,Lemire,,,4750473.0,ns,63696
distr_random_i16,ChaCha8Rng,Lemire,,,4921174.0,ns,66350
distr_random_i16,ChaCha8Rng,Lemire,,,5149574.0,ns,69004
distr_random_i16,ChaCha8Rng,Lemire,,,5326517.0,ns,71658
distr_random_i16,ChaCha8Rng,Lemire,,,5533968.0,ns,74312
distr_random_i16,ChaCha8Rng,Lemire,,,5724596.0,ns,76966
distr_random_i16,ChaCha8Rng,Lemire,,,5919523.0,ns,79620
distr_random_i16,ChaCha8Rng,Lemire,,,6090535.0,ns,82274
distr_random_i16,ChaCha8Rng,Lemire,,,6315328.0,ns,84928
distr_random_i16,ChaCha8Rng,Lemire,,,6480358.0,ns,87582
distr_random_i16,ChaCha8Rng,Lemire,,,6704801.0,ns,90236
distr_random_i16,ChaCha8Rng,Lemire,,,6885442.0,ns,92890
distr_random_i16,ChaCha8Rng,Lemire,,,7087512.0,ns,95544
distr_random_i16,ChaCha8Rng,Lemire,,,7295683.0,ns,98198
distr_random_i16,ChaCha8Rng,Lemire,,,7438092.0,ns,100852
distr_random_i16,ChaCha8Rng,Lemire,,,7674798.0,ns,103506
distr_random_i16,ChaCha8Rng,Lemire,,,7838816.0,ns,106160
distr_random_i16,ChaCha8Rng,Lemire,,,8066434.0,ns,108814
distr_random_i16,ChaCha8Rng,Lemire,,,8238559.0,ns,111468
distr_random_i16,ChaCha8Rng,Lemire,,,8462510.0,ns,114122
distr_random_i16,ChaCha8Rng,Lemire,,,8630186.0,ns,116776
distr_random_i16,ChaCha8Rng,Lemire,,,8846973.0,ns,119430
distr_random_i16,ChaCha8Rng,Lemire,,,9028185.0,ns,122084
distr_random_i16,ChaCha8Rng,Lemire,,,9237659.0,ns,124738
distr_random_i16,ChaCha8Rng,Lemire,,,9390878.0,ns,127392
distr_random_i16,ChaCha8Rng,Lemire,,,9639566.0,ns,130046
distr_random_i16,ChaCha8Rng,Lemire,,,9842828.0,ns,132700
distr_random_i16,ChaCha8Rng,Lemire,,,9978263.0,ns,135354
distr_random_i16,ChaCha8Rng,Lemire,,,10206974.0,ns,138008
distr_random_i16,ChaCha8Rng,Lemire,,,10489696.0,ns,140662
distr_random_i16,ChaCha8Rng,Lemire,,,10924024.0,ns,143316
distr_random_i16,ChaCha8Rng,Lemire,,,11035814.0,ns,145970
distr_random_i16,ChaCha8Rng,Lemire,,,11016278.0,ns,148624
distr_random_i16,ChaCha8Rng,Lemire,,,11339045.0,ns,151278
distr_random_i16,ChaCha8Rng,Lemire,,,11807838.0,ns,153932
distr_random_i16,ChaCha8Rng,Lemire,,,11709312.0,ns,156586
distr_random_i16,ChaCha8Rng,Lemire,,,11943563.0,ns,159240
distr_random_i16,ChaCha8Rng,Lemire,,,12175239.0,ns,161894
distr_random_i16,ChaCha8Rng,Lemire,,,12226846.0,ns,164548
distr_random_i16,ChaCha8Rng,Lemire,,,12371809.0,ns,167202
distr_random_i16,ChaCha8Rng,Lemire,,,12637549.0,ns,169856
distr_random_i16,ChaCha8Rng,Lemire,,,12816657.0,ns,172510
distr_random_i16,ChaCha8Rng,Lemire,,,12977550.0,ns,175164
distr_random_i16,ChaCha8Rng,Lemire,,,13205798.0,ns,177818
distr_random_i16,ChaCha8Rng,Lemire,,,13334010.0,ns,180472
distr_random_i16,ChaCha8Rng,Lemire,,,13542071.0,ns,183126
