group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,Pcg32,Canon-Unbiased,,,196821.0,ns,1985
distr_random_i16,Pcg32,Canon-Unbiased,,,393631.0,ns,3970
distr_random_i16,Pcg32,Canon-Unbiased,,,591955.0,ns,5955
distr_random_i16,Pcg32,Canon-Unbiased,,,788615.0,ns,7940
distr_random_i16,Pcg32,Canon-Unbiased,,,985154.0,ns,9925
distr_random_i16,Pcg32,Canon-Unbiased,,,1181825.0,ns,11910
distr_random_i16,Pcg32,Canon-Unbiased,,,1384607.0,ns,13895
distr_random_i16,Pcg32,Canon-Unbiased,,,1576869.0,ns,15880
distr_random_i16,Pcg32,Canon-Unbiased,,,1773228.0,ns,17865
distr_random_i16,Pcg32,Canon-Unbiased,,,1974456.0,ns,19850
distr_random_i16,Pcg32,Canon-Unbiased,,,2167490.0,ns,21835
distr_random_i16,Pcg32,Canon-Unbiased,,,2363890.0,ns,23820
distr_random_i16,Pcg32,Canon-Unbiased,,,2567844.0,ns,25805
distr_random_i16,Pcg32,Canon-Unbiased,,,2770595.0,ns,27790
distr_random_i16,Pcg32,Canon-Unbiased,,,2955944.0,ns,29775
distr_random_i16,Pcg32,Canon-Unbiased,,,3164787.0,ns,31760
distr_random_i16,Pcg32,Canon-Unbiased,,,3349785.0,ns,33745
distr_random_i16,Pcg32,Canon-Unbiased,,,3553199.0,ns,35730
distr_random_i16,Pcg32,Canon-Unbiased,,,3750480.0,ns,37715
distr_random_i16,Pcg32,Canon-Unbiased,,,3924558.0,ns,39700
distr_random_i16,Pcg32,Canon-Unbiased,,,4132680.0,ns,41685
distr_random_i16,Pcg32,Canon-Unbiased,,,4330552.0,ns,43670
distr_random_i16,Pcg32,Canon-Unbiased,,,4529536.0,ns,45655
distr_random_i16,Pcg32,Canon-Unbiased,,,4728691.0,ns,47640
distr_random_i16,Pcg32,Canon-Unbiased,,,4918288.0,ns,49625
distr_random_i16,Pcg32,Canon-Unbiased,,,5115750.0,ns,51610
distr_random_i16,Pcg32,Canon-Unbiased,,,5307621.0,ns,53595
distr_random_i16,Pcg32,Canon-Unbiased,,,5521103.0,ns,55580
distr_random_i16,Pcg32,Canon-Unbiased,,,5712573.0,ns,57565
distr_random_i16,Pcg32,Canon-Unbiased,,,5906568.0,ns,59550
distr_random_i16,Pcg32,Canon-Unbiased,,,6091297.0,ns,61535
distr_random_i16,Pcg32,Canon-Unbiased,,,6306962.0,ns,63520
distr_random_i16,Pcg32,Canon-Unbiased,,,6498773.0,ns,65505
distr_random_i16,Pcg32,Canon-Unbiased,,,6681988.0,ns,67490
distr_random_i16,Pcg32,Canon-Unbiased,,,6885922.0,ns,69475
distr_random_i16,Pcg32,Canon-Unbiased,,,7088092.0,ns,71460
distr_random_i16,Pcg32,Canon-Unbiased,,,7268302.0,ns,73445
distr_random_i16,Pcg32,Canon-Unbiased,,,7458029.0,ns,75430
distr_random_i16,Pcg32,Canon-Unbiased,,,7665088.0,ns,77415
distr_random_i16,Pcg32,Canon-Unbiased,,,7850227.0,ns,79400
distr_random_i16,Pcg32,Canon-Unbiased,,,8070182.0,ns,81385
