group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,Pcg32,Canon,,,197242.0,ns,1718
distr_random_i16,Pcg32,Canon,,,395715.0,ns,3436
distr_random_i16,Pcg32,Canon,,,591694.0,ns,5154
distr_random_i16,Pcg32,Canon,,,789997.0,ns,6872
distr_random_i16,Pcg32,Canon,,,987409.0,ns,8590
distr_random_i16,Pcg32,Canon,,,1184580.0,ns,10308
distr_random_i16,Pcg32,Canon,,,1384125.0,ns,12026
distr_random_i16,Pcg32,Canon,,,1573842.0,ns,13744
distr_random_i16,Pcg32,Canon,,,1777065.0,ns,15462
distr_random_i16,Pcg32,Canon,,,1974386.0,ns,17180
distr_random_i16,Pcg32,Canon,,,2172449.0,ns,18898
distr_random_i16,Pcg32,Canon,,,2373498.0,ns,20616
distr_random_i16,Pcg32,Canon,,,2567464.0,ns,22334
distr_random_i16,Pcg32,Canon,,,2767520.0,ns,24052
distr_random_i16,Pcg32,Canon,,,2945214.0,ns,25770
distr_random_i16,Pcg32,Canon,,,3145211.0,ns,27488
distr_random_i16,Pcg32,Canon,,,3339988.0,ns,29206
distr_random_i16,Pcg32,Canon,,,3536557.0,ns,30924
distr_random_i16,Pcg32,Canon,,,3732576.0,ns,32642
distr_random_i16,Pcg32,Canon,,,3928405.0,ns,34360
distr_random_i16,Pcg32,Canon,,,4124124.0,ns,36078
distr_random_i16,Pcg32,Canon,,,4320353.0,ns,37796
distr_random_i16,Pcg32,Canon,,,4517785.0,ns,39514
distr_random_i16,Pcg32,Canon,,,4715076.0,ns,41232
distr_random_i16,Pcg32,Canon,,,4910183.0,ns,42950
distr_random_i16,Pcg32,Canon,,,5106903.0,ns,44668
distr_random_i16,Pcg32,Canon,,,5316308.0,ns,46386
distr_random_i16,Pcg32,Canon,,,5510864.0,ns,48104
distr_random_i16,Pcg32,Canon,,,5697645.0,ns,49822
distr_random_i16,Pcg32,Canon,,,5902851.0,ns,51540
distr_random_i16,Pcg32,Canon,,,6095274.0,ns,53258
distr_random_i16,Pcg32,Canon,,,6289268.0,ns,54976
distr_random_i16,Pcg32,Canon,,,6482794.0,ns,56694
distr_random_i16,Pcg32,Canon,,,6677450.0,ns,58412
distr_random_i16,Pcg32,Canon,,,6874150.0,ns,60130
distr_random_i16,Pcg32,Canon,,,7070369.0,ns,61848
distr_random_i16,Pcg32,Canon,,,7260848.0,ns,63566
distr_random_i16,Pcg32,Canon,,,7435657.0,ns,65284
distr_random_i16,Pcg32,Canon,,,7630343.0,ns,67002
distr_random_i16,Pcg32,Canon,,,7831923.0,ns,68720
distr_random_i16,Pcg32,Canon,,,8011051.0,ns,70438
distr_random_i16,Pcg32,Canon,,,8216156.0,ns,72156
distr_random_i16,Pcg32,Canon,,,8402608.0,ns,73874
distr_random_i16,Pcg32,Canon,,,8602624.0,ns,75592
distr_random_i16,Pcg32,Canon,,,8792161.0,ns,77310
distr_random_i16,Pcg32,Canon,,,8991435.0,ns,79028
distr_random_i16,Pcg32,Canon,,,9185671.0,ns,80746
distr_random_i16,Pcg32,Canon,,,9382392.0,ns,82464
distr_random_i16,Pcg32,Canon,,,9575515.0,ns,84182
distr_random_i16,Pcg32,Canon,,,9774951.0,ns,85900
distr_random_i16,Pcg32,Canon,,,9972181.0,ns,87618
distr_random_i16,Pcg32,Canon,,,10162761.0,ns,89336
distr_random_i16,Pcg32,Canon,,,10364200.0,ns,91054
distr_random_i16,Pcg32,Canon,,,10553075.0,ns,92772
distr_random_i16,Pcg32,Canon,,,10748904.0,ns,94490
distr_random_i16,Pcg32,Canon,,,10942388.0,ns,96208
distr_random_i16,Pcg32,Canon,,,11147154.0,ns,97926
distr_random_i16,Pcg32,Canon,,,11337302.0,ns,99644
distr_random_i16,Pcg32,Canon,,,11533631.0,ns,101362
distr_random_i16,Pcg32,Canon,,,11723779.0,ns,103080
distr_random_i16,Pcg32,Canon,,,11919397.0,ns,104798
distr_random_i16,Pcg32,Canon,,,12116128.0,ns,106516
distr_random_i16,Pcg32,Canon,,,12310463.0,ns,108234
distr_random_i16,Pcg32,Canon,,,12505260.0,ns,109952
distr_random_i16,Pcg32,Canon,,,12703384.0,ns,111670
distr_random_i16,Pcg32,Canon,,,12895785.0,ns,113388
distr_random_i16,Pcg32,Canon,,,13092325.0,ns,115106
distr_random_i16,Pcg32,Canon,,,13291199.0,ns,116824
distr_random_i16,Pcg32,Canon,,,13481768.0,ns,118542
distr_random_i16,Pcg32,Canon,,,13678328.0,ns,120260
