group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,Pcg64,Canon-reduced,,,199526.0,ns,2576
distr_random_i16,Pcg64,Canon-reduced,,,392088.0,ns,5152
distr_random_i16,Pcg64,Canon-reduced,,,591303.0,ns,7728
distr_random_i16,Pcg64,Canon-reduced,,,787732.0,ns,10304
distr_random_i16,Pcg64,Canon-reduced,,,987639.0,ns,12880
distr_random_i16,Pcg64,Canon-reduced,,,1192985.0,ns,15456
distr_random_i16,Pcg64,Canon-reduced,,,1380659.0,ns,18032
distr_random_i16,Pcg64,Canon-reduced,,,1566358.0,ns,20608
distr_random_i16,Pcg64,Canon-reduced,,,1776173.0,ns,23184
distr_random_i16,Pcg64,Canon-reduced,,,1972443.0,ns,25760
distr_random_i16,Pcg64,Canon-reduced,,,2178070.0,ns,28336
distr_random_i16,Pcg64,Canon-reduced,,,2366164.0,ns,30912
distr_random_i16,Pcg64,Canon-reduced,,,2570348.0,ns,33488
distr_random_i16,Pcg64,Canon-reduced,,,2745328.0,ns,36064
distr_random_i16,Pcg64,Canon-reduced,,,2967125.0,ns,38640
distr_random_i16,Pcg64,Canon-reduced,,,3165409.0,ns,41216
distr_random_i16,Pcg64,Canon-reduced,,,3342232.0,ns,43792
distr_random_i16,Pcg64,Canon-reduced,,,3533231.0,ns,46368
distr_random_i16,Pcg64,Canon-reduced,,,3757944.0,ns,48944
distr_random_i16,Pcg64,Canon-reduced,,,3935969.0,ns,51520
distr_random_i16,Pcg64,Canon-reduced,,,4173126.0,ns,54096
distr_random_i16,Pcg64,Canon-reduced,,,4355038.0,ns,56672
distr_random_i16,Pcg64,Canon-reduced,,,4546048.0,ns,59248
distr_random_i16,Pcg64,Canon-reduced,,,4735003.0,ns,61824
distr_random_i16,Pcg64,Canon-reduced,,,4933317.0,ns,64400
distr_random_i16,Pcg64,Canon-reduced,,,5128224.0,ns,66976
distr_random_i16,Pcg64,Canon-reduced,,,5323501.0,ns,69552
distr_random_i16,Pcg64,Canon-reduced,,,5480066.0,ns,72128
distr_random_i16,Pcg64,Canon-reduced,,,5734855.0,ns,74704
distr_random_i16,Pcg64,Canon-reduced,,,5917930.0,ns,77280
distr_random_i16,Pcg64,Canon-reduced,,,6062131.0,ns,79856
distr_random_i16,Pcg64,Canon-reduced,,,6291093.0,ns,82432
distr_random_i16,Pcg64,Canon-reduced,,,6467765.0,ns,85008
distr_random_i16,Pcg64,Canon-reduced,,,6697548.0,ns,87584
distr_random_i16,Pcg64,Canon-reduced,,,6850346.0,ns,90160
distr_random_i16,Pcg64,Canon-reduced,,,7051334.0,ns,92736
distr_random_i16,Pcg64,Canon-reduced,,,7263754.0,ns,95312
distr_random_i16,Pcg64,Canon-reduced,,,7463219.0,ns,97888
distr_random_i16,Pcg64,Canon-reduced,,,7659909.0,ns,100464
distr_random_i16,Pcg64,Canon-reduced,,,7847953.0,ns,103040
distr_random_i16,Pcg64,Canon-reduced,,,8046758.0,ns,105616
distr_random_i16,Pcg64,Canon-reduced,,,8261352.0,ns,108192
distr_random_i16,Pcg64,Canon-reduced,,,8456279.0,ns,110768
distr_random_i16,Pcg64,Canon-reduced,,,8640115.0,ns,113344
distr_random_i16,Pcg64,Canon-reduced,,,8818581.0,ns,115920
distr_random_i16,Pcg64,Canon-reduced,,,9032152.0,ns,118496
distr_random_i16,Pcg64,Canon-reduced,,,9217491.0,ns,121072
distr_random_i16,Pcg64,Canon-reduced,,,9406026.0,ns,123648
distr_random_i16,Pcg64,Canon-reduced,,,9613366.0,ns,126224
distr_random_i16,Pcg64,Canon-reduced,,,9815778.0,ns,128800
distr_random_i16,Pcg64,Canon-reduced,,,10001668.0,ns,131376
distr_random_i16,Pcg64,Canon-reduced,,,10183730.0,ns,133952
distr_random_i16,Pcg64,Canon-reduced,,,10422469.0,ns,136528
distr_random_i16,Pcg64,Canon-reduced,,,10608981.0,ns,139104
distr_random_i16,Pcg64,Canon-reduced,,,10796654.0,ns,141680
distr_random_i16,Pcg64,Canon-reduced,,,11003984.0,ns,144256
distr_random_i16,Pcg64,Canon-reduced,,,11166390.0,ns,146832
distr_random_i16,Pcg64,Canon-reduced,,,11391864.0,ns,149408
distr_random_i16,Pcg64,Canon-reduced,,,11581270.0,ns,151984
distr_random_i16,Pcg64,Canon-reduced,,,11782249.0,ns,154560
distr_random_i16,Pcg64,Canon-reduced,,,12130294.0,ns,157136
distr_random_i16,Pcg64,Canon-reduced,,,12142527.0,ns,159712
distr_random_i16,Pcg64,Canon-reduced,,,12340540.0,ns,162288
distr_random_i16,Pcg64,Canon-reduced,,,12574651.0,ns,164864
distr_random_i16,Pcg64,Canon-reduced,,,12746705.0,ns,167440
distr_random_i16,Pcg64,Canon-reduced,,,12976768.0,ns,170016
distr_random_i16,Pcg64,Canon-reduced,,,13149463.0,ns,172592
distr_random_i16,Pcg64,Canon-reduced,,,13340022.0,ns,175168
distr_random_i16,Pcg64,Canon-reduced,,,13520932.0,ns,177744
distr_random_i16,Pcg64,Canon-reduced,,,13875259.0,ns,180320
distr_random_i16,Pcg64,Canon-reduced,,,14125190.0,ns,182896
distr_random_i16,Pcg64,Canon-reduced,,,14352228.0,ns,185472
distr_random_i16,Pcg64,Canon-reduced,,,14630992.0,ns,188048
distr_random_i16,Pcg64,Canon-reduced,,,14725950.0,ns,190624
distr_random_i16,Pcg64,Canon-reduced,,,14969630.0,ns,193200
distr_random_i16,Pcg64,Canon-reduced,,,15104152.0,ns,195776
distr_random_i16,Pcg64,Canon-reduced,,,15347540.0,ns,198352
distr_random_i16,Pcg64,Canon-reduced,,,15574497.0,ns,200928
distr_random_i16,Pcg64,Canon-reduced,,,15817085.0,ns,203504
distr_random_i16,Pcg64,Canon-reduced,,,15922072.0,ns,206080
distr_random_i16,Pcg64,Canon-reduced,,,16067806.0,ns,208656
distr_random_i16,Pcg64,Canon-reduced,,,16272612.0,ns,211232
distr_random_i16,Pcg64,Canon-reduced,,,16534785.0,ns,213808
distr_random_i16,Pcg64,Canon-reduced,,,16662195.0,ns,216384
distr_random_i16,Pcg64,Canon-reduced,,,16909972.0,ns,218960
distr_random_i16,Pcg64,Canon-reduced,,,17044795.0,ns,221536
distr_random_i16,Pcg64,Canon-reduced,,,17165733.0,ns,224112
distr_random_i16,Pcg64,Canon-reduced,,,17375709.0,ns,226688
distr_random_i16,Pcg64,Canon-reduced,,,17610470.0,ns,229264
distr_random_i16,Pcg64,Canon-reduced,,,17737920.0,ns,231840
distr_random_i16,Pcg64,Canon-reduced,,,17929161.0,ns,234416
distr_random_i16,Pcg64,Canon-reduced,,,18107997.0,ns,236992
distr_random_i16,Pcg64,Canon-reduced,,,18269230.0,ns,239568
distr_random_i16,Pcg64,Canon-reduced,,,18456242.0,ns,242144
distr_random_i16,Pcg64,Canon-reduced,,,18648865.0,ns,244720
distr_random_i16,Pcg64,Canon-reduced,,,18858449.0,ns,247296
distr_random_i16,Pcg64,Canon-reduced,,,19056432.0,ns,249872
distr_random_i16,Pcg64,Canon-reduced,,,19239767.0,ns,252448
distr_random_i16,Pcg64,Canon-reduced,,,19418575.0,ns,255024
distr_random_i16,Pcg64,Canon-reduced,,,19599655.0,ns,257600
