group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,ChaCha8Rng,Canon-reduced,,,195628.0,ns,2355
distr_random_i32,ChaCha8Rng,Canon-reduced,,,397268.0,ns,4710
distr_random_i32,ChaCha8Rng,Canon-reduced,,,588487.0,ns,7065
distr_random_i32,ChaCha8Rng,Canon-reduced,,,787402.0,ns,9420
distr_random_i32,ChaCha8Rng,Canon-reduced,,,985545.0,ns,11775
distr_random_i32,ChaCha8Rng,Canon-reduced,,,1188477.0,ns,14130
distr_random_i32,ChaCha8Rng,Canon-reduced,,,1383644.0,ns,16485
distr_random_i32,ChaCha8Rng,Canon-reduced,,,1579984.0,ns,18840
distr_random_i32,ChaCha8Rng,Canon-reduced,,,1777666.0,ns,21195
distr_random_i32,ChaCha8Rng,Canon-reduced,,,1981320.0,ns,23550
distr_random_i32,ChaCha8Rng,Canon-reduced,,,2173272.0,ns,25905
distr_random_i32,ChaCha8Rng,Canon-reduced,,,2365192.0,ns,28260
distr_random_i32,ChaCha8Rng,Canon-reduced,,,2581249.0,ns,30615
distr_random_i32,ChaCha8Rng,Canon-reduced,,,2768822.0,ns,32970
distr_random_i32,ChaCha8Rng,Canon-reduced,,,2967165.0,ns,35325
distr_random_i32,ChaCha8Rng,Canon-reduced,,,3163124.0,ns,37680
distr_random_i32,ChaCha8Rng,Canon-reduced,,,3354905.0,ns,40035
distr_random_i32,ChaCha8Rng,Canon-reduced,,,3556325.0,ns,42390
distr_random_i32,ChaCha8Rng,Canon-reduced,,,3756231.0,ns,44745
distr_random_i32,ChaCha8Rng,Canon-reduced,,,3957981.0,ns,47100
distr_random_i32,ChaCha8Rng,Canon-reduced,,,4159641.0,ns,49455
distr_random_i32,ChaCha8Rng,Canon-reduced,,,4349638.0,ns,51810
distr_random_i32,ChaCha8Rng,Canon-reduced,,,4542260.0,ns,54165
distr_random_i32,ChaCha8Rng,Canon-reduced,,,4739632.0,ns,56520
distr_random_i32,ChaCha8Rng,Canon-reduced,,,4922516.0,ns,58875
distr_random_i32,ChaCha8Rng,Canon-reduced,,,5134896.0,ns,61230
distr_random_i32,ChaCha8Rng,Canon-reduced,,,5340232.0,ns,63585
distr_random_i32,ChaCha8Rng,Canon-reduced,,,5520301.0,ns,65940
distr_random_i32,ChaCha8Rng,Canon-reduced,,,5733573.0,ns,68295
distr_random_i32,ChaCha8Rng,Canon-reduced,,,5927227.0,ns,70650
distr_random_i32,ChaCha8Rng,Canon-reduced,,,6124339.0,ns,73005
distr_random_i32,ChaCha8Rng,Canon-reduced,,,6319706.0,ns,75360
distr_random_i32,ChaCha8Rng,Canon-reduced,,,6502510.0,ns,77715
distr_random_i32,ChaCha8Rng,Canon-reduced,,,6698419.0,ns,80070
distr_random_i32,ChaCha8Rng,Canon-reduced,,,6893316.0,ns,82425
distr_random_i32,ChaCha8Rng,Canon-reduced,,,7085117.0,ns,84780
distr_random_i32,ChaCha8Rng,Canon-reduced,,,7275957.0,ns,87135
distr_random_i32,ChaCha8Rng,Canon-reduced,,,7463339.0,ns,89490
distr_random_i32,ChaCha8Rng,Canon-reduced,,,7676751.0,ns,91845
distr_random_i32,ChaCha8Rng,Canon-reduced,,,7848995.0,ns,94200
distr_random_i32,ChaCha8Rng,Canon-reduced,,,8039814.0,ns,96555
distr_random_i32,ChaCha8Rng,Canon-reduced,,,8271440.0,ns,98910
distr_random_i32,ChaCha8Rng,Canon-reduced,,,8427765.0,ns,101265
distr_random_i32,ChaCha8Rng,Canon-reduced,,,8634774.0,ns,103620
distr_random_i32,ChaCha8Rng,Canon-reduced,,,8838267.0,ns,105975
distr_random_i32,ChaCha8Rng,Canon-reduced,,,9011664.0,ns,108330
distr_random_i32,ChaCha8Rng,Canon-reduced,,,9318150.0,ns,110685
distr_random_i32,ChaCha8Rng,Canon-reduced,,,9416555.0,ns,113040
distr_random_i32,ChaCha8Rng,Canon-reduced,,,9622163.0,ns,115395
distr_random_i32,ChaCha8Rng,Canon-reduced,,,9799457.0,ns,117750
distr_random_i32,ChaCha8Rng,Canon-reduced,,,10002930.0,ns,120105
distr_random_i32,ChaCha8Rng,Canon-reduced,,,10183550.0,ns,122460
distr_random_i32,ChaCha8Rng,Canon-reduced,,,10396671.0,ns,124815
