group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,Pcg32,Canon32,,,299985.0,ns,1688
distr_random_i32,Pcg32,Canon32,,,613816.0,ns,3376
distr_random_i32,Pcg32,Canon32,,,896909.0,ns,5064
distr_random_i32,Pcg32,Canon32,,,531050.0,ns,6752
distr_random_i32,Pcg32,Canon32,,,469934.0,ns,8440
distr_random_i32,Pcg32,Canon32,,,774287.0,ns,10128
distr_random_i32,Pcg32,Canon32,,,1619248.0,ns,11816
distr_random_i32,Pcg32,Canon32,,,1416337.0,ns,13504
distr_random_i32,Pcg32,Canon32,,,1120790.0,ns,15192
distr_random_i32,Pcg32,Canon32,,,2870484.0,ns,16880
distr_random_i32,Pcg32,Canon32,,,3194974.0,ns,18568
distr_random_i32,Pcg32,Canon32,,,3604576.0,ns,20256
distr_random_i32,Pcg32,Canon32,,,2673843.0,ns,21944
distr_random_i32,Pcg32,Canon32,,,2937871.0,ns,23632
distr_random_i32,Pcg32,Canon32,,,4375045.0,ns,25320
distr_random_i32,Pcg32,Canon32,,,1929863.0,ns,27008
distr_random_i32,Pcg32,Canon32,,,2440384.0,ns,28696
distr_random_i32,Pcg32,Canon32,,,2416850.0,ns,30384
distr_random_i32,Pcg32,Canon32,,,5239603.0,ns,32072
distr_random_i32,Pcg32,Canon32,,,5773297.0,ns,33760
distr_random_i32,Pcg32,Canon32,,,2504835.0,ns,35448
distr_random_i32,Pcg32,Canon32,,,3081921.0,ns,37136
distr_random_i32,Pcg32,Canon32,,,4455918.0,ns,38824
distr_random_i32,Pcg32,Canon32,,,3018101.0,ns,40512
distr_random_i32,Pcg32,Canon32,,,2210582.0,ns,42200
distr_random_i32,Pcg32,Canon32,,,6056221.0,ns,43888
distr_random_i32,Pcg32,Canon32,,,2509554.0,ns,45576
distr_random_i32,Pcg32,Canon32,,,7443842.0,ns,47264
distr_random_i32,Pcg32,Canon32,,,2910389.0,ns,48952
distr_random_i32,Pcg32,Canon32,,,8516321.0,ns,50640
distr_random_i32,Pcg32,Canon32,,,7334727.0,ns,52328
distr_random_i32,Pcg32,Canon32,,,4838247.0,ns,54016
distr_random_i32,Pcg32,Canon32,,,6895019.0,ns,55704
distr_random_i32,Pcg32,Canon32,,,10337739.0,ns,57392
distr_random_i32,Pcg32,Canon32,,,7631616.0,ns,59080
distr_random_i32,Pcg32,Canon32,,,5089841.0,ns,60768
distr_random_i32,Pcg32,Canon32,,,5789368.0,ns,62456
distr_random_i32,Pcg32,Canon32,,,3260157.0,ns,64144
distr_random_i32,Pcg32,Canon32,,,4841414.0,ns,65832
distr_random_i32,Pcg32,Canon32,,,7649861.0,ns,67520
distr_random_i32,Pcg32,Canon32,,,7842543.0,ns,69208
