group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,SmallRng,Canon-Unbiased,,,197773.0,ns,3755
distr_random_i32,SmallRng,Canon-Unbiased,,,397068.0,ns,7510
distr_random_i32,SmallRng,Canon-Unbiased,,,591413.0,ns,11265
distr_random_i32,SmallRng,Canon-Unbiased,,,788144.0,ns,15020
distr_random_i32,SmallRng,Canon-Unbiased,,,992469.0,ns,18775
distr_random_i32,SmallRng,Canon-Unbiased,,,1183508.0,ns,22530
distr_random_i32,SmallRng,Canon-Unbiased,,,1382913.0,ns,26285
distr_random_i32,SmallRng,Canon-Unbiased,,,1575015.0,ns,30040
distr_random_i32,SmallRng,Canon-Unbiased,,,1773017.0,ns,33795
distr_random_i32,SmallRng,Canon-Unbiased,,,1969578.0,ns,37550
distr_random_i32,SmallRng,Canon-Unbiased,,,2170777.0,ns,41305
distr_random_i32,SmallRng,Canon-Unbiased,,,2371444.0,ns,45060
distr_random_i32,SmallRng,Canon-Unbiased,,,2631984.0,ns,48815
distr_random_i32,SmallRng,Canon-Unbiased,,,2774433.0,ns,52570
distr_random_i32,SmallRng,Canon-Unbiased,,,2958258.0,ns,56325
distr_random_i32,SmallRng,Canon-Unbiased,,,3162002.0,ns,60080
distr_random_i32,SmallRng,Canon-Unbiased,,,3355576.0,ns,63835
distr_random_i32,SmallRng,Canon-Unbiased,,,3550954.0,ns,67590
distr_random_i32,SmallRng,Canon-Unbiased,,,3753806.0,ns,71345
distr_random_i32,SmallRng,Canon-Unbiased,,,3939375.0,ns,75100
distr_random_i32,SmallRng,Canon-Unbiased,,,4135985.0,ns,78855
distr_random_i32,SmallRng,Canon-Unbiased,,,4332345.0,ns,82610
distr_random_i32,SmallRng,Canon-Unbiased,,,4530929.0,ns,86365
distr_random_i32,SmallRng,Canon-Unbiased,,,4790307.0,ns,90120
distr_random_i32,SmallRng,Canon-Unbiased,,,4932455.0,ns,93875
distr_random_i32,SmallRng,Canon-Unbiased,,,5122011.0,ns,97630
distr_random_i32,SmallRng,Canon-Unbiased,,,5322229.0,ns,101385
distr_random_i32,SmallRng,Canon-Unbiased,,,5515082.0,ns,105140
distr_random_i32,SmallRng,Canon-Unbiased,,,5738772.0,ns,108895
distr_random_i32,SmallRng,Canon-Unbiased,,,5913142.0,ns,112650
distr_random_i32,SmallRng,Canon-Unbiased,,,6170275.0,ns,116405
distr_random_i32,SmallRng,Canon-Unbiased,,,6306091.0,ns,120160
distr_random_i32,SmallRng,Canon-Unbiased,,,6499905.0,ns,123915
distr_random_i32,SmallRng,Canon-Unbiased,,,6697417.0,ns,127670
distr_random_i32,SmallRng,Canon-Unbiased,,,6895912.0,ns,131425
distr_random_i32,SmallRng,Canon-Unbiased,,,7095447.0,ns,135180
distr_random_i32,SmallRng,Canon-Unbiased,,,7361066.0,ns,138935
distr_random_i32,SmallRng,Canon-Unbiased,,,7484038.0,ns,142690
distr_random_i32,SmallRng,Canon-Unbiased,,,7686810.0,ns,146445
distr_random_i32,SmallRng,Canon-Unbiased,,,7897026.0,ns,150200
distr_random_i32,SmallRng,Canon-Unbiased,,,8077134.0,ns,153955
distr_random_i32,SmallRng,Canon-Unbiased,,,8335220.0,ns,157710
distr_random_i32,SmallRng,Canon-Unbiased,,,8469704.0,ns,161465
distr_random_i32,SmallRng,Canon-Unbiased,,,8672475.0,ns,165220
distr_random_i32,SmallRng,Canon-Unbiased,,,8875417.0,ns,168975
distr_random_i32,SmallRng,Canon-Unbiased,,,9061718.0,ns,172730
