group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,SmallRng,Canon,,,197431.0,ns,4015
distr_random_i32,SmallRng,Canon,,,394443.0,ns,8030
distr_random_i32,SmallRng,Canon,,,592205.0,ns,12045
distr_random_i32,SmallRng,Canon,,,790659.0,ns,16060
distr_random_i32,SmallRng,Canon,,,988100.0,ns,20075
distr_random_i32,SmallRng,Canon,,,1185662.0,ns,24090
distr_random_i32,SmallRng,Canon,,,1381221.0,ns,28105
distr_random_i32,SmallRng,Canon,,,1581307.0,ns,32120
distr_random_i32,SmallRng,Canon,,,1777116.0,ns,36135
distr_random_i32,SmallRng,Canon,,,1976200.0,ns,40150
distr_random_i32,SmallRng,Canon,,,2171317.0,ns,44165
distr_random_i32,SmallRng,Canon,,,2371273.0,ns,48180
distr_random_i32,SmallRng,Canon,,,2568866.0,ns,52195
distr_random_i32,SmallRng,Canon,,,2768021.0,ns,56210
distr_random_i32,SmallRng,Canon,,,2956626.0,ns,60225
distr_random_i32,SmallRng,Canon,,,3161822.0,ns,64240
distr_random_i32,SmallRng,Canon,,,3359744.0,ns,68255
distr_random_i32,SmallRng,Canon,,,3554241.0,ns,72270
distr_random_i32,SmallRng,Canon,,,3747294.0,ns,76285
distr_random_i32,SmallRng,Canon,,,3953252.0,ns,80300
distr_random_i32,SmallRng,Canon,,,4152126.0,ns,84315
distr_random_i32,SmallRng,Canon,,,4347183.0,ns,88330
distr_random_i32,SmallRng,Canon,,,4537381.0,ns,92345
distr_random_i32,SmallRng,Canon,,,4742477.0,ns,96360
distr_random_i32,SmallRng,Canon,,,4934248.0,ns,100375
distr_random_i32,SmallRng,Canon,,,5126490.0,ns,104390
distr_random_i32,SmallRng,Canon,,,5336355.0,ns,108405
distr_random_i32,SmallRng,Canon,,,5529459.0,ns,112420
distr_random_i32,SmallRng,Canon,,,5730367.0,ns,116435
distr_random_i32,SmallRng,Canon,,,5968815.0,ns,120450
distr_random_i32,SmallRng,Canon,,,6128266.0,ns,124465
distr_random_i32,SmallRng,Canon,,,6321840.0,ns,128480
distr_random_i32,SmallRng,Canon,,,6522688.0,ns,132495
distr_random_i32,SmallRng,Canon,,,6715862.0,ns,136510
distr_random_i32,SmallRng,Canon,,,6915999.0,ns,140525
distr_random_i32,SmallRng,Canon,,,7115544.0,ns,144540
distr_random_i32,SmallRng,Canon,,,7307396.0,ns,148555
distr_random_i32,SmallRng,Canon,,,7516590.0,ns,152570
distr_random_i32,SmallRng,Canon,,,7708170.0,ns,156585
distr_random_i32,SmallRng,Canon,,,7902146.0,ns,160600
distr_random_i32,SmallRng,Canon,,,8098996.0,ns,164615
distr_random_i32,SmallRng,Canon,,,8317688.0,ns,168630
distr_random_i32,SmallRng,Canon,,,8495762.0,ns,172645
distr_random_i32,SmallRng,Canon,,,8691380.0,ns,176660
distr_random_i32,SmallRng,Canon,,,8882771.0,ns,180675
distr_random_i32,SmallRng,Canon,,,9092205.0,ns,184690
distr_random_i32,SmallRng,Canon,,,9285228.0,ns,188705
distr_random_i32,SmallRng,Canon,,,9513669.0,ns,192720
distr_random_i32,SmallRng,Canon,,,9682407.0,ns,196735
distr_random_i32,SmallRng,Canon,,,9884967.0,ns,200750
distr_random_i32,SmallRng,Canon,,,10080215.0,ns,204765
distr_random_i32,SmallRng,Canon,,,10275793.0,ns,208780
distr_random_i32,SmallRng,Canon,,,10472894.0,ns,212795
distr_random_i32,SmallRng,Canon,,,10663603.0,ns,216810
distr_random_i32,SmallRng,Canon,,,10861916.0,ns,220825
distr_random_i32,SmallRng,Canon,,,11064909.0,ns,224840
distr_random_i32,SmallRng,Canon,,,11265697.0,ns,228855
distr_random_i32,SmallRng,Canon,,,11491061.0,ns,232870
distr_random_i32,SmallRng,Canon,,,11716345.0,ns,236885
distr_random_i32,SmallRng,Canon,,,11853524.0,ns,240900
distr_random_i32,SmallRng,Canon,,,12051166.0,ns,244915
distr_random_i32,SmallRng,Canon,,,12299984.0,ns,248930
distr_random_i32,SmallRng,Canon,,,12456639.0,ns,252945
distr_random_i32,SmallRng,Canon,,,12649191.0,ns,256960
distr_random_i32,SmallRng,Canon,,,12904041.0,ns,260975
distr_random_i32,SmallRng,Canon,,,13037422.0,ns,264990
distr_random_i32,SmallRng,Canon,,,13262916.0,ns,269005
distr_random_i32,SmallRng,Canon,,,13493971.0,ns,273020
distr_random_i32,SmallRng,Canon,,,13641529.0,ns,277035
distr_random_i32,SmallRng,Canon,,,13829924.0,ns,281050
distr_random_i32,SmallRng,Canon,,,14086256.0,ns,285065
distr_random_i32,SmallRng,Canon,,,14227602.0,ns,289080
distr_random_i32,SmallRng,Canon,,,14420085.0,ns,293095
distr_random_i32,SmallRng,Canon,,,14715040.0,ns,297110
distr_random_i32,SmallRng,Canon,,,14814186.0,ns,301125
distr_random_i32,SmallRng,Canon,,,15035232.0,ns,305140
distr_random_i32,SmallRng,Canon,,,15216835.0,ns,309155
distr_random_i32,SmallRng,Canon,,,15417943.0,ns,313170
distr_random_i32,SmallRng,Canon,,,15616086.0,ns,317185
distr_random_i32,SmallRng,Canon,,,15814660.0,ns,321200
distr_random_i32,SmallRng,Canon,,,16040505.0,ns,325215
distr_random_i32,SmallRng,Canon,,,16259096.0,ns,329230
distr_random_i32,SmallRng,Canon,,,16401555.0,ns,333245
distr_random_i32,SmallRng,Canon,,,16654401.0,ns,337260
distr_random_i32,SmallRng,Canon,,,16794815.0,ns,341275
distr_random_i32,SmallRng,Canon,,,16984092.0,ns,345290
distr_random_i32,SmallRng,Canon,,,17269328.0,ns,349305
distr_random_i32,SmallRng,Canon,,,17390185.0,ns,353320
distr_random_i32,SmallRng,Canon,,,17585403.0,ns,357335
distr_random_i32,SmallRng,Canon,,,17780340.0,ns,361350
distr_random_i32,SmallRng,Canon,,,18035901.0,ns,365365
distr_random_i32,SmallRng,Canon,,,18188860.0,ns,369380
distr_random_i32,SmallRng,Canon,,,18388876.0,ns,373395
distr_random_i32,SmallRng,Canon,,,18905037.0,ns,377410
distr_random_i32,SmallRng,Canon,,,18774702.0,ns,381425
distr_random_i32,SmallRng,Canon,,,18968016.0,ns,385440
distr_random_i32,SmallRng,Canon,,,19165808.0,ns,389455
distr_random_i32,SmallRng,Canon,,,19359202.0,ns,393470
distr_random_i32,SmallRng,Canon,,,19563066.0,ns,397485
distr_random_i32,SmallRng,Canon,,,19752813.0,ns,401500
