group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,132640.0,ns,964
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,242386.0,ns,1928
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,389384.0,ns,2892
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,898952.0,ns,3856
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,665703.0,ns,4820
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1150796.0,ns,5784
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1173288.0,ns,6748
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,976829.0,ns,7712
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1790941.0,ns,8676
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3337603.0,ns,9640
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1327088.0,ns,10604
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2610193.0,ns,11568
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1722492.0,ns,12532
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2669455.0,ns,13496
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3143147.0,ns,14460
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5276062.0,ns,15424
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5595142.0,ns,16388
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2409305.0,ns,17352
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3244607.0,ns,18316
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,4390325.0,ns,19280
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,4563531.0,ns,20244
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2143655.0,ns,21208
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2339343.0,ns,22172
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3923526.0,ns,23136
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,7739600.0,ns,24100
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5210759.0,ns,25064
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3070430.0,ns,26028
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2775255.0,ns,26992
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,7015787.0,ns,27956
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6687058.0,ns,28920
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3356859.0,ns,29884
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3846581.0,ns,30848
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3841261.0,ns,31812
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3288030.0,ns,32776
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,10662260.0,ns,33740
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,11949213.0,ns,34704
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5215819.0,ns,35668
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5271583.0,ns,36632
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,12474552.0,ns,37596
