group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,SmallRng,Old,,,103866.0,ns,1869
distr_random_i64,SmallRng,Old,,,316034.0,ns,3738
distr_random_i64,SmallRng,Old,,,352814.0,ns,5607
distr_random_i64,SmallRng,Old,,,402057.0,ns,7476
distr_random_i64,SmallRng,Old,,,811267.0,ns,9345
distr_random_i64,SmallRng,Old,,,796990.0,ns,11214
distr_random_i64,SmallRng,Old,,,835272.0,ns,13083
distr_random_i64,SmallRng,Old,,,793163.0,ns,14952
distr_random_i64,SmallRng,Old,,,1034378.0,ns,16821
distr_random_i64,SmallRng,Old,,,1023317.0,ns,18690
distr_random_i64,SmallRng,Old,,,3535996.0,ns,20559
distr_random_i64,SmallRng,Old,,,1406668.0,ns,22428
distr_random_i64,SmallRng,Old,,,3147394.0,ns,24297
distr_random_i64,SmallRng,Old,,,1833912.0,ns,26166
distr_random_i64,SmallRng,Old,,,2799420.0,ns,28035
distr_random_i64,SmallRng,Old,,,3209832.0,ns,29904
distr_random_i64,SmallRng,Old,,,2248703.0,ns,31773
distr_random_i64,SmallRng,Old,,,2407462.0,ns,33642
distr_random_i64,SmallRng,Old,,,3268473.0,ns,35511
distr_random_i64,SmallRng,Old,,,2167811.0,ns,37380
distr_random_i64,SmallRng,Old,,,3311173.0,ns,39249
distr_random_i64,SmallRng,Old,,,2992874.0,ns,41118
distr_random_i64,SmallRng,Old,,,5609409.0,ns,42987
distr_random_i64,SmallRng,Old,,,12137138.0,ns,44856
distr_random_i64,SmallRng,Old,,,2669926.0,ns,46725
distr_random_i64,SmallRng,Old,,,2580758.0,ns,48594
distr_random_i64,SmallRng,Old,,,2989788.0,ns,50463
distr_random_i64,SmallRng,Old,,,4104717.0,ns,52332
distr_random_i64,SmallRng,Old,,,6496820.0,ns,54201
distr_random_i64,SmallRng,Old,,,4326244.0,ns,56070
distr_random_i64,SmallRng,Old,,,3201837.0,ns,57939
distr_random_i64,SmallRng,Old,,,4904732.0,ns,59808
distr_random_i64,SmallRng,Old,,,3741443.0,ns,61677
distr_random_i64,SmallRng,Old,,,6383456.0,ns,63546
distr_random_i64,SmallRng,Old,,,4033704.0,ns,65415
distr_random_i64,SmallRng,Old,,,6667652.0,ns,67284
distr_random_i64,SmallRng,Old,,,4658479.0,ns,69153
distr_random_i64,SmallRng,Old,,,3917605.0,ns,71022
distr_random_i64,SmallRng,Old,,,3912956.0,ns,72891
distr_random_i64,SmallRng,Old,,,7589697.0,ns,74760
distr_random_i64,SmallRng,Old,,,21098697.0,ns,76629
distr_random_i64,SmallRng,Old,,,8534405.0,ns,78498
distr_random_i64,SmallRng,Old,,,5047672.0,ns,80367
distr_random_i64,SmallRng,Old,,,5228392.0,ns,82236
