group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,ChaCha8Rng,Canon,,,196731.0,ns,1322
distr_random_i8,ChaCha8Rng,Canon,,,393030.0,ns,2644
distr_random_i8,ChaCha8Rng,Canon,,,591153.0,ns,3966
distr_random_i8,ChaCha8Rng,Canon,,,786991.0,ns,5288
distr_random_i8,ChaCha8Rng,Canon,,,1050417.0,ns,6610
distr_random_i8,ChaCha8Rng,Canon,,,1186984.0,ns,7932
distr_random_i8,ChaCha8Rng,Canon,,,1376250.0,ns,9254
distr_random_i8,ChaCha8Rng,Canon,,,1573372.0,ns,10576
distr_random_i8,ChaCha8Rng,Canon,,,1769390.0,ns,11898
distr_random_i8,ChaCha8Rng,Canon,,,1974447.0,ns,13220
distr_random_i8,ChaCha8Rng,Canon,,,2168462.0,ns,14542
distr_random_i8,ChaCha8Rng,Canon,,,2372777.0,ns,15864
distr_random_i8,ChaCha8Rng,Canon,,,2550671.0,ns,17186
distr_random_i8,ChaCha8Rng,Canon,,,2843983.0,ns,18508
distr_random_i8,ChaCha8Rng,Canon,,,2961365.0,ns,19830
distr_random_i8,ChaCha8Rng,Canon,,,3142024.0,ns,21152
distr_random_i8,ChaCha8Rng,Canon,,,3349495.0,ns,22474
distr_random_i8,ChaCha8Rng,Canon,,,3541667.0,ns,23796
distr_random_i8,ChaCha8Rng,Canon,,,3813899.0,ns,25118
distr_random_i8,ChaCha8Rng,Canon,,,3942381.0,ns,26440
distr_random_i8,ChaCha8Rng,Canon,,,4131216.0,ns,27762
distr_random_i8,ChaCha8Rng,Canon,,,4353756.0,ns,29084
distr_random_i8,ChaCha8Rng,Canon,,,4534946.0,ns,30406
distr_random_i8,ChaCha8Rng,Canon,,,4776622.0,ns,31728
distr_random_i8,ChaCha8Rng,Canon,,,4990073.0,ns,33050
distr_random_i8,ChaCha8Rng,Canon,,,5211240.0,ns,34372
distr_random_i8,ChaCha8Rng,Canon,,,5304716.0,ns,35694
distr_random_i8,ChaCha8Rng,Canon,,,5522145.0,ns,37016
distr_random_i8,ChaCha8Rng,Canon,,,5721511.0,ns,38338
distr_random_i8,ChaCha8Rng,Canon,,,5901408.0,ns,39660
distr_random_i8,ChaCha8Rng,Canon,,,6104872.0,ns,40982
distr_random_i8,ChaCha8Rng,Canon,,,6308836.0,ns,42304
distr_random_i8,ChaCha8Rng,Canon,,,6516917.0,ns,43626
distr_random_i8,ChaCha8Rng,Canon,,,6705513.0,ns,44948
distr_random_i8,ChaCha8Rng,Canon,,,6907332.0,ns,46270
distr_random_i8,ChaCha8Rng,Canon,,,7086820.0,ns,47592
distr_random_i8,ChaCha8Rng,Canon,,,7270647.0,ns,48914
distr_random_i8,ChaCha8Rng,Canon,,,7445426.0,ns,50236
distr_random_i8,ChaCha8Rng,Canon,,,7657876.0,ns,51558
distr_random_i8,ChaCha8Rng,Canon,,,7840759.0,ns,52880
distr_random_i8,ChaCha8Rng,Canon,,,9239673.0,ns,54202
distr_random_i8,ChaCha8Rng,Canon,,,8245762.0,ns,55524
distr_random_i8,ChaCha8Rng,Canon,,,8704495.0,ns,56846
distr_random_i8,ChaCha8Rng,Canon,,,8649151.0,ns,58168
distr_random_i8,ChaCha8Rng,Canon,,,9003629.0,ns,59490
distr_random_i8,ChaCha8Rng,Canon,,,9037423.0,ns,60812
distr_random_i8,ChaCha8Rng,Canon,,,9262196.0,ns,62134
distr_random_i8,ChaCha8Rng,Canon,,,9608237.0,ns,63456
distr_random_i8,ChaCha8Rng,Canon,,,9615721.0,ns,64778
distr_random_i8,ChaCha8Rng,Canon,,,9847427.0,ns,66100
distr_random_i8,ChaCha8Rng,Canon,,,10019501.0,ns,67422
distr_random_i8,ChaCha8Rng,Canon,,,10253982.0,ns,68744
distr_random_i8,ChaCha8Rng,Canon,,,10430245.0,ns,70066
distr_random_i8,ChaCha8Rng,Canon,,,10791885.0,ns,71388
distr_random_i8,ChaCha8Rng,Canon,,,11720483.0,ns,72710
distr_random_i8,ChaCha8Rng,Canon,,,11297186.0,ns,74032
distr_random_i8,ChaCha8Rng,Canon,,,11222485.0,ns,75354
distr_random_i8,ChaCha8Rng,Canon,,,11899831.0,ns,76676
distr_random_i8,ChaCha8Rng,Canon,,,11934035.0,ns,77998
distr_random_i8,ChaCha8Rng,Canon,,,11865607.0,ns,79320
distr_random_i8,ChaCha8Rng,Canon,,,12039023.0,ns,80642
distr_random_i8,ChaCha8Rng,Canon,,,12212189.0,ns,81964
distr_random_i8,ChaCha8Rng,Canon,,,12401524.0,ns,83286
distr_random_i8,ChaCha8Rng,Canon,,,12586313.0,ns,84608
distr_random_i8,ChaCha8Rng,Canon,,,13909354.0,ns,85930
distr_random_i8,ChaCha8Rng,Canon,,,13223321.0,ns,87252
distr_random_i8,ChaCha8Rng,Canon,,,13234111.0,ns,88574
distr_random_i8,ChaCha8Rng,Canon,,,13369938.0,ns,89896
distr_random_i8,ChaCha8Rng,Canon,,,13774549.0,ns,91218
distr_random_i8,ChaCha8Rng,Canon,,,13798855.0,ns,92540
distr_random_i8,ChaCha8Rng,Canon,,,13966491.0,ns,93862
distr_random_i8,ChaCha8Rng,Canon,,,14147561.0,ns,95184
distr_random_i8,ChaCha8Rng,Canon,,,14351044.0,ns,96506
distr_random_i8,ChaCha8Rng,Canon,,,15581271.0,ns,97828
distr_random_i8,ChaCha8Rng,Canon,,,14978536.0,ns,99150
distr_random_i8,ChaCha8Rng,Canon,,,15003874.0,ns,100472
distr_random_i8,ChaCha8Rng,Canon,,,15117037.0,ns,101794
