group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,ChaCha8Rng,Canon32,,,197161.0,ns,2020
distr_random_i8,ChaCha8Rng,Canon32,,,392539.0,ns,4040
distr_random_i8,ChaCha8Rng,Canon32,,,597424.0,ns,6060
distr_random_i8,ChaCha8Rng,Canon32,,,797000.0,ns,8080
distr_random_i8,ChaCha8Rng,Canon32,,,994522.0,ns,10100
distr_random_i8,ChaCha8Rng,Canon32,,,1188958.0,ns,12120
distr_random_i8,ChaCha8Rng,Canon32,,,1379597.0,ns,14140
distr_random_i8,ChaCha8Rng,Canon32,,,1579915.0,ns,16160
distr_random_i8,ChaCha8Rng,Canon32,,,1783828.0,ns,18180
distr_random_i8,ChaCha8Rng,Canon32,,,1979727.0,ns,20200
distr_random_i8,ChaCha8Rng,Canon32,,,2172169.0,ns,22220
distr_random_i8,ChaCha8Rng,Canon32,,,2360884.0,ns,24240
distr_random_i8,ChaCha8Rng,Canon32,,,2572472.0,ns,26260
distr_random_i8,ChaCha8Rng,Canon32,,,2763392.0,ns,28280
distr_random_i8,ChaCha8Rng,Canon32,,,2961215.0,ns,30300
distr_random_i8,ChaCha8Rng,Canon32,,,3165790.0,ns,32320
distr_random_i8,ChaCha8Rng,Canon32,,,3353333.0,ns,34340
distr_random_i8,ChaCha8Rng,Canon32,,,3553510.0,ns,36360
distr_random_i8,ChaCha8Rng,Canon32,,,3758165.0,ns,38380
distr_random_i8,ChaCha8Rng,Canon32,,,3947952.0,ns,40400
distr_random_i8,ChaCha8Rng,Canon32,,,4136045.0,ns,42420
distr_random_i8,ChaCha8Rng,Canon32,,,4334700.0,ns,44440
distr_random_i8,ChaCha8Rng,Canon32,,,4531400.0,ns,46460
distr_random_i8,ChaCha8Rng,Canon32,,,4730525.0,ns,48480
distr_random_i8,ChaCha8Rng,Canon32,,,4917356.0,ns,50500
distr_random_i8,ChaCha8Rng,Canon32,,,5131810.0,ns,52520
distr_random_i8,ChaCha8Rng,Canon32,,,5335975.0,ns,54540
distr_random_i8,ChaCha8Rng,Canon32,,,5517957.0,ns,56560
distr_random_i8,ChaCha8Rng,Canon32,,,5718384.0,ns,58580
distr_random_i8,ChaCha8Rng,Canon32,,,5925244.0,ns,60600
distr_random_i8,ChaCha8Rng,Canon32,,,6147872.0,ns,62620
distr_random_i8,ChaCha8Rng,Canon32,,,6319276.0,ns,64640
distr_random_i8,ChaCha8Rng,Canon32,,,6529382.0,ns,66660
distr_random_i8,ChaCha8Rng,Canon32,,,6739196.0,ns,68680
distr_random_i8,ChaCha8Rng,Canon32,,,6921900.0,ns,70700
distr_random_i8,ChaCha8Rng,Canon32,,,7094966.0,ns,72720
distr_random_i8,ChaCha8Rng,Canon32,,,7294732.0,ns,74740
distr_random_i8,ChaCha8Rng,Canon32,,,7493376.0,ns,76760
distr_random_i8,ChaCha8Rng,Canon32,,,7697640.0,ns,78780
distr_random_i8,ChaCha8Rng,Canon32,,,7900402.0,ns,80800
distr_random_i8,ChaCha8Rng,Canon32,,,8061655.0,ns,82820
distr_random_i8,ChaCha8Rng,Canon32,,,8264337.0,ns,84840
distr_random_i8,ChaCha8Rng,Canon32,,,8465495.0,ns,86860
distr_random_i8,ChaCha8Rng,Canon32,,,8650464.0,ns,88880
distr_random_i8,ChaCha8Rng,Canon32,,,8831534.0,ns,90900
distr_random_i8,ChaCha8Rng,Canon32,,,9034918.0,ns,92920
distr_random_i8,ChaCha8Rng,Canon32,,,9242548.0,ns,94940
distr_random_i8,ChaCha8Rng,Canon32,,,9441613.0,ns,96960
distr_random_i8,ChaCha8Rng,Canon32,,,9636189.0,ns,98980
distr_random_i8,ChaCha8Rng,Canon32,,,9856224.0,ns,101000
distr_random_i8,ChaCha8Rng,Canon32,,,10037124.0,ns,103020
distr_random_i8,ChaCha8Rng,Canon32,,,10251347.0,ns,105040
distr_random_i8,ChaCha8Rng,Canon32,,,10431827.0,ns,107060
distr_random_i8,ChaCha8Rng,Canon32,,,10624130.0,ns,109080
distr_random_i8,ChaCha8Rng,Canon32,,,10844755.0,ns,111100
distr_random_i8,ChaCha8Rng,Canon32,,,11070920.0,ns,113120
distr_random_i8,ChaCha8Rng,Canon32,,,11193641.0,ns,115140
distr_random_i8,ChaCha8Rng,Canon32,,,11375263.0,ns,117160
distr_random_i8,ChaCha8Rng,Canon32,,,11577724.0,ns,119180
distr_random_i8,ChaCha8Rng,Canon32,,,11791205.0,ns,121200
distr_random_i8,ChaCha8Rng,Canon32,,,11979931.0,ns,123220
distr_random_i8,ChaCha8Rng,Canon32,,,12157726.0,ns,125240
distr_random_i8,ChaCha8Rng,Canon32,,,12343555.0,ns,127260
distr_random_i8,ChaCha8Rng,Canon32,,,12570593.0,ns,129280
distr_random_i8,ChaCha8Rng,Canon32,,,12763997.0,ns,131300
distr_random_i8,ChaCha8Rng,Canon32,,,12987237.0,ns,133320
distr_random_i8,ChaCha8Rng,Canon32,,,13151857.0,ns,135340
distr_random_i8,ChaCha8Rng,Canon32,,,14189681.0,ns,137360
distr_random_i8,ChaCha8Rng,Canon32,,,13686174.0,ns,139380
distr_random_i8,ChaCha8Rng,Canon32,,,13742529.0,ns,141400
distr_random_i8,ChaCha8Rng,Canon32,,,13970138.0,ns,143420
distr_random_i8,ChaCha8Rng,Canon32,,,14174231.0,ns,145440
distr_random_i8,ChaCha8Rng,Canon32,,,14338541.0,ns,147460
distr_random_i8,ChaCha8Rng,Canon32,,,14496649.0,ns,149480
distr_random_i8,ChaCha8Rng,Canon32,,,14711473.0,ns,151500
distr_random_i8,ChaCha8Rng,Canon32,,,14940544.0,ns,153520
distr_random_i8,ChaCha8Rng,Canon32,,,15073575.0,ns,155540
distr_random_i8,ChaCha8Rng,Canon32,,,15295693.0,ns,157560
distr_random_i8,ChaCha8Rng,Canon32,,,15476353.0,ns,159580
distr_random_i8,ChaCha8Rng,Canon32,,,15688001.0,ns,161600
distr_random_i8,ChaCha8Rng,Canon32,,,15939846.0,ns,163620
distr_random_i8,ChaCha8Rng,Canon32,,,16068558.0,ns,165640
distr_random_i8,ChaCha8Rng,Canon32,,,16275848.0,ns,167660
distr_random_i8,ChaCha8Rng,Canon32,,,16454093.0,ns,169680
distr_random_i8,ChaCha8Rng,Canon32,,,16630706.0,ns,171700
distr_random_i8,ChaCha8Rng,Canon32,,,16854166.0,ns,173720
distr_random_i8,ChaCha8Rng,Canon32,,,17125888.0,ns,175740
distr_random_i8,ChaCha8Rng,Canon32,,,17314814.0,ns,177760
distr_random_i8,ChaCha8Rng,Canon32,,,17627723.0,ns,179780
distr_random_i8,ChaCha8Rng,Canon32,,,17789468.0,ns,181800
distr_random_i8,ChaCha8Rng,Canon32,,,17948696.0,ns,183820
distr_random_i8,ChaCha8Rng,Canon32,,,18187627.0,ns,185840
distr_random_i8,ChaCha8Rng,Canon32,,,18420835.0,ns,187860
distr_random_i8,ChaCha8Rng,Canon32,,,18638917.0,ns,189880
distr_random_i8,ChaCha8Rng,Canon32,,,18659756.0,ns,191900
distr_random_i8,ChaCha8Rng,Canon32,,,18842580.0,ns,193920
distr_random_i8,ChaCha8Rng,Canon32,,,19060881.0,ns,195940
distr_random_i8,ChaCha8Rng,Canon32,,,19279883.0,ns,197960
distr_random_i8,ChaCha8Rng,Canon32,,,19463017.0,ns,199980
distr_random_i8,ChaCha8Rng,Canon32,,,19619042.0,ns,202000
