group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,Pcg32,Canon-Lemire,,,198985.0,ns,1737
distr_random_i8,Pcg32,Canon-Lemire,,,395084.0,ns,3474
distr_random_i8,Pcg32,Canon-Lemire,,,593858.0,ns,5211
distr_random_i8,Pcg32,Canon-Lemire,,,790147.0,ns,6948
distr_random_i8,Pcg32,Canon-Lemire,,,988801.0,ns,8685
distr_random_i8,Pcg32,Canon-Lemire,,,1187415.0,ns,10422
distr_random_i8,Pcg32,Canon-Lemire,,,1385147.0,ns,12159
distr_random_i8,Pcg32,Canon-Lemire,,,1581307.0,ns,13896
distr_random_i8,Pcg32,Canon-Lemire,,,1780031.0,ns,15633
distr_random_i8,Pcg32,Canon-Lemire,,,1977553.0,ns,17370
distr_random_i8,Pcg32,Canon-Lemire,,,2181807.0,ns,19107
distr_random_i8,Pcg32,Canon-Lemire,,,2373789.0,ns,20844
distr_random_i8,Pcg32,Canon-Lemire,,,2570479.0,ns,22581
distr_random_i8,Pcg32,Canon-Lemire,,,2768943.0,ns,24318
distr_random_i8,Pcg32,Canon-Lemire,,,2966274.0,ns,26055
distr_random_i8,Pcg32,Canon-Lemire,,,3164006.0,ns,27792
distr_random_i8,Pcg32,Canon-Lemire,,,3364433.0,ns,29529
distr_random_i8,Pcg32,Canon-Lemire,,,3559280.0,ns,31266
distr_random_i8,Pcg32,Canon-Lemire,,,3758074.0,ns,33003
distr_random_i8,Pcg32,Canon-Lemire,,,3955506.0,ns,34740
distr_random_i8,Pcg32,Canon-Lemire,,,4152877.0,ns,36477
distr_random_i8,Pcg32,Canon-Lemire,,,4350449.0,ns,38214
distr_random_i8,Pcg32,Canon-Lemire,,,4548562.0,ns,39951
distr_random_i8,Pcg32,Canon-Lemire,,,4746304.0,ns,41688
distr_random_i8,Pcg32,Canon-Lemire,,,4944427.0,ns,43425
distr_random_i8,Pcg32,Canon-Lemire,,,5141879.0,ns,45162
distr_random_i8,Pcg32,Canon-Lemire,,,5338329.0,ns,46899
distr_random_i8,Pcg32,Canon-Lemire,,,5536342.0,ns,48636
distr_random_i8,Pcg32,Canon-Lemire,,,5735356.0,ns,50373
distr_random_i8,Pcg32,Canon-Lemire,,,5932678.0,ns,52110
distr_random_i8,Pcg32,Canon-Lemire,,,6130300.0,ns,53847
distr_random_i8,Pcg32,Canon-Lemire,,,6329375.0,ns,55584
distr_random_i8,Pcg32,Canon-Lemire,,,6524451.0,ns,57321
distr_random_i8,Pcg32,Canon-Lemire,,,6722665.0,ns,59058
distr_random_i8,Pcg32,Canon-Lemire,,,6921720.0,ns,60795
distr_random_i8,Pcg32,Canon-Lemire,,,7119041.0,ns,62532
distr_random_i8,Pcg32,Canon-Lemire,,,7316222.0,ns,64269
distr_random_i8,Pcg32,Canon-Lemire,,,7514094.0,ns,66006
distr_random_i8,Pcg32,Canon-Lemire,,,7711616.0,ns,67743
distr_random_i8,Pcg32,Canon-Lemire,,,7909940.0,ns,69480
distr_random_i8,Pcg32,Canon-Lemire,,,8106841.0,ns,71217
distr_random_i8,Pcg32,Canon-Lemire,,,8304092.0,ns,72954
distr_random_i8,Pcg32,Canon-Lemire,,,8506904.0,ns,74691
distr_random_i8,Pcg32,Canon-Lemire,,,8700828.0,ns,76428
distr_random_i8,Pcg32,Canon-Lemire,,,8898371.0,ns,78165
distr_random_i8,Pcg32,Canon-Lemire,,,9095271.0,ns,79902
distr_random_i8,Pcg32,Canon-Lemire,,,9293704.0,ns,81639
distr_random_i8,Pcg32,Canon-Lemire,,,9492699.0,ns,83376
distr_random_i8,Pcg32,Canon-Lemire,,,9689279.0,ns,85113
distr_random_i8,Pcg32,Canon-Lemire,,,9886361.0,ns,86850
distr_random_i8,Pcg32,Canon-Lemire,,,10090755.0,ns,88587
distr_random_i8,Pcg32,Canon-Lemire,,,10284300.0,ns,90324
distr_random_i8,Pcg32,Canon-Lemire,,,10480699.0,ns,92061
distr_random_i8,Pcg32,Canon-Lemire,,,10680355.0,ns,93798
distr_random_i8,Pcg32,Canon-Lemire,,,10881494.0,ns,95535
distr_random_i8,Pcg32,Canon-Lemire,,,11044009.0,ns,97272
distr_random_i8,Pcg32,Canon-Lemire,,,11292807.0,ns,99009
distr_random_i8,Pcg32,Canon-Lemire,,,11468969.0,ns,100746
distr_random_i8,Pcg32,Canon-Lemire,,,11678304.0,ns,102483
distr_random_i8,Pcg32,Canon-Lemire,,,11862691.0,ns,104220
distr_random_i8,Pcg32,Canon-Lemire,,,12063008.0,ns,105957
distr_random_i8,Pcg32,Canon-Lemire,,,12266741.0,ns,107694
distr_random_i8,Pcg32,Canon-Lemire,,,12456368.0,ns,109431
distr_random_i8,Pcg32,Canon-Lemire,,,12655793.0,ns,111168
distr_random_i8,Pcg32,Canon-Lemire,,,12854187.0,ns,112905
distr_random_i8,Pcg32,Canon-Lemire,,,13075203.0,ns,114642
distr_random_i8,Pcg32,Canon-Lemire,,,13256163.0,ns,116379
distr_random_i8,Pcg32,Canon-Lemire,,,13446272.0,ns,118116
distr_random_i8,Pcg32,Canon-Lemire,,,13642642.0,ns,119853
distr_random_i8,Pcg32,Canon-Lemire,,,13845503.0,ns,121590
distr_random_i8,Pcg32,Canon-Lemire,,,14052252.0,ns,123327
distr_random_i8,Pcg32,Canon-Lemire,,,14241057.0,ns,125064
distr_random_i8,Pcg32,Canon-Lemire,,,14459900.0,ns,126801
distr_random_i8,Pcg32,Canon-Lemire,,,14630280.0,ns,128538
distr_random_i8,Pcg32,Canon-Lemire,,,14828814.0,ns,130275
distr_random_i8,Pcg32,Canon-Lemire,,,15026166.0,ns,132012
distr_random_i8,Pcg32,Canon-Lemire,,,15233386.0,ns,133749
distr_random_i8,Pcg32,Canon-Lemire,,,15423794.0,ns,135486
distr_random_i8,Pcg32,Canon-Lemire,,,15619873.0,ns,137223
distr_random_i8,Pcg32,Canon-Lemire,,,15821683.0,ns,138960
distr_random_i8,Pcg32,Canon-Lemire,,,16016129.0,ns,140697
distr_random_i8,Pcg32,Canon-Lemire,,,16214803.0,ns,142434
distr_random_i8,Pcg32,Canon-Lemire,,,16413246.0,ns,144171
distr_random_i8,Pcg32,Canon-Lemire,,,16609836.0,ns,145908
distr_random_i8,Pcg32,Canon-Lemire,,,16807028.0,ns,147645
distr_random_i8,Pcg32,Canon-Lemire,,,17006944.0,ns,149382
distr_random_i8,Pcg32,Canon-Lemire,,,17202623.0,ns,151119
distr_random_i8,Pcg32,Canon-Lemire,,,17404743.0,ns,152856
distr_random_i8,Pcg32,Canon-Lemire,,,17600582.0,ns,154593
distr_random_i8,Pcg32,Canon-Lemire,,,17823101.0,ns,156330
distr_random_i8,Pcg32,Canon-Lemire,,,18041802.0,ns,158067
distr_random_i8,Pcg32,Canon-Lemire,,,18198517.0,ns,159804
distr_random_i8,Pcg32,Canon-Lemire,,,18393775.0,ns,161541
distr_random_i8,Pcg32,Canon-Lemire,,,18586909.0,ns,163278
distr_random_i8,Pcg32,Canon-Lemire,,,18787787.0,ns,165015
distr_random_i8,Pcg32,Canon-Lemire,,,18980620.0,ns,166752
distr_random_i8,Pcg32,Canon-Lemire,,,19180155.0,ns,168489
distr_random_i8,Pcg32,Canon-Lemire,,,19379550.0,ns,170226
distr_random_i8,Pcg32,Canon-Lemire,,,19590387.0,ns,171963
distr_random_i8,Pcg32,Canon-Lemire,,,19778492.0,ns,173700
