group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,Pcg64,Canon-Lemire,,,198093.0,ns,2391
distr_random_i8,Pcg64,Canon-Lemire,,,395144.0,ns,4782
distr_random_i8,Pcg64,Canon-Lemire,,,593988.0,ns,7173
distr_random_i8,Pcg64,Canon-Lemire,,,791290.0,ns,9564
distr_random_i8,Pcg64,Canon-Lemire,,,989994.0,ns,11955
distr_random_i8,Pcg64,Canon-Lemire,,,1186544.0,ns,14346
distr_random_i8,Pcg64,Canon-Lemire,,,1384035.0,ns,16737
distr_random_i8,Pcg64,Canon-Lemire,,,1582719.0,ns,19128
distr_random_i8,Pcg64,Canon-Lemire,,,1787365.0,ns,21519
distr_random_i8,Pcg64,Canon-Lemire,,,1980328.0,ns,23910
distr_random_i8,Pcg64,Canon-Lemire,,,2180805.0,ns,26301
distr_random_i8,Pcg64,Canon-Lemire,,,2375451.0,ns,28692
distr_random_i8,Pcg64,Canon-Lemire,,,2572462.0,ns,31083
distr_random_i8,Pcg64,Canon-Lemire,,,2769914.0,ns,33474
distr_random_i8,Pcg64,Canon-Lemire,,,2967065.0,ns,35865
distr_random_i8,Pcg64,Canon-Lemire,,,3183613.0,ns,38256
distr_random_i8,Pcg64,Canon-Lemire,,,3367559.0,ns,40647
distr_random_i8,Pcg64,Canon-Lemire,,,3564039.0,ns,43038
distr_random_i8,Pcg64,Canon-Lemire,,,3757623.0,ns,45429
distr_random_i8,Pcg64,Canon-Lemire,,,3966546.0,ns,47820
distr_random_i8,Pcg64,Canon-Lemire,,,4156985.0,ns,50211
distr_random_i8,Pcg64,Canon-Lemire,,,4354407.0,ns,52602
distr_random_i8,Pcg64,Canon-Lemire,,,4549484.0,ns,54993
distr_random_i8,Pcg64,Canon-Lemire,,,4756784.0,ns,57384
distr_random_i8,Pcg64,Canon-Lemire,,,4944288.0,ns,59775
distr_random_i8,Pcg64,Canon-Lemire,,,5150535.0,ns,62166
distr_random_i8,Pcg64,Canon-Lemire,,,5352626.0,ns,64557
distr_random_i8,Pcg64,Canon-Lemire,,,5538476.0,ns,66948
distr_random_i8,Pcg64,Canon-Lemire,,,5735707.0,ns,69339
distr_random_i8,Pcg64,Canon-Lemire,,,5945282.0,ns,71730
distr_random_i8,Pcg64,Canon-Lemire,,,6133856.0,ns,74121
distr_random_i8,Pcg64,Canon-Lemire,,,6341929.0,ns,76512
distr_random_i8,Pcg64,Canon-Lemire,,,6551362.0,ns,78903
distr_random_i8,Pcg64,Canon-Lemire,,,6725210.0,ns,81294
distr_random_i8,Pcg64,Canon-Lemire,,,6928413.0,ns,83685
distr_random_i8,Pcg64,Canon-Lemire,,,7120123.0,ns,86076
distr_random_i8,Pcg64,Canon-Lemire,,,7318576.0,ns,88467
distr_random_i8,Pcg64,Canon-Lemire,,,7528812.0,ns,90858
distr_random_i8,Pcg64,Canon-Lemire,,,7714462.0,ns,93249
distr_random_i8,Pcg64,Canon-Lemire,,,7921050.0,ns,95640
distr_random_i8,Pcg64,Canon-Lemire,,,8108915.0,ns,98031
distr_random_i8,Pcg64,Canon-Lemire,,,8317277.0,ns,100422
distr_random_i8,Pcg64,Canon-Lemire,,,8536960.0,ns,102813
distr_random_i8,Pcg64,Canon-Lemire,,,8725044.0,ns,105204
distr_random_i8,Pcg64,Canon-Lemire,,,8908931.0,ns,107595
distr_random_i8,Pcg64,Canon-Lemire,,,9114868.0,ns,109986
distr_random_i8,Pcg64,Canon-Lemire,,,9295407.0,ns,112377
distr_random_i8,Pcg64,Canon-Lemire,,,9516935.0,ns,114768
distr_random_i8,Pcg64,Canon-Lemire,,,9704368.0,ns,117159
