group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,SmallRng,Canon-Lemire,,,197071.0,ns,3913
distr_random_i8,SmallRng,Canon-Lemire,,,394102.0,ns,7826
distr_random_i8,SmallRng,Canon-Lemire,,,591093.0,ns,11739
distr_random_i8,SmallRng,Canon-Lemire,,,785208.0,ns,15652
distr_random_i8,SmallRng,Canon-Lemire,,,979013.0,ns,19565
distr_random_i8,SmallRng,Canon-Lemire,,,1238071.0,ns,23478
distr_random_i8,SmallRng,Canon-Lemire,,,1377313.0,ns,27391
distr_random_i8,SmallRng,Canon-Lemire,,,1576187.0,ns,31304
distr_random_i8,SmallRng,Canon-Lemire,,,1772527.0,ns,35217
distr_random_i8,SmallRng,Canon-Lemire,,,1966782.0,ns,39130
distr_random_i8,SmallRng,Canon-Lemire,,,2162651.0,ns,43043
distr_random_i8,SmallRng,Canon-Lemire,,,2358420.0,ns,46956
distr_random_i8,SmallRng,Canon-Lemire,,,2571481.0,ns,50869
distr_random_i8,SmallRng,Canon-Lemire,,,2754215.0,ns,54782
distr_random_i8,SmallRng,Canon-Lemire,,,2955343.0,ns,58695
distr_random_i8,SmallRng,Canon-Lemire,,,3154437.0,ns,62608
distr_random_i8,SmallRng,Canon-Lemire,,,3346039.0,ns,66521
distr_random_i8,SmallRng,Canon-Lemire,,,3551576.0,ns,70434
distr_random_i8,SmallRng,Canon-Lemire,,,3750711.0,ns,74347
distr_random_i8,SmallRng,Canon-Lemire,,,3925821.0,ns,78260
distr_random_i8,SmallRng,Canon-Lemire,,,4187763.0,ns,82173
distr_random_i8,SmallRng,Canon-Lemire,,,4333327.0,ns,86086
distr_random_i8,SmallRng,Canon-Lemire,,,4520530.0,ns,89999
distr_random_i8,SmallRng,Canon-Lemire,,,4713773.0,ns,93912
distr_random_i8,SmallRng,Canon-Lemire,,,4921955.0,ns,97825
distr_random_i8,SmallRng,Canon-Lemire,,,5101032.0,ns,101738
distr_random_i8,SmallRng,Canon-Lemire,,,5303954.0,ns,105651
distr_random_i8,SmallRng,Canon-Lemire,,,5506986.0,ns,109564
distr_random_i8,SmallRng,Canon-Lemire,,,5762086.0,ns,113477
distr_random_i8,SmallRng,Canon-Lemire,,,5908041.0,ns,117390
distr_random_i8,SmallRng,Canon-Lemire,,,6091797.0,ns,121303
distr_random_i8,SmallRng,Canon-Lemire,,,6281063.0,ns,125216
distr_random_i8,SmallRng,Canon-Lemire,,,6483134.0,ns,129129
distr_random_i8,SmallRng,Canon-Lemire,,,6687930.0,ns,133042
distr_random_i8,SmallRng,Canon-Lemire,,,6948309.0,ns,136955
distr_random_i8,SmallRng,Canon-Lemire,,,7087282.0,ns,140868
distr_random_i8,SmallRng,Canon-Lemire,,,7269575.0,ns,144781
distr_random_i8,SmallRng,Canon-Lemire,,,7469641.0,ns,148694
distr_random_i8,SmallRng,Canon-Lemire,,,7671852.0,ns,152607
distr_random_i8,SmallRng,Canon-Lemire,,,7863422.0,ns,156520
distr_random_i8,SmallRng,Canon-Lemire,,,8096641.0,ns,160433
distr_random_i8,SmallRng,Canon-Lemire,,,8236354.0,ns,164346
distr_random_i8,SmallRng,Canon-Lemire,,,8432233.0,ns,168259
distr_random_i8,SmallRng,Canon-Lemire,,,8623183.0,ns,172172
distr_random_i8,SmallRng,Canon-Lemire,,,8850982.0,ns,176085
distr_random_i8,SmallRng,Canon-Lemire,,,9231899.0,ns,179998
distr_random_i8,SmallRng,Canon-Lemire,,,9140637.0,ns,183911
distr_random_i8,SmallRng,Canon-Lemire,,,9327568.0,ns,187824
distr_random_i8,SmallRng,Canon-Lemire,,,9555628.0,ns,191737
distr_random_i8,SmallRng,Canon-Lemire,,,9761164.0,ns,195650
distr_random_i8,SmallRng,Canon-Lemire,,,9931114.0,ns,199563
distr_random_i8,SmallRng,Canon-Lemire,,,10155818.0,ns,203476
distr_random_i8,SmallRng,Canon-Lemire,,,10298285.0,ns,207389
distr_random_i8,SmallRng,Canon-Lemire,,,10566490.0,ns,211302
distr_random_i8,SmallRng,Canon-Lemire,,,10725761.0,ns,215215
distr_random_i8,SmallRng,Canon-Lemire,,,10896051.0,ns,219128
distr_random_i8,SmallRng,Canon-Lemire,,,11095576.0,ns,223041
distr_random_i8,SmallRng,Canon-Lemire,,,11315691.0,ns,226954
distr_random_i8,SmallRng,Canon-Lemire,,,11476343.0,ns,230867
distr_random_i8,SmallRng,Canon-Lemire,,,11653717.0,ns,234780
distr_random_i8,SmallRng,Canon-Lemire,,,11894551.0,ns,238693
distr_random_i8,SmallRng,Canon-Lemire,,,12069730.0,ns,242606
distr_random_i8,SmallRng,Canon-Lemire,,,12288892.0,ns,246519
distr_random_i8,SmallRng,Canon-Lemire,,,12456037.0,ns,250432
distr_random_i8,SmallRng,Canon-Lemire,,,12665492.0,ns,254345
distr_random_i8,SmallRng,Canon-Lemire,,,12846592.0,ns,258258
distr_random_i8,SmallRng,Canon-Lemire,,,13035719.0,ns,262171
distr_random_i8,SmallRng,Canon-Lemire,,,13236858.0,ns,266084
distr_random_i8,SmallRng,Canon-Lemire,,,13423238.0,ns,269997
distr_random_i8,SmallRng,Canon-Lemire,,,13605802.0,ns,273910
distr_random_i8,SmallRng,Canon-Lemire,,,13794818.0,ns,277823
distr_random_i8,SmallRng,Canon-Lemire,,,13998791.0,ns,281736
distr_random_i8,SmallRng,Canon-Lemire,,,14205090.0,ns,285649
distr_random_i8,SmallRng,Canon-Lemire,,,14400888.0,ns,289562
distr_random_i8,SmallRng,Canon-Lemire,,,14584464.0,ns,293475
distr_random_i8,SmallRng,Canon-Lemire,,,14788689.0,ns,297388
distr_random_i8,SmallRng,Canon-Lemire,,,14969108.0,ns,301301
distr_random_i8,SmallRng,Canon-Lemire,,,15160819.0,ns,305214
distr_random_i8,SmallRng,Canon-Lemire,,,15369982.0,ns,309127
distr_random_i8,SmallRng,Canon-Lemire,,,15561013.0,ns,313040
distr_random_i8,SmallRng,Canon-Lemire,,,15772030.0,ns,316953
distr_random_i8,SmallRng,Canon-Lemire,,,15938914.0,ns,320866
distr_random_i8,SmallRng,Canon-Lemire,,,16196498.0,ns,324779
distr_random_i8,SmallRng,Canon-Lemire,,,16359575.0,ns,328692
distr_random_i8,SmallRng,Canon-Lemire,,,16539715.0,ns,332605
distr_random_i8,SmallRng,Canon-Lemire,,,16738629.0,ns,336518
distr_random_i8,SmallRng,Canon-Lemire,,,16937594.0,ns,340431
distr_random_i8,SmallRng,Canon-Lemire,,,17126449.0,ns,344344
distr_random_i8,SmallRng,Canon-Lemire,,,17293814.0,ns,348257
distr_random_i8,SmallRng,Canon-Lemire,,,17551950.0,ns,352170
distr_random_i8,SmallRng,Canon-Lemire,,,17748230.0,ns,356083
distr_random_i8,SmallRng,Canon-Lemire,,,17930062.0,ns,359996
distr_random_i8,SmallRng,Canon-Lemire,,,18108127.0,ns,363909
distr_random_i8,SmallRng,Canon-Lemire,,,18276925.0,ns,367822
distr_random_i8,SmallRng,Canon-Lemire,,,18516636.0,ns,371735
distr_random_i8,SmallRng,Canon-Lemire,,,18689822.0,ns,375648
distr_random_i8,SmallRng,Canon-Lemire,,,18888446.0,ns,379561
distr_random_i8,SmallRng,Canon-Lemire,,,19159617.0,ns,383474
distr_random_i8,SmallRng,Canon-Lemire,,,19263743.0,ns,387387
distr_random_i8,SmallRng,Canon-Lemire,,,19479248.0,ns,391300
