group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,SmallRng,Canon,,,197912.0,ns,3940
distr_random_i8,SmallRng,Canon,,,394663.0,ns,7880
distr_random_i8,SmallRng,Canon,,,592114.0,ns,11820
distr_random_i8,SmallRng,Canon,,,787472.0,ns,15760
distr_random_i8,SmallRng,Canon,,,989583.0,ns,19700
distr_random_i8,SmallRng,Canon,,,1184420.0,ns,23640
distr_random_i8,SmallRng,Canon,,,1378385.0,ns,27580
distr_random_i8,SmallRng,Canon,,,1585334.0,ns,31520
distr_random_i8,SmallRng,Canon,,,1780462.0,ns,35460
distr_random_i8,SmallRng,Canon,,,1977692.0,ns,39400
distr_random_i8,SmallRng,Canon,,,2175616.0,ns,43340
distr_random_i8,SmallRng,Canon,,,2374841.0,ns,47280
distr_random_i8,SmallRng,Canon,,,2564568.0,ns,51220
distr_random_i8,SmallRng,Canon,,,2760656.0,ns,55160
distr_random_i8,SmallRng,Canon,,,2960793.0,ns,59100
distr_random_i8,SmallRng,Canon,,,3155781.0,ns,63040
distr_random_i8,SmallRng,Canon,,,3359394.0,ns,66980
distr_random_i8,SmallRng,Canon,,,3560272.0,ns,70920
distr_random_i8,SmallRng,Canon,,,3749168.0,ns,74860
distr_random_i8,SmallRng,Canon,,,3946700.0,ns,78800
distr_random_i8,SmallRng,Canon,,,4136327.0,ns,82740
distr_random_i8,SmallRng,Canon,,,4339790.0,ns,86680
distr_random_i8,SmallRng,Canon,,,4528435.0,ns,90620
distr_random_i8,SmallRng,Canon,,,4731567.0,ns,94560
distr_random_i8,SmallRng,Canon,,,4932355.0,ns,98500
distr_random_i8,SmallRng,Canon,,,5119167.0,ns,102440
distr_random_i8,SmallRng,Canon,,,5317370.0,ns,106380
distr_random_i8,SmallRng,Canon,,,5524179.0,ns,110320
distr_random_i8,SmallRng,Canon,,,5709958.0,ns,114260
distr_random_i8,SmallRng,Canon,,,5903172.0,ns,118200
distr_random_i8,SmallRng,Canon,,,6115382.0,ns,122140
distr_random_i8,SmallRng,Canon,,,6300950.0,ns,126080
distr_random_i8,SmallRng,Canon,,,6495558.0,ns,130020
distr_random_i8,SmallRng,Canon,,,6704170.0,ns,133960
distr_random_i8,SmallRng,Canon,,,6891623.0,ns,137900
distr_random_i8,SmallRng,Canon,,,7099805.0,ns,141840
distr_random_i8,SmallRng,Canon,,,7284342.0,ns,145780
distr_random_i8,SmallRng,Canon,,,7491793.0,ns,149720
distr_random_i8,SmallRng,Canon,,,7682101.0,ns,153660
distr_random_i8,SmallRng,Canon,,,7875054.0,ns,157600
distr_random_i8,SmallRng,Canon,,,8081863.0,ns,161540
distr_random_i8,SmallRng,Canon,,,8274416.0,ns,165480
distr_random_i8,SmallRng,Canon,,,8474292.0,ns,169420
distr_random_i8,SmallRng,Canon,,,8660253.0,ns,173360
distr_random_i8,SmallRng,Canon,,,8873484.0,ns,177300
distr_random_i8,SmallRng,Canon,,,9062740.0,ns,181240
distr_random_i8,SmallRng,Canon,,,9251606.0,ns,185180
distr_random_i8,SmallRng,Canon,,,9459597.0,ns,189120
distr_random_i8,SmallRng,Canon,,,9644595.0,ns,193060
distr_random_i8,SmallRng,Canon,,,9849861.0,ns,197000
distr_random_i8,SmallRng,Canon,,,10044578.0,ns,200940
distr_random_i8,SmallRng,Canon,,,10254162.0,ns,204880
distr_random_i8,SmallRng,Canon,,,10439191.0,ns,208820
distr_random_i8,SmallRng,Canon,,,10623558.0,ns,212760
distr_random_i8,SmallRng,Canon,,,10834596.0,ns,216700
distr_random_i8,SmallRng,Canon,,,11036576.0,ns,220640
distr_random_i8,SmallRng,Canon,,,11217415.0,ns,224580
distr_random_i8,SmallRng,Canon,,,11428754.0,ns,228520
distr_random_i8,SmallRng,Canon,,,11620404.0,ns,232460
distr_random_i8,SmallRng,Canon,,,11818768.0,ns,236400
distr_random_i8,SmallRng,Canon,,,12027852.0,ns,240340
distr_random_i8,SmallRng,Canon,,,12217438.0,ns,244280
distr_random_i8,SmallRng,Canon,,,12403408.0,ns,248220
distr_random_i8,SmallRng,Canon,,,12595620.0,ns,252160
distr_random_i8,SmallRng,Canon,,,12795286.0,ns,256100
distr_random_i8,SmallRng,Canon,,,12980304.0,ns,260040
distr_random_i8,SmallRng,Canon,,,13179480.0,ns,263980
distr_random_i8,SmallRng,Canon,,,13386048.0,ns,267920
distr_random_i8,SmallRng,Canon,,,13574363.0,ns,271860
