group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,SmallRng,Canon32,,,197432.0,ns,3459
distr_random_i8,SmallRng,Canon32,,,394833.0,ns,6918
distr_random_i8,SmallRng,Canon32,,,593617.0,ns,10377
distr_random_i8,SmallRng,Canon32,,,791890.0,ns,13836
distr_random_i8,SmallRng,Canon32,,,988450.0,ns,17295
distr_random_i8,SmallRng,Canon32,,,1185682.0,ns,20754
distr_random_i8,SmallRng,Canon32,,,1388043.0,ns,24213
distr_random_i8,SmallRng,Canon32,,,1577159.0,ns,27672
distr_random_i8,SmallRng,Canon32,,,1778628.0,ns,31131
distr_random_i8,SmallRng,Canon32,,,1990267.0,ns,34590
distr_random_i8,SmallRng,Canon32,,,2174554.0,ns,38049
distr_random_i8,SmallRng,Canon32,,,2371674.0,ns,41508
distr_random_i8,SmallRng,Canon32,,,2570099.0,ns,44967
distr_random_i8,SmallRng,Canon32,,,2766688.0,ns,48426
distr_random_i8,SmallRng,Canon32,,,2965051.0,ns,51885
distr_random_i8,SmallRng,Canon32,,,3158455.0,ns,55344
distr_random_i8,SmallRng,Canon32,,,3354966.0,ns,58803
distr_random_i8,SmallRng,Canon32,,,3547418.0,ns,62262
distr_random_i8,SmallRng,Canon32,,,3760408.0,ns,65721
distr_random_i8,SmallRng,Canon32,,,3961357.0,ns,69180
distr_random_i8,SmallRng,Canon32,,,4148850.0,ns,72639
distr_random_i8,SmallRng,Canon32,,,4336573.0,ns,76098
distr_random_i8,SmallRng,Canon32,,,4533123.0,ns,79557
distr_random_i8,SmallRng,Canon32,,,4752476.0,ns,83016
distr_random_i8,SmallRng,Canon32,,,4931934.0,ns,86475
distr_random_i8,SmallRng,Canon32,,,5135287.0,ns,89934
distr_random_i8,SmallRng,Canon32,,,5325554.0,ns,93393
distr_random_i8,SmallRng,Canon32,,,5546541.0,ns,96852
distr_random_i8,SmallRng,Canon32,,,5712944.0,ns,100311
distr_random_i8,SmallRng,Canon32,,,5928068.0,ns,103770
distr_random_i8,SmallRng,Canon32,,,6107597.0,ns,107229
distr_random_i8,SmallRng,Canon32,,,6317181.0,ns,110688
distr_random_i8,SmallRng,Canon32,,,6514633.0,ns,114147
distr_random_i8,SmallRng,Canon32,,,6725210.0,ns,117606
distr_random_i8,SmallRng,Canon32,,,6903726.0,ns,121065
distr_random_i8,SmallRng,Canon32,,,7100025.0,ns,124524
distr_random_i8,SmallRng,Canon32,,,7291756.0,ns,127983
distr_random_i8,SmallRng,Canon32,,,7492034.0,ns,131442
distr_random_i8,SmallRng,Canon32,,,7685387.0,ns,134901
distr_random_i8,SmallRng,Canon32,,,7885975.0,ns,138360
distr_random_i8,SmallRng,Canon32,,,8078998.0,ns,141819
distr_random_i8,SmallRng,Canon32,,,8353294.0,ns,145278
distr_random_i8,SmallRng,Canon32,,,8461588.0,ns,148737
distr_random_i8,SmallRng,Canon32,,,8719383.0,ns,152196
distr_random_i8,SmallRng,Canon32,,,8881108.0,ns,155655
distr_random_i8,SmallRng,Canon32,,,9063982.0,ns,159114
distr_random_i8,SmallRng,Canon32,,,9260022.0,ns,162573
distr_random_i8,SmallRng,Canon32,,,9453075.0,ns,166032
distr_random_i8,SmallRng,Canon32,,,9680373.0,ns,169491
distr_random_i8,SmallRng,Canon32,,,9837559.0,ns,172950
distr_random_i8,SmallRng,Canon32,,,10056521.0,ns,176409
distr_random_i8,SmallRng,Canon32,,,10232321.0,ns,179868
distr_random_i8,SmallRng,Canon32,,,10450502.0,ns,183327
distr_random_i8,SmallRng,Canon32,,,10649917.0,ns,186786
distr_random_i8,SmallRng,Canon32,,,10837240.0,ns,190245
distr_random_i8,SmallRng,Canon32,,,11030935.0,ns,193704
distr_random_i8,SmallRng,Canon32,,,11240099.0,ns,197163
distr_random_i8,SmallRng,Canon32,,,11406382.0,ns,200622
distr_random_i8,SmallRng,Canon32,,,11616026.0,ns,204081
distr_random_i8,SmallRng,Canon32,,,11811865.0,ns,207540
distr_random_i8,SmallRng,Canon32,,,11997635.0,ns,210999
distr_random_i8,SmallRng,Canon32,,,12190949.0,ns,214458
distr_random_i8,SmallRng,Canon32,,,12400734.0,ns,217917
distr_random_i8,SmallRng,Canon32,,,12588106.0,ns,221376
distr_random_i8,SmallRng,Canon32,,,12783725.0,ns,224835
distr_random_i8,SmallRng,Canon32,,,12975836.0,ns,228294
distr_random_i8,SmallRng,Canon32,,,13189408.0,ns,231753
distr_random_i8,SmallRng,Canon32,,,13371090.0,ns,235212
distr_random_i8,SmallRng,Canon32,,,13567680.0,ns,238671
distr_random_i8,SmallRng,Canon32,,,13769149.0,ns,242130
distr_random_i8,SmallRng,Canon32,,,13950441.0,ns,245589
distr_random_i8,SmallRng,Canon32,,,14163021.0,ns,249048
distr_random_i8,SmallRng,Canon32,,,14342007.0,ns,252507
distr_random_i8,SmallRng,Canon32,,,14549067.0,ns,255966
distr_random_i8,SmallRng,Canon32,,,14753442.0,ns,259425
distr_random_i8,SmallRng,Canon32,,,14931858.0,ns,262884
distr_random_i8,SmallRng,Canon32,,,15128719.0,ns,266343
distr_random_i8,SmallRng,Canon32,,,15337101.0,ns,269802
distr_random_i8,SmallRng,Canon32,,,15521468.0,ns,273261
distr_random_i8,SmallRng,Canon32,,,15719862.0,ns,276720
distr_random_i8,SmallRng,Canon32,,,15911442.0,ns,280179
distr_random_i8,SmallRng,Canon32,,,16110957.0,ns,283638
distr_random_i8,SmallRng,Canon32,,,16318288.0,ns,287097
distr_random_i8,SmallRng,Canon32,,,16501262.0,ns,290556
distr_random_i8,SmallRng,Canon32,,,16708642.0,ns,294015
distr_random_i8,SmallRng,Canon32,,,16896597.0,ns,297474
distr_random_i8,SmallRng,Canon32,,,17111821.0,ns,300933
distr_random_i8,SmallRng,Canon32,,,17310315.0,ns,304392
distr_random_i8,SmallRng,Canon32,,,17568732.0,ns,307851
distr_random_i8,SmallRng,Canon32,,,17724976.0,ns,311310
distr_random_i8,SmallRng,Canon32,,,17877473.0,ns,314769
distr_random_i8,SmallRng,Canon32,,,18088640.0,ns,318228
distr_random_i8,SmallRng,Canon32,,,18267617.0,ns,321687
distr_random_i8,SmallRng,Canon32,,,18473675.0,ns,325146
distr_random_i8,SmallRng,Canon32,,,18657251.0,ns,328605
distr_random_i8,SmallRng,Canon32,,,18842660.0,ns,332064
distr_random_i8,SmallRng,Canon32,,,19060309.0,ns,335523
distr_random_i8,SmallRng,Canon32,,,19220191.0,ns,338982
distr_random_i8,SmallRng,Canon32,,,19445415.0,ns,342441
distr_random_i8,SmallRng,Canon32,,,19629832.0,ns,345900
