group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,ChaCha8Rng,Canon,,,198434.0,ns,15210
single_random_i128,ChaCha8Rng,Canon,,,392639.0,ns,30420
single_random_i128,ChaCha8Rng,Canon,,,592546.0,ns,45630
single_random_i128,ChaCha8Rng,Canon,,,803002.0,ns,60840
single_random_i128,ChaCha8Rng,Canon,,,988821.0,ns,76050
single_random_i128,ChaCha8Rng,Canon,,,1182767.0,ns,91260
single_random_i128,ChaCha8Rng,Canon,,,1379076.0,ns,106470
single_random_i128,ChaCha8Rng,Canon,,,1575746.0,ns,121680
single_random_i128,ChaCha8Rng,Canon,,,1771815.0,ns,136890
single_random_i128,ChaCha8Rng,Canon,,,1973455.0,ns,152100
single_random_i128,ChaCha8Rng,Canon,,,2168411.0,ns,167310
single_random_i128,ChaCha8Rng,Canon,,,2368368.0,ns,182520
single_random_i128,ChaCha8Rng,Canon,,,2558746.0,ns,197730
single_random_i128,ChaCha8Rng,Canon,,,2796594.0,ns,212940
single_random_i128,ChaCha8Rng,Canon,,,2958739.0,ns,228150
single_random_i128,ChaCha8Rng,Canon,,,3156451.0,ns,243360
single_random_i128,ChaCha8Rng,Canon,,,3347311.0,ns,258570
single_random_i128,ChaCha8Rng,Canon,,,3542909.0,ns,273780
single_random_i128,ChaCha8Rng,Canon,,,3770937.0,ns,288990
single_random_i128,ChaCha8Rng,Canon,,,3939245.0,ns,304200
single_random_i128,ChaCha8Rng,Canon,,,4139041.0,ns,319410
single_random_i128,ChaCha8Rng,Canon,,,4341711.0,ns,334620
single_random_i128,ChaCha8Rng,Canon,,,4549894.0,ns,349830
single_random_i128,ChaCha8Rng,Canon,,,4733209.0,ns,365040
single_random_i128,ChaCha8Rng,Canon,,,4929438.0,ns,380250
single_random_i128,ChaCha8Rng,Canon,,,5151226.0,ns,395460
single_random_i128,ChaCha8Rng,Canon,,,5313601.0,ns,410670
single_random_i128,ChaCha8Rng,Canon,,,5511875.0,ns,425880
single_random_i128,ChaCha8Rng,Canon,,,5725466.0,ns,441090
single_random_i128,ChaCha8Rng,Canon,,,5905124.0,ns,456300
single_random_i128,ChaCha8Rng,Canon,,,6110521.0,ns,471510
single_random_i128,ChaCha8Rng,Canon,,,6333531.0,ns,486720
single_random_i128,ChaCha8Rng,Canon,,,6497289.0,ns,501930
single_random_i128,ChaCha8Rng,Canon,,,6698418.0,ns,517140
single_random_i128,ChaCha8Rng,Canon,,,6918613.0,ns,532350
single_random_i128,ChaCha8Rng,Canon,,,7076750.0,ns,547560
single_random_i128,ChaCha8Rng,Canon,,,7338542.0,ns,562770
single_random_i128,ChaCha8Rng,Canon,,,7497312.0,ns,577980
single_random_i128,ChaCha8Rng,Canon,,,7699361.0,ns,593190
single_random_i128,ChaCha8Rng,Canon,,,7865685.0,ns,608400
single_random_i128,ChaCha8Rng,Canon,,,8076091.0,ns,623610
single_random_i128,ChaCha8Rng,Canon,,,8265297.0,ns,638820
single_random_i128,ChaCha8Rng,Canon,,,8486203.0,ns,654030
single_random_i128,ChaCha8Rng,Canon,,,8664838.0,ns,669240
single_random_i128,ChaCha8Rng,Canon,,,8875376.0,ns,684450
single_random_i128,ChaCha8Rng,Canon,,,9050215.0,ns,699660
single_random_i128,ChaCha8Rng,Canon,,,9279697.0,ns,714870
single_random_i128,ChaCha8Rng,Canon,,,9441842.0,ns,730080
single_random_i128,ChaCha8Rng,Canon,,,9665713.0,ns,745290
single_random_i128,ChaCha8Rng,Canon,,,9855550.0,ns,760500
single_random_i128,ChaCha8Rng,Canon,,,10063381.0,ns,775710
single_random_i128,ChaCha8Rng,Canon,,,10271062.0,ns,790920
single_random_i128,ChaCha8Rng,Canon,,,10426114.0,ns,806130
single_random_i128,ChaCha8Rng,Canon,,,10644194.0,ns,821340
single_random_i128,ChaCha8Rng,Canon,,,10868176.0,ns,836550
single_random_i128,ChaCha8Rng,Canon,,,11012798.0,ns,851760
single_random_i128,ChaCha8Rng,Canon,,,11236069.0,ns,866970
single_random_i128,ChaCha8Rng,Canon,,,11454760.0,ns,882180
single_random_i128,ChaCha8Rng,Canon,,,11602549.0,ns,897390
single_random_i128,ChaCha8Rng,Canon,,,11829776.0,ns,912600
single_random_i128,ChaCha8Rng,Canon,,,12025194.0,ns,927810
single_random_i128,ChaCha8Rng,Canon,,,12233716.0,ns,943020
single_random_i128,ChaCha8Rng,Canon,,,12407674.0,ns,958230
single_random_i128,ChaCha8Rng,Canon,,,12603592.0,ns,973440
single_random_i128,ChaCha8Rng,Canon,,,12830500.0,ns,988650
single_random_i128,ChaCha8Rng,Canon,,,13007844.0,ns,1003860
single_random_i128,ChaCha8Rng,Canon,,,13199213.0,ns,1019070
single_random_i128,ChaCha8Rng,Canon,,,13398739.0,ns,1034280
single_random_i128,ChaCha8Rng,Canon,,,13594858.0,ns,1049490
single_random_i128,ChaCha8Rng,Canon,,,13798592.0,ns,1064700
single_random_i128,ChaCha8Rng,Canon,,,14018505.0,ns,1079910
single_random_i128,ChaCha8Rng,Canon,,,14179890.0,ns,1095120
single_random_i128,ChaCha8Rng,Canon,,,14420312.0,ns,1110330
single_random_i128,ChaCha8Rng,Canon,,,14632131.0,ns,1125540
