group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,ChaCha8Rng,Canon32,,,197131.0,ns,15052
single_random_i128,ChaCha8Rng,Canon32,,,396686.0,ns,30104
single_random_i128,ChaCha8Rng,Canon32,,,589930.0,ns,45156
single_random_i128,ChaCha8Rng,Canon32,,,792582.0,ns,60208
single_random_i128,ChaCha8Rng,Canon32,,,984674.0,ns,75260
single_random_i128,ChaCha8Rng,Canon32,,,1181855.0,ns,90312
single_random_i128,ChaCha8Rng,Canon32,,,1381641.0,ns,105364
single_random_i128,ChaCha8Rng,Canon32,,,1582027.0,ns,120416
single_random_i128,ChaCha8Rng,Canon32,,,1783126.0,ns,135468
single_random_i128,ChaCha8Rng,Canon32,,,1975418.0,ns,150520
single_random_i128,ChaCha8Rng,Canon32,,,2168522.0,ns,165572
single_random_i128,ChaCha8Rng,Canon32,,,2365993.0,ns,180624
single_random_i128,ChaCha8Rng,Canon32,,,2570228.0,ns,195676
single_random_i128,ChaCha8Rng,Canon32,,,2759004.0,ns,210728
single_random_i128,ChaCha8Rng,Canon32,,,2967506.0,ns,225780
single_random_i128,ChaCha8Rng,Canon32,,,3167061.0,ns,240832
single_random_i128,ChaCha8Rng,Canon32,,,3352230.0,ns,255884
single_random_i128,ChaCha8Rng,Canon32,,,3555743.0,ns,270936
single_random_i128,ChaCha8Rng,Canon32,,,3738747.0,ns,285988
single_random_i128,ChaCha8Rng,Canon32,,,3935868.0,ns,301040
single_random_i128,ChaCha8Rng,Canon32,,,4135424.0,ns,316092
single_random_i128,ChaCha8Rng,Canon32,,,4349928.0,ns,331144
single_random_i128,ChaCha8Rng,Canon32,,,4528473.0,ns,346196
single_random_i128,ChaCha8Rng,Canon32,,,4717870.0,ns,361248
single_random_i128,ChaCha8Rng,Canon32,,,4931031.0,ns,376300
single_random_i128,ChaCha8Rng,Canon32,,,5125657.0,ns,391352
single_random_i128,ChaCha8Rng,Canon32,,,5323560.0,ns,406404
single_random_i128,ChaCha8Rng,Canon32,,,5533735.0,ns,421456
single_random_i128,ChaCha8Rng,Canon32,,,5716941.0,ns,436508
single_random_i128,ChaCha8Rng,Canon32,,,5923960.0,ns,451560
single_random_i128,ChaCha8Rng,Canon32,,,6096585.0,ns,466612
