group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,ChaCha8Rng,ONeill,,,376579.0,ns,513
single_random_i128,ChaCha8Rng,ONeill,,,733872.0,ns,1026
single_random_i128,ChaCha8Rng,ONeill,,,893222.0,ns,1539
single_random_i128,ChaCha8Rng,ONeill,,,614848.0,ns,2052
single_random_i128,ChaCha8Rng,ONeill,,,917377.0,ns,2565
single_random_i128,ChaCha8Rng,ONeill,,,930071.0,ns,3078
single_random_i128,ChaCha8Rng,ONeill,,,1787745.0,ns,3591
single_random_i128,ChaCha8Rng,ONeill,,,1636991.0,ns,4104
single_random_i128,ChaCha8Rng,ONeill,,,3003624.0,ns,4617
single_random_i128,ChaCha8Rng,ONeill,,,2610494.0,ns,5130
single_random_i128,ChaCha8Rng,ONeill,,,4213461.0,ns,5643
single_random_i128,ChaCha8Rng,ONeill,,,2110012.0,ns,6156
single_random_i128,ChaCha8Rng,ONeill,,,2452066.0,ns,6669
single_random_i128,ChaCha8Rng,ONeill,,,3990272.0,ns,7182
single_random_i128,ChaCha8Rng,ONeill,,,2059538.0,ns,7695
single_random_i128,ChaCha8Rng,ONeill,,,3632789.0,ns,8208
single_random_i128,ChaCha8Rng,ONeill,,,3558288.0,ns,8721
single_random_i128,ChaCha8Rng,ONeill,,,6884190.0,ns,9234
single_random_i128,ChaCha8Rng,ONeill,,,4045676.0,ns,9747
single_random_i128,ChaCha8Rng,ONeill,,,3611949.0,ns,10260
single_random_i128,ChaCha8Rng,ONeill,,,5158500.0,ns,10773
single_random_i128,ChaCha8Rng,ONeill,,,3365686.0,ns,11286
single_random_i128,ChaCha8Rng,ONeill,,,5538516.0,ns,11799
single_random_i128,ChaCha8Rng,ONeill,,,3809281.0,ns,12312
single_random_i128,ChaCha8Rng,ONeill,,,4464564.0,ns,12825
single_random_i128,ChaCha8Rng,ONeill,,,4474292.0,ns,13338
single_random_i128,ChaCha8Rng,ONeill,,,10080977.0,ns,13851
single_random_i128,ChaCha8Rng,ONeill,,,5193927.0,ns,14364
single_random_i128,ChaCha8Rng,ONeill,,,6951756.0,ns,14877
single_random_i128,ChaCha8Rng,ONeill,,,9156597.0,ns,15390
single_random_i128,ChaCha8Rng,ONeill,,,5642432.0,ns,15903
single_random_i128,ChaCha8Rng,ONeill,,,8234421.0,ns,16416
single_random_i128,ChaCha8Rng,ONeill,,,8149751.0,ns,16929
single_random_i128,ChaCha8Rng,ONeill,,,10067121.0,ns,17442
single_random_i128,ChaCha8Rng,ONeill,,,4772655.0,ns,17955
single_random_i128,ChaCha8Rng,ONeill,,,9870180.0,ns,18468
single_random_i128,ChaCha8Rng,ONeill,,,5236658.0,ns,18981
single_random_i128,ChaCha8Rng,ONeill,,,6862058.0,ns,19494
single_random_i128,ChaCha8Rng,ONeill,,,8850049.0,ns,20007
single_random_i128,ChaCha8Rng,ONeill,,,11566403.0,ns,20520
single_random_i128,ChaCha8Rng,ONeill,,,7757914.0,ns,21033
single_random_i128,ChaCha8Rng,ONeill,,,7473849.0,ns,21546
single_random_i128,ChaCha8Rng,ONeill,,,5980518.0,ns,22059
single_random_i128,ChaCha8Rng,ONeill,,,6753042.0,ns,22572
single_random_i128,ChaCha8Rng,ONeill,,,13291690.0,ns,23085
single_random_i128,ChaCha8Rng,ONeill,,,7886015.0,ns,23598
single_random_i128,ChaCha8Rng,ONeill,,,12088786.0,ns,24111
single_random_i128,ChaCha8Rng,ONeill,,,12076874.0,ns,24624
single_random_i128,ChaCha8Rng,ONeill,,,11202358.0,ns,25137
single_random_i128,ChaCha8Rng,ONeill,,,14458798.0,ns,25650
single_random_i128,ChaCha8Rng,ONeill,,,10654306.0,ns,26163
single_random_i128,ChaCha8Rng,ONeill,,,14731662.0,ns,26676
single_random_i128,ChaCha8Rng,ONeill,,,12179657.0,ns,27189
single_random_i128,ChaCha8Rng,ONeill,,,7380824.0,ns,27702
single_random_i128,ChaCha8Rng,ONeill,,,9007245.0,ns,28215
single_random_i128,ChaCha8Rng,ONeill,,,14607849.0,ns,28728
single_random_i128,ChaCha8Rng,ONeill,,,13452834.0,ns,29241
single_random_i128,ChaCha8Rng,ONeill,,,10629740.0,ns,29754
single_random_i128,ChaCha8Rng,ONeill,,,10913043.0,ns,30267
single_random_i128,ChaCha8Rng,ONeill,,,9158139.0,ns,30780
single_random_i128,ChaCha8Rng,ONeill,,,10932560.0,ns,31293
single_random_i128,ChaCha8Rng,ONeill,,,18219186.0,ns,31806
single_random_i128,ChaCha8Rng,ONeill,,,11340558.0,ns,32319
single_random_i128,ChaCha8Rng,ONeill,,,18251127.0,ns,32832
single_random_i128,ChaCha8Rng,ONeill,,,19053187.0,ns,33345
single_random_i128,ChaCha8Rng,ONeill,,,15267991.0,ns,33858
single_random_i128,ChaCha8Rng,ONeill,,,19103441.0,ns,34371
single_random_i128,ChaCha8Rng,ONeill,,,13179750.0,ns,34884
single_random_i128,ChaCha8Rng,ONeill,,,15972086.0,ns,35397
single_random_i128,ChaCha8Rng,ONeill,,,28685649.0,ns,35910
single_random_i128,ChaCha8Rng,ONeill,,,10001687.0,ns,36423
single_random_i128,ChaCha8Rng,ONeill,,,10485318.0,ns,36936
single_random_i128,ChaCha8Rng,ONeill,,,15626195.0,ns,37449
single_random_i128,ChaCha8Rng,ONeill,,,11908437.0,ns,37962
single_random_i128,ChaCha8Rng,ONeill,,,21639224.0,ns,38475
single_random_i128,ChaCha8Rng,ONeill,,,21365519.0,ns,38988
single_random_i128,ChaCha8Rng,ONeill,,,12728591.0,ns,39501
single_random_i128,ChaCha8Rng,ONeill,,,16461217.0,ns,40014
single_random_i128,ChaCha8Rng,ONeill,,,19224789.0,ns,40527
single_random_i128,ChaCha8Rng,ONeill,,,18482112.0,ns,41040
single_random_i128,ChaCha8Rng,ONeill,,,15082522.0,ns,41553
single_random_i128,ChaCha8Rng,ONeill,,,16734211.0,ns,42066
single_random_i128,ChaCha8Rng,ONeill,,,13180572.0,ns,42579
single_random_i128,ChaCha8Rng,ONeill,,,14702848.0,ns,43092
single_random_i128,ChaCha8Rng,ONeill,,,15049400.0,ns,43605
single_random_i128,ChaCha8Rng,ONeill,,,31301644.0,ns,44118
single_random_i128,ChaCha8Rng,ONeill,,,19195875.0,ns,44631
single_random_i128,ChaCha8Rng,ONeill,,,23387005.0,ns,45144
single_random_i128,ChaCha8Rng,ONeill,,,12543151.0,ns,45657
single_random_i128,ChaCha8Rng,ONeill,,,25576427.0,ns,46170
single_random_i128,ChaCha8Rng,ONeill,,,14124228.0,ns,46683
single_random_i128,ChaCha8Rng,ONeill,,,26169713.0,ns,47196
single_random_i128,ChaCha8Rng,ONeill,,,19895171.0,ns,47709
single_random_i128,ChaCha8Rng,ONeill,,,23541906.0,ns,48222
single_random_i128,ChaCha8Rng,ONeill,,,34211140.0,ns,48735
single_random_i128,ChaCha8Rng,ONeill,,,21909263.0,ns,49248
single_random_i128,ChaCha8Rng,ONeill,,,13774079.0,ns,49761
single_random_i128,ChaCha8Rng,ONeill,,,23047485.0,ns,50274
single_random_i128,ChaCha8Rng,ONeill,,,16432363.0,ns,50787
single_random_i128,ChaCha8Rng,ONeill,,,14693179.0,ns,51300
