group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,Pcg32,Canon-Unbiased,,,345310.0,ns,607
single_random_i128,Pcg32,Canon-Unbiased,,,501143.0,ns,1214
single_random_i128,Pcg32,Canon-Unbiased,,,539856.0,ns,1821
single_random_i128,Pcg32,Canon-Unbiased,,,666936.0,ns,2428
single_random_i128,Pcg32,Canon-Unbiased,,,924109.0,ns,3035
single_random_i128,Pcg32,Canon-Unbiased,,,2392123.0,ns,3642
single_random_i128,Pcg32,Canon-Unbiased,,,2893647.0,ns,4249
single_random_i128,Pcg32,Canon-Unbiased,,,1287714.0,ns,4856
single_random_i128,Pcg32,Canon-Unbiased,,,3182390.0,ns,5463
single_random_i128,Pcg32,Canon-Unbiased,,,3746443.0,ns,6070
single_random_i128,Pcg32,Canon-Unbiased,,,1896410.0,ns,6677
single_random_i128,Pcg32,Canon-Unbiased,,,3827766.0,ns,7284
single_random_i128,Pcg32,Canon-Unbiased,,,5374277.0,ns,7891
single_random_i128,Pcg32,Canon-Unbiased,,,3665500.0,ns,8498
single_random_i128,Pcg32,Canon-Unbiased,,,5273026.0,ns,9105
single_random_i128,Pcg32,Canon-Unbiased,,,3926701.0,ns,9712
single_random_i128,Pcg32,Canon-Unbiased,,,3705135.0,ns,10319
single_random_i128,Pcg32,Canon-Unbiased,,,4174258.0,ns,10926
single_random_i128,Pcg32,Canon-Unbiased,,,4636738.0,ns,11533
single_random_i128,Pcg32,Canon-Unbiased,,,3576703.0,ns,12140
single_random_i128,Pcg32,Canon-Unbiased,,,7949815.0,ns,12747
single_random_i128,Pcg32,Canon-Unbiased,,,7936901.0,ns,13354
single_random_i128,Pcg32,Canon-Unbiased,,,4406354.0,ns,13961
single_random_i128,Pcg32,Canon-Unbiased,,,5826728.0,ns,14568
single_random_i128,Pcg32,Canon-Unbiased,,,6997021.0,ns,15175
single_random_i128,Pcg32,Canon-Unbiased,,,6183601.0,ns,15782
single_random_i128,Pcg32,Canon-Unbiased,,,4622702.0,ns,16389
single_random_i128,Pcg32,Canon-Unbiased,,,4710707.0,ns,16996
single_random_i128,Pcg32,Canon-Unbiased,,,7541867.0,ns,17603
single_random_i128,Pcg32,Canon-Unbiased,,,7402935.0,ns,18210
single_random_i128,Pcg32,Canon-Unbiased,,,5231618.0,ns,18817
single_random_i128,Pcg32,Canon-Unbiased,,,9352175.0,ns,19424
single_random_i128,Pcg32,Canon-Unbiased,,,12488800.0,ns,20031
single_random_i128,Pcg32,Canon-Unbiased,,,8075893.0,ns,20638
single_random_i128,Pcg32,Canon-Unbiased,,,10575118.0,ns,21245
single_random_i128,Pcg32,Canon-Unbiased,,,13130197.0,ns,21852
single_random_i128,Pcg32,Canon-Unbiased,,,8825604.0,ns,22459
single_random_i128,Pcg32,Canon-Unbiased,,,8248658.0,ns,23066
single_random_i128,Pcg32,Canon-Unbiased,,,12151214.0,ns,23673
single_random_i128,Pcg32,Canon-Unbiased,,,7677081.0,ns,24280
single_random_i128,Pcg32,Canon-Unbiased,,,7512883.0,ns,24887
single_random_i128,Pcg32,Canon-Unbiased,,,12577637.0,ns,25494
