group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,Pcg32,Old,,,195859.0,ns,14963
single_random_i128,Pcg32,Old,,,395244.0,ns,29926
single_random_i128,Pcg32,Old,,,589419.0,ns,44889
single_random_i128,Pcg32,Old,,,790247.0,ns,59852
single_random_i128,Pcg32,Old,,,983972.0,ns,74815
single_random_i128,Pcg32,Old,,,1182917.0,ns,89778
single_random_i128,Pcg32,Old,,,1380197.0,ns,104741
single_random_i128,Pcg32,Old,,,1581757.0,ns,119704
single_random_i128,Pcg32,Old,,,1775012.0,ns,134667
single_random_i128,Pcg32,Old,,,1976330.0,ns,149630
single_random_i128,Pcg32,Old,,,2173019.0,ns,164593
single_random_i128,Pcg32,Old,,,2370472.0,ns,179556
single_random_i128,Pcg32,Old,,,2588862.0,ns,194519
single_random_i128,Pcg32,Old,,,2767109.0,ns,209482
single_random_i128,Pcg32,Old,,,2963357.0,ns,224445
single_random_i128,Pcg32,Old,,,3153245.0,ns,239408
single_random_i128,Pcg32,Old,,,3355345.0,ns,254371
single_random_i128,Pcg32,Old,,,3584957.0,ns,269334
single_random_i128,Pcg32,Old,,,3748196.0,ns,284297
single_random_i128,Pcg32,Old,,,3938363.0,ns,299260
single_random_i128,Pcg32,Old,,,4127609.0,ns,314223
single_random_i128,Pcg32,Old,,,4328558.0,ns,329186
single_random_i128,Pcg32,Old,,,4531149.0,ns,344149
single_random_i128,Pcg32,Old,,,4734612.0,ns,359112
single_random_i128,Pcg32,Old,,,4915441.0,ns,374075
single_random_i128,Pcg32,Old,,,5141157.0,ns,389038
single_random_i128,Pcg32,Old,,,5333228.0,ns,404001
single_random_i128,Pcg32,Old,,,5499832.0,ns,418964
single_random_i128,Pcg32,Old,,,5727481.0,ns,433927
single_random_i128,Pcg32,Old,,,5893854.0,ns,448890
single_random_i128,Pcg32,Old,,,6089833.0,ns,463853
single_random_i128,Pcg32,Old,,,6290370.0,ns,478816
single_random_i128,Pcg32,Old,,,6489755.0,ns,493779
single_random_i128,Pcg32,Old,,,6690112.0,ns,508742
single_random_i128,Pcg32,Old,,,6906720.0,ns,523705
single_random_i128,Pcg32,Old,,,7108460.0,ns,538668
single_random_i128,Pcg32,Old,,,7286314.0,ns,553631
single_random_i128,Pcg32,Old,,,7499485.0,ns,568594
single_random_i128,Pcg32,Old,,,7681438.0,ns,583557
single_random_i128,Pcg32,Old,,,7854694.0,ns,598520
single_random_i128,Pcg32,Old,,,8074498.0,ns,613483
single_random_i128,Pcg32,Old,,,8252193.0,ns,628446
single_random_i128,Pcg32,Old,,,8468409.0,ns,643409
single_random_i128,Pcg32,Old,,,8647656.0,ns,658372
single_random_i128,Pcg32,Old,,,8828798.0,ns,673335
single_random_i128,Pcg32,Old,,,9023094.0,ns,688298
single_random_i128,Pcg32,Old,,,9237687.0,ns,703261
single_random_i128,Pcg32,Old,,,9438776.0,ns,718224
single_random_i128,Pcg32,Old,,,9605620.0,ns,733187
single_random_i128,Pcg32,Old,,,9788344.0,ns,748150
single_random_i128,Pcg32,Old,,,10024448.0,ns,763113
single_random_i128,Pcg32,Old,,,10230145.0,ns,778076
single_random_i128,Pcg32,Old,,,10405125.0,ns,793039
single_random_i128,Pcg32,Old,,,10588540.0,ns,808002
single_random_i128,Pcg32,Old,,,10785530.0,ns,822965
single_random_i128,Pcg32,Old,,,10980898.0,ns,837928
single_random_i128,Pcg32,Old,,,11194270.0,ns,852891
single_random_i128,Pcg32,Old,,,11351556.0,ns,867854
single_random_i128,Pcg32,Old,,,11572562.0,ns,882817
single_random_i128,Pcg32,Old,,,11747251.0,ns,897780
single_random_i128,Pcg32,Old,,,11971353.0,ns,912743
