group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,Pcg64,Canon32,,,168027.0,ns,685
single_random_i128,Pcg64,Canon32,,,464956.0,ns,1370
single_random_i128,Pcg64,Canon32,,,969575.0,ns,2055
single_random_i128,Pcg64,Canon32,,,1273587.0,ns,2740
single_random_i128,Pcg64,Canon32,,,1351865.0,ns,3425
single_random_i128,Pcg64,Canon32,,,2039820.0,ns,4110
single_random_i128,Pcg64,Canon32,,,1112284.0,ns,4795
single_random_i128,Pcg64,Canon32,,,1922639.0,ns,5480
single_random_i128,Pcg64,Canon32,,,2135750.0,ns,6165
single_random_i128,Pcg64,Canon32,,,3119412.0,ns,6850
single_random_i128,Pcg64,Canon32,,,1858508.0,ns,7535
single_random_i128,Pcg64,Canon32,,,2715822.0,ns,8220
single_random_i128,Pcg64,Canon32,,,2162731.0,ns,8905
single_random_i128,Pcg64,Canon32,,,2269632.0,ns,9590
single_random_i128,Pcg64,Canon32,,,2467124.0,ns,10275
single_random_i128,Pcg64,Canon32,,,4592535.0,ns,10960
single_random_i128,Pcg64,Canon32,,,5684280.0,ns,11645
single_random_i128,Pcg64,Canon32,,,4142047.0,ns,12330
single_random_i128,Pcg64,Canon32,,,4283834.0,ns,13015
single_random_i128,Pcg64,Canon32,,,3748577.0,ns,13700
single_random_i128,Pcg64,Canon32,,,3660761.0,ns,14385
single_random_i128,Pcg64,Canon32,,,6678212.0,ns,15070
single_random_i128,Pcg64,Canon32,,,7349385.0,ns,15755
single_random_i128,Pcg64,Canon32,,,4742437.0,ns,16440
single_random_i128,Pcg64,Canon32,,,8502094.0,ns,17125
single_random_i128,Pcg64,Canon32,,,6263932.0,ns,17810
single_random_i128,Pcg64,Canon32,,,5630359.0,ns,18495
single_random_i128,Pcg64,Canon32,,,4638361.0,ns,19180
single_random_i128,Pcg64,Canon32,,,4597785.0,ns,19865
single_random_i128,Pcg64,Canon32,,,9793897.0,ns,20550
single_random_i128,Pcg64,Canon32,,,8169699.0,ns,21235
single_random_i128,Pcg64,Canon32,,,8888712.0,ns,21920
single_random_i128,Pcg64,Canon32,,,5326547.0,ns,22605
single_random_i128,Pcg64,Canon32,,,6785353.0,ns,23290
single_random_i128,Pcg64,Canon32,,,8441290.0,ns,23975
single_random_i128,Pcg64,Canon32,,,7832354.0,ns,24660
single_random_i128,Pcg64,Canon32,,,6824898.0,ns,25345
single_random_i128,Pcg64,Canon32,,,7385333.0,ns,26030
single_random_i128,Pcg64,Canon32,,,5886852.0,ns,26715
single_random_i128,Pcg64,Canon32,,,7208038.0,ns,27400
single_random_i128,Pcg64,Canon32,,,10202475.0,ns,28085
single_random_i128,Pcg64,Canon32,,,6719990.0,ns,28770
single_random_i128,Pcg64,Canon32,,,12058980.0,ns,29455
single_random_i128,Pcg64,Canon32,,,14673072.0,ns,30140
single_random_i128,Pcg64,Canon32,,,14680626.0,ns,30825
single_random_i128,Pcg64,Canon32,,,10241799.0,ns,31510
single_random_i128,Pcg64,Canon32,,,15503103.0,ns,32195
single_random_i128,Pcg64,Canon32,,,10626634.0,ns,32880
single_random_i128,Pcg64,Canon32,,,8542000.0,ns,33565
single_random_i128,Pcg64,Canon32,,,15410439.0,ns,34250
single_random_i128,Pcg64,Canon32,,,14986541.0,ns,34935
single_random_i128,Pcg64,Canon32,,,13729855.0,ns,35620
single_random_i128,Pcg64,Canon32,,,9684250.0,ns,36305
single_random_i128,Pcg64,Canon32,,,14476191.0,ns,36990
single_random_i128,Pcg64,Canon32,,,12483930.0,ns,37675
single_random_i128,Pcg64,Canon32,,,12542551.0,ns,38360
single_random_i128,Pcg64,Canon32,,,19291155.0,ns,39045
single_random_i128,Pcg64,Canon32,,,9043674.0,ns,39730
single_random_i128,Pcg64,Canon32,,,16381848.0,ns,40415
single_random_i128,Pcg64,Canon32,,,17459827.0,ns,41100
single_random_i128,Pcg64,Canon32,,,19570360.0,ns,41785
single_random_i128,Pcg64,Canon32,,,12476947.0,ns,42470
single_random_i128,Pcg64,Canon32,,,10330517.0,ns,43155
single_random_i128,Pcg64,Canon32,,,16234130.0,ns,43840
single_random_i128,Pcg64,Canon32,,,13165954.0,ns,44525
single_random_i128,Pcg64,Canon32,,,13589411.0,ns,45210
single_random_i128,Pcg64,Canon32,,,15520887.0,ns,45895
single_random_i128,Pcg64,Canon32,,,21452583.0,ns,46580
single_random_i128,Pcg64,Canon32,,,22685254.0,ns,47265
single_random_i128,Pcg64,Canon32,,,10376363.0,ns,47950
single_random_i128,Pcg64,Canon32,,,14617186.0,ns,48635
single_random_i128,Pcg64,Canon32,,,14259472.0,ns,49320
single_random_i128,Pcg64,Canon32,,,12055984.0,ns,50005
single_random_i128,Pcg64,Canon32,,,11277660.0,ns,50690
single_random_i128,Pcg64,Canon32,,,13955611.0,ns,51375
single_random_i128,Pcg64,Canon32,,,22976292.0,ns,52060
single_random_i128,Pcg64,Canon32,,,15694684.0,ns,52745
single_random_i128,Pcg64,Canon32,,,24962721.0,ns,53430
single_random_i128,Pcg64,Canon32,,,16346892.0,ns,54115
single_random_i128,Pcg64,Canon32,,,26915937.0,ns,54800
single_random_i128,Pcg64,Canon32,,,11872619.0,ns,55485
single_random_i128,Pcg64,Canon32,,,23414596.0,ns,56170
single_random_i128,Pcg64,Canon32,,,18871705.0,ns,56855
single_random_i128,Pcg64,Canon32,,,12102673.0,ns,57540
single_random_i128,Pcg64,Canon32,,,28715545.0,ns,58225
single_random_i128,Pcg64,Canon32,,,16129804.0,ns,58910
single_random_i128,Pcg64,Canon32,,,24235182.0,ns,59595
single_random_i128,Pcg64,Canon32,,,13346374.0,ns,60280
single_random_i128,Pcg64,Canon32,,,27424796.0,ns,60965
single_random_i128,Pcg64,Canon32,,,28512974.0,ns,61650
single_random_i128,Pcg64,Canon32,,,15151953.0,ns,62335
single_random_i128,Pcg64,Canon32,,,25833800.0,ns,63020
single_random_i128,Pcg64,Canon32,,,30182968.0,ns,63705
single_random_i128,Pcg64,Canon32,,,15029903.0,ns,64390
single_random_i128,Pcg64,Canon32,,,30716171.0,ns,65075
single_random_i128,Pcg64,Canon32,,,16420250.0,ns,65760
single_random_i128,Pcg64,Canon32,,,16172584.0,ns,66445
single_random_i128,Pcg64,Canon32,,,18358038.0,ns,67130
single_random_i128,Pcg64,Canon32,,,18594223.0,ns,67815
single_random_i128,Pcg64,Canon32,,,19039049.0,ns,68500
