group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,SmallRng,Canon,,,156975.0,ns,698
single_random_i128,SmallRng,Canon,,,415332.0,ns,1396
single_random_i128,SmallRng,Canon,,,487378.0,ns,2094
single_random_i128,SmallRng,Canon,,,783886.0,ns,2792
single_random_i128,SmallRng,Canon,,,1558153.0,ns,3490
single_random_i128,SmallRng,Canon,,,911667.0,ns,4188
single_random_i128,SmallRng,Canon,,,1930815.0,ns,4886
single_random_i128,SmallRng,Canon,,,2471182.0,ns,5584
single_random_i128,SmallRng,Canon,,,1513619.0,ns,6282
single_random_i128,SmallRng,Canon,,,2202596.0,ns,6980
single_random_i128,SmallRng,Canon,,,2580918.0,ns,7678
single_random_i128,SmallRng,Canon,,,1929322.0,ns,8376
single_random_i128,SmallRng,Canon,,,2395730.0,ns,9074
single_random_i128,SmallRng,Canon,,,2924285.0,ns,9772
single_random_i128,SmallRng,Canon,,,4058490.0,ns,10470
single_random_i128,SmallRng,Canon,,,3026788.0,ns,11168
single_random_i128,SmallRng,Canon,,,3508665.0,ns,11866
single_random_i128,SmallRng,Canon,,,4363795.0,ns,12564
single_random_i128,SmallRng,Canon,,,3024703.0,ns,13262
single_random_i128,SmallRng,Canon,,,5280630.0,ns,13960
single_random_i128,SmallRng,Canon,,,6328834.0,ns,14658
single_random_i128,SmallRng,Canon,,,4974665.0,ns,15356
single_random_i128,SmallRng,Canon,,,6856497.0,ns,16054
single_random_i128,SmallRng,Canon,,,3921933.0,ns,16752
single_random_i128,SmallRng,Canon,,,4766643.0,ns,17450
single_random_i128,SmallRng,Canon,,,6514854.0,ns,18148
single_random_i128,SmallRng,Canon,,,5764802.0,ns,18846
single_random_i128,SmallRng,Canon,,,8141476.0,ns,19544
single_random_i128,SmallRng,Canon,,,5600522.0,ns,20242
single_random_i128,SmallRng,Canon,,,9264570.0,ns,20940
single_random_i128,SmallRng,Canon,,,8809904.0,ns,21638
single_random_i128,SmallRng,Canon,,,8909352.0,ns,22336
single_random_i128,SmallRng,Canon,,,9131048.0,ns,23034
single_random_i128,SmallRng,Canon,,,7556415.0,ns,23732
single_random_i128,SmallRng,Canon,,,8848116.0,ns,24430
single_random_i128,SmallRng,Canon,,,5820877.0,ns,25128
single_random_i128,SmallRng,Canon,,,6207565.0,ns,25826
single_random_i128,SmallRng,Canon,,,9582970.0,ns,26524
single_random_i128,SmallRng,Canon,,,7559710.0,ns,27222
single_random_i128,SmallRng,Canon,,,7042226.0,ns,27920
single_random_i128,SmallRng,Canon,,,11146482.0,ns,28618
single_random_i128,SmallRng,Canon,,,6344423.0,ns,29316
single_random_i128,SmallRng,Canon,,,9981339.0,ns,30014
single_random_i128,SmallRng,Canon,,,6566511.0,ns,30712
single_random_i128,SmallRng,Canon,,,7468499.0,ns,31410
single_random_i128,SmallRng,Canon,,,7966868.0,ns,32108
single_random_i128,SmallRng,Canon,,,10681758.0,ns,32806
single_random_i128,SmallRng,Canon,,,15040954.0,ns,33504
single_random_i128,SmallRng,Canon,,,8723612.0,ns,34202
single_random_i128,SmallRng,Canon,,,10009322.0,ns,34900
single_random_i128,SmallRng,Canon,,,8897950.0,ns,35598
single_random_i128,SmallRng,Canon,,,14985549.0,ns,36296
single_random_i128,SmallRng,Canon,,,9106122.0,ns,36994
single_random_i128,SmallRng,Canon,,,14610073.0,ns,37692
single_random_i128,SmallRng,Canon,,,8591823.0,ns,38390
single_random_i128,SmallRng,Canon,,,8954306.0,ns,39088
single_random_i128,SmallRng,Canon,,,9934121.0,ns,39786
single_random_i128,SmallRng,Canon,,,11540986.0,ns,40484
single_random_i128,SmallRng,Canon,,,17314424.0,ns,41182
single_random_i128,SmallRng,Canon,,,9025319.0,ns,41880
single_random_i128,SmallRng,Canon,,,19024412.0,ns,42578
