group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,SmallRng,Old,,,199416.0,ns,21810
single_random_i128,SmallRng,Old,,,397528.0,ns,43620
single_random_i128,SmallRng,Old,,,591002.0,ns,65430
single_random_i128,SmallRng,Old,,,789005.0,ns,87240
single_random_i128,SmallRng,Old,,,991827.0,ns,109050
single_random_i128,SmallRng,Old,,,1187706.0,ns,130860
single_random_i128,SmallRng,Old,,,1383264.0,ns,152670
single_random_i128,SmallRng,Old,,,1579994.0,ns,174480
single_random_i128,SmallRng,Old,,,1778057.0,ns,196290
single_random_i128,SmallRng,Old,,,1981961.0,ns,218100
single_random_i128,SmallRng,Old,,,2166869.0,ns,239910
single_random_i128,SmallRng,Old,,,2369550.0,ns,261720
single_random_i128,SmallRng,Old,,,2573474.0,ns,283530
single_random_i128,SmallRng,Old,,,2757621.0,ns,305340
single_random_i128,SmallRng,Old,,,2956074.0,ns,327150
single_random_i128,SmallRng,Old,,,3162082.0,ns,348960
single_random_i128,SmallRng,Old,,,3347591.0,ns,370770
single_random_i128,SmallRng,Old,,,3548148.0,ns,392580
single_random_i128,SmallRng,Old,,,3742313.0,ns,414390
single_random_i128,SmallRng,Old,,,3937451.0,ns,436200
single_random_i128,SmallRng,Old,,,4168355.0,ns,458010
single_random_i128,SmallRng,Old,,,4344427.0,ns,479820
single_random_i128,SmallRng,Old,,,4530818.0,ns,501630
single_random_i128,SmallRng,Old,,,4741976.0,ns,523440
single_random_i128,SmallRng,Old,,,4940669.0,ns,545250
single_random_i128,SmallRng,Old,,,5119987.0,ns,567060
single_random_i128,SmallRng,Old,,,5313221.0,ns,588870
single_random_i128,SmallRng,Old,,,5547050.0,ns,610680
single_random_i128,SmallRng,Old,,,5702183.0,ns,632490
single_random_i128,SmallRng,Old,,,5904023.0,ns,654300
single_random_i128,SmallRng,Old,,,6106965.0,ns,676110
single_random_i128,SmallRng,Old,,,6342318.0,ns,697920
single_random_i128,SmallRng,Old,,,6538707.0,ns,719730
single_random_i128,SmallRng,Old,,,6723495.0,ns,741540
single_random_i128,SmallRng,Old,,,6915577.0,ns,763350
single_random_i128,SmallRng,Old,,,7110524.0,ns,785160
single_random_i128,SmallRng,Old,,,7315550.0,ns,806970
single_random_i128,SmallRng,Old,,,7513002.0,ns,828780
single_random_i128,SmallRng,Old,,,7693200.0,ns,850590
single_random_i128,SmallRng,Old,,,7881695.0,ns,872400
single_random_i128,SmallRng,Old,,,8129933.0,ns,894210
single_random_i128,SmallRng,Old,,,8324519.0,ns,916020
single_random_i128,SmallRng,Old,,,8547688.0,ns,937830
single_random_i128,SmallRng,Old,,,8699795.0,ns,959640
single_random_i128,SmallRng,Old,,,8915000.0,ns,981450
single_random_i128,SmallRng,Old,,,9092403.0,ns,1003260
single_random_i128,SmallRng,Old,,,9304293.0,ns,1025070
single_random_i128,SmallRng,Old,,,9568089.0,ns,1046880
single_random_i128,SmallRng,Old,,,9663308.0,ns,1068690
single_random_i128,SmallRng,Old,,,9857694.0,ns,1090500
single_random_i128,SmallRng,Old,,,10019869.0,ns,1112310
single_random_i128,SmallRng,Old,,,10220757.0,ns,1134120
single_random_i128,SmallRng,Old,,,10436594.0,ns,1155930
single_random_i128,SmallRng,Old,,,10608839.0,ns,1177740
single_random_i128,SmallRng,Old,,,10802162.0,ns,1199550
single_random_i128,SmallRng,Old,,,10986519.0,ns,1221360
single_random_i128,SmallRng,Old,,,11171277.0,ns,1243170
single_random_i128,SmallRng,Old,,,11366293.0,ns,1264980
single_random_i128,SmallRng,Old,,,11561902.0,ns,1286790
single_random_i128,SmallRng,Old,,,11766436.0,ns,1308600
single_random_i128,SmallRng,Old,,,11955052.0,ns,1330410
single_random_i128,SmallRng,Old,,,12141583.0,ns,1352220
single_random_i128,SmallRng,Old,,,12364393.0,ns,1374030
single_random_i128,SmallRng,Old,,,12535435.0,ns,1395840
single_random_i128,SmallRng,Old,,,12772020.0,ns,1417650
single_random_i128,SmallRng,Old,,,12976595.0,ns,1439460
single_random_i128,SmallRng,Old,,,13165911.0,ns,1461270
single_random_i128,SmallRng,Old,,,13361339.0,ns,1483080
single_random_i128,SmallRng,Old,,,13573358.0,ns,1504890
single_random_i128,SmallRng,Old,,,13739440.0,ns,1526700
single_random_i128,SmallRng,Old,,,13929658.0,ns,1548510
single_random_i128,SmallRng,Old,,,14132200.0,ns,1570320
single_random_i128,SmallRng,Old,,,14296149.0,ns,1592130
single_random_i128,SmallRng,Old,,,14492598.0,ns,1613940
single_random_i128,SmallRng,Old,,,14687635.0,ns,1635750
single_random_i128,SmallRng,Old,,,14894224.0,ns,1657560
single_random_i128,SmallRng,Old,,,15080325.0,ns,1679370
single_random_i128,SmallRng,Old,,,15297433.0,ns,1701180
single_random_i128,SmallRng,Old,,,15529420.0,ns,1722990
single_random_i128,SmallRng,Old,,,15713366.0,ns,1744800
single_random_i128,SmallRng,Old,,,15898114.0,ns,1766610
single_random_i128,SmallRng,Old,,,16104111.0,ns,1788420
single_random_i128,SmallRng,Old,,,16290111.0,ns,1810230
single_random_i128,SmallRng,Old,,,16494386.0,ns,1832040
single_random_i128,SmallRng,Old,,,16724058.0,ns,1853850
single_random_i128,SmallRng,Old,,,16913885.0,ns,1875660
single_random_i128,SmallRng,Old,,,17117719.0,ns,1897470
single_random_i128,SmallRng,Old,,,17297628.0,ns,1919280
single_random_i128,SmallRng,Old,,,17486884.0,ns,1941090
single_random_i128,SmallRng,Old,,,17704643.0,ns,1962900
single_random_i128,SmallRng,Old,,,17892738.0,ns,1984710
single_random_i128,SmallRng,Old,,,18097914.0,ns,2006520
single_random_i128,SmallRng,Old,,,18271961.0,ns,2028330
single_random_i128,SmallRng,Old,,,18497827.0,ns,2050140
single_random_i128,SmallRng,Old,,,18674529.0,ns,2071950
single_random_i128,SmallRng,Old,,,18890215.0,ns,2093760
single_random_i128,SmallRng,Old,,,19073941.0,ns,2115570
single_random_i128,SmallRng,Old,,,19245444.0,ns,2137380
single_random_i128,SmallRng,Old,,,19440261.0,ns,2159190
single_random_i128,SmallRng,Old,,,19649193.0,ns,2181000
