group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,198023.0,ns,1275
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,396005.0,ns,2550
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,591884.0,ns,3825
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,791250.0,ns,5100
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,998430.0,ns,6375
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,1186003.0,ns,7650
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,1383705.0,ns,8925
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,1572940.0,ns,10200
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,1779540.0,ns,11475
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,2165176.0,ns,12750
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,2538578.0,ns,14025
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,2379419.0,ns,15300
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,2558606.0,ns,16575
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,2775725.0,ns,17850
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,2945284.0,ns,19125
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,3160619.0,ns,20400
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,3341290.0,ns,21675
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,3544622.0,ns,22950
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,3798150.0,ns,24225
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,3954825.0,ns,25500
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,4132970.0,ns,26775
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,4353897.0,ns,28050
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,4557429.0,ns,29325
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,4731387.0,ns,30600
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,4924460.0,ns,31875
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,5136499.0,ns,33150
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,5348789.0,ns,34425
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,5595022.0,ns,35700
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,5746658.0,ns,36975
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,5897602.0,ns,38250
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,6082399.0,ns,39525
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,6307463.0,ns,40800
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,6512369.0,ns,42075
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,6712626.0,ns,43350
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,6904417.0,ns,44625
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,7100776.0,ns,45900
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,7355947.0,ns,47175
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,7517651.0,ns,48450
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,7715394.0,ns,49725
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,7938283.0,ns,51000
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,8082966.0,ns,52275
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,8311806.0,ns,53550
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,8478150.0,ns,54825
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,8634243.0,ns,56100
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,8890064.0,ns,57375
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,9055737.0,ns,58650
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,9354319.0,ns,59925
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,9406858.0,ns,61200
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,9678780.0,ns,62475
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,9753761.0,ns,63750
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,9985968.0,ns,65025
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,10198608.0,ns,66300
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,10435404.0,ns,67575
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,10620843.0,ns,68850
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,10819557.0,ns,70125
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,10972856.0,ns,71400
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,11231292.0,ns,72675
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,11345167.0,ns,73950
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,11562265.0,ns,75225
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,11792759.0,ns,76500
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,11982937.0,ns,77775
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,12146535.0,ns,79050
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,12385595.0,ns,80325
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,12553301.0,ns,81600
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,12722239.0,ns,82875
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,12908770.0,ns,84150
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,13173778.0,ns,85425
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,13337467.0,ns,86700
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,13536451.0,ns,87975
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,13847127.0,ns,89250
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,13950661.0,ns,90525
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,14211212.0,ns,91800
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,14285762.0,ns,93075
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,14466623.0,ns,94350
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,14713196.0,ns,95625
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,14853160.0,ns,96900
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,15077162.0,ns,98175
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,15362960.0,ns,99450
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,15518853.0,ns,100725
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,15785716.0,ns,102000
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,15802928.0,ns,103275
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,16121798.0,ns,104550
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,16409881.0,ns,105825
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,16498728.0,ns,107100
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,16636847.0,ns,108375
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,16792982.0,ns,109650
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,16995453.0,ns,110925
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,17268317.0,ns,112200
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,17453575.0,ns,113475
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,17758920.0,ns,114750
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,17873045.0,ns,116025
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,18031033.0,ns,117300
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,18216782.0,ns,118575
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,18506578.0,ns,119850
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,18597418.0,ns,121125
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,18821310.0,ns,122400
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,19069187.0,ns,123675
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,19195605.0,ns,124950
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,19478928.0,ns,126225
single_random_i16,ChaCha8Rng,Canon-Unbiased,,,19610756.0,ns,127500
