group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Canon-reduced,,,206749.0,ns,2061
single_random_i16,ChaCha8Rng,Canon-reduced,,,407968.0,ns,4122
single_random_i16,ChaCha8Rng,Canon-reduced,,,590832.0,ns,6183
single_random_i16,ChaCha8Rng,Canon-reduced,,,782283.0,ns,8244
single_random_i16,ChaCha8Rng,Canon-reduced,,,980125.0,ns,10305
single_random_i16,ChaCha8Rng,Canon-reduced,,,1173780.0,ns,12366
single_random_i16,ChaCha8Rng,Canon-reduced,,,1374457.0,ns,14427
single_random_i16,ChaCha8Rng,Canon-reduced,,,1581647.0,ns,16488
single_random_i16,ChaCha8Rng,Canon-reduced,,,1781674.0,ns,18549
single_random_i16,ChaCha8Rng,Canon-reduced,,,2085506.0,ns,20610
single_random_i16,ChaCha8Rng,Canon-reduced,,,2177749.0,ns,22671
single_random_i16,ChaCha8Rng,Canon-reduced,,,2371715.0,ns,24732
single_random_i16,ChaCha8Rng,Canon-reduced,,,2556181.0,ns,26793
single_random_i16,ChaCha8Rng,Canon-reduced,,,2758693.0,ns,28854
single_random_i16,ChaCha8Rng,Canon-reduced,,,3030935.0,ns,30915
single_random_i16,ChaCha8Rng,Canon-reduced,,,3170508.0,ns,32976
single_random_i16,ChaCha8Rng,Canon-reduced,,,3385273.0,ns,35037
single_random_i16,ChaCha8Rng,Canon-reduced,,,3555563.0,ns,37098
single_random_i16,ChaCha8Rng,Canon-reduced,,,3715103.0,ns,39159
single_random_i16,ChaCha8Rng,Canon-reduced,,,3917304.0,ns,41220
single_random_i16,ChaCha8Rng,Canon-reduced,,,4138470.0,ns,43281
single_random_i16,ChaCha8Rng,Canon-reduced,,,4306777.0,ns,45342
single_random_i16,ChaCha8Rng,Canon-reduced,,,4513296.0,ns,47403
single_random_i16,ChaCha8Rng,Canon-reduced,,,4710918.0,ns,49464
single_random_i16,ChaCha8Rng,Canon-reduced,,,4976948.0,ns,51525
single_random_i16,ChaCha8Rng,Canon-reduced,,,5145406.0,ns,53586
single_random_i16,ChaCha8Rng,Canon-reduced,,,5286502.0,ns,55647
single_random_i16,ChaCha8Rng,Canon-reduced,,,5492930.0,ns,57708
single_random_i16,ChaCha8Rng,Canon-reduced,,,5688729.0,ns,59769
single_random_i16,ChaCha8Rng,Canon-reduced,,,5899796.0,ns,61830
single_random_i16,ChaCha8Rng,Canon-reduced,,,6092379.0,ns,63891
single_random_i16,ChaCha8Rng,Canon-reduced,,,6355725.0,ns,65952
single_random_i16,ChaCha8Rng,Canon-reduced,,,6549569.0,ns,68013
single_random_i16,ChaCha8Rng,Canon-reduced,,,6658234.0,ns,70074
single_random_i16,ChaCha8Rng,Canon-reduced,,,6879060.0,ns,72135
single_random_i16,ChaCha8Rng,Canon-reduced,,,7067114.0,ns,74196
single_random_i16,ChaCha8Rng,Canon-reduced,,,7270055.0,ns,76257
single_random_i16,ChaCha8Rng,Canon-reduced,,,7514816.0,ns,78318
single_random_i16,ChaCha8Rng,Canon-reduced,,,7667814.0,ns,80379
single_random_i16,ChaCha8Rng,Canon-reduced,,,7869734.0,ns,82440
single_random_i16,ChaCha8Rng,Canon-reduced,,,8085340.0,ns,84501
single_random_i16,ChaCha8Rng,Canon-reduced,,,8189366.0,ns,86562
single_random_i16,ChaCha8Rng,Canon-reduced,,,8487377.0,ns,88623
single_random_i16,ChaCha8Rng,Canon-reduced,,,8608865.0,ns,90684
single_random_i16,ChaCha8Rng,Canon-reduced,,,8809534.0,ns,92745
single_random_i16,ChaCha8Rng,Canon-reduced,,,8992287.0,ns,94806
single_random_i16,ChaCha8Rng,Canon-reduced,,,9164371.0,ns,96867
single_random_i16,ChaCha8Rng,Canon-reduced,,,9431283.0,ns,98928
single_random_i16,ChaCha8Rng,Canon-reduced,,,9559585.0,ns,100989
single_random_i16,ChaCha8Rng,Canon-reduced,,,9781032.0,ns,103050
single_random_i16,ChaCha8Rng,Canon-reduced,,,9962794.0,ns,105111
single_random_i16,ChaCha8Rng,Canon-reduced,,,10236840.0,ns,107172
single_random_i16,ChaCha8Rng,Canon-reduced,,,10385319.0,ns,109233
single_random_i16,ChaCha8Rng,Canon-reduced,,,10537466.0,ns,111294
single_random_i16,ChaCha8Rng,Canon-reduced,,,10738925.0,ns,113355
single_random_i16,ChaCha8Rng,Canon-reduced,,,11002041.0,ns,115416
single_random_i16,ChaCha8Rng,Canon-reduced,,,11142085.0,ns,117477
single_random_i16,ChaCha8Rng,Canon-reduced,,,11347771.0,ns,119538
single_random_i16,ChaCha8Rng,Canon-reduced,,,11603743.0,ns,121599
single_random_i16,ChaCha8Rng,Canon-reduced,,,11715043.0,ns,123660
single_random_i16,ChaCha8Rng,Canon-reduced,,,11931480.0,ns,125721
single_random_i16,ChaCha8Rng,Canon-reduced,,,12133320.0,ns,127782
single_random_i16,ChaCha8Rng,Canon-reduced,,,12328217.0,ns,129843
single_random_i16,ChaCha8Rng,Canon-reduced,,,12551998.0,ns,131904
single_random_i16,ChaCha8Rng,Canon-reduced,,,12762355.0,ns,133965
single_random_i16,ChaCha8Rng,Canon-reduced,,,12935941.0,ns,136026
single_random_i16,ChaCha8Rng,Canon-reduced,,,13028425.0,ns,138087
single_random_i16,ChaCha8Rng,Canon-reduced,,,13267536.0,ns,140148
single_random_i16,ChaCha8Rng,Canon-reduced,,,13533476.0,ns,142209
single_random_i16,ChaCha8Rng,Canon-reduced,,,13610942.0,ns,144270
single_random_i16,ChaCha8Rng,Canon-reduced,,,13854370.0,ns,146331
single_random_i16,ChaCha8Rng,Canon-reduced,,,14077871.0,ns,148392
single_random_i16,ChaCha8Rng,Canon-reduced,,,14171958.0,ns,150453
single_random_i16,ChaCha8Rng,Canon-reduced,,,14538989.0,ns,152514
single_random_i16,ChaCha8Rng,Canon-reduced,,,14627856.0,ns,154575
single_random_i16,ChaCha8Rng,Canon-reduced,,,14805681.0,ns,156636
single_random_i16,ChaCha8Rng,Canon-reduced,,,15145610.0,ns,158697
single_random_i16,ChaCha8Rng,Canon-reduced,,,15217165.0,ns,160758
single_random_i16,ChaCha8Rng,Canon-reduced,,,15428984.0,ns,162819
single_random_i16,ChaCha8Rng,Canon-reduced,,,15709663.0,ns,164880
single_random_i16,ChaCha8Rng,Canon-reduced,,,15819880.0,ns,166941
single_random_i16,ChaCha8Rng,Canon-reduced,,,16069810.0,ns,169002
single_random_i16,ChaCha8Rng,Canon-reduced,,,16229160.0,ns,171063
single_random_i16,ChaCha8Rng,Canon-reduced,,,16418717.0,ns,173124
single_random_i16,ChaCha8Rng,Canon-reduced,,,16675170.0,ns,175185
single_random_i16,ChaCha8Rng,Canon-reduced,,,16856021.0,ns,177246
single_random_i16,ChaCha8Rng,Canon-reduced,,,17104268.0,ns,179307
single_random_i16,ChaCha8Rng,Canon-reduced,,,17189799.0,ns,181368
