group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Canon,,,197181.0,ns,1748
single_random_i16,ChaCha8Rng,Canon,,,391076.0,ns,3496
single_random_i16,ChaCha8Rng,Canon,,,590050.0,ns,5244
single_random_i16,ChaCha8Rng,Canon,,,792091.0,ns,6992
single_random_i16,ChaCha8Rng,Canon,,,984704.0,ns,8740
single_random_i16,ChaCha8Rng,Canon,,,1187916.0,ns,10488
single_random_i16,ChaCha8Rng,Canon,,,1380328.0,ns,12236
single_random_i16,ChaCha8Rng,Canon,,,1574815.0,ns,13984
single_random_i16,ChaCha8Rng,Canon,,,1771205.0,ns,15732
single_random_i16,ChaCha8Rng,Canon,,,1967764.0,ns,17480
single_random_i16,ChaCha8Rng,Canon,,,2167150.0,ns,19228
single_random_i16,ChaCha8Rng,Canon,,,2361986.0,ns,20976
single_random_i16,ChaCha8Rng,Canon,,,2556552.0,ns,22724
single_random_i16,ChaCha8Rng,Canon,,,2757901.0,ns,24472
single_random_i16,ChaCha8Rng,Canon,,,2963148.0,ns,26220
single_random_i16,ChaCha8Rng,Canon,,,3179825.0,ns,27968
single_random_i16,ChaCha8Rng,Canon,,,3345307.0,ns,29716
single_random_i16,ChaCha8Rng,Canon,,,3541527.0,ns,31464
single_random_i16,ChaCha8Rng,Canon,,,3742395.0,ns,33212
single_random_i16,ChaCha8Rng,Canon,,,3949395.0,ns,34960
single_random_i16,ChaCha8Rng,Canon,,,4133281.0,ns,36708
single_random_i16,ChaCha8Rng,Canon,,,4368663.0,ns,38456
single_random_i16,ChaCha8Rng,Canon,,,4533745.0,ns,40204
single_random_i16,ChaCha8Rng,Canon,,,4749671.0,ns,41952
single_random_i16,ChaCha8Rng,Canon,,,4929440.0,ns,43700
single_random_i16,ChaCha8Rng,Canon,,,5129787.0,ns,45448
single_random_i16,ChaCha8Rng,Canon,,,5304295.0,ns,47196
single_random_i16,ChaCha8Rng,Canon,,,5543876.0,ns,48944
single_random_i16,ChaCha8Rng,Canon,,,5748070.0,ns,50692
single_random_i16,ChaCha8Rng,Canon,,,5904796.0,ns,52440
single_random_i16,ChaCha8Rng,Canon,,,6130411.0,ns,54188
single_random_i16,ChaCha8Rng,Canon,,,6324927.0,ns,55936
single_random_i16,ChaCha8Rng,Canon,,,6542877.0,ns,57684
single_random_i16,ChaCha8Rng,Canon,,,6730921.0,ns,59432
single_random_i16,ChaCha8Rng,Canon,,,6897003.0,ns,61180
single_random_i16,ChaCha8Rng,Canon,,,7086059.0,ns,62928
single_random_i16,ChaCha8Rng,Canon,,,7288750.0,ns,64676
single_random_i16,ChaCha8Rng,Canon,,,7502022.0,ns,66424
single_random_i16,ChaCha8Rng,Canon,,,7696888.0,ns,68172
single_random_i16,ChaCha8Rng,Canon,,,7877589.0,ns,69920
single_random_i16,ChaCha8Rng,Canon,,,8119054.0,ns,71668
single_random_i16,ChaCha8Rng,Canon,,,8300706.0,ns,73416
single_random_i16,ChaCha8Rng,Canon,,,8481165.0,ns,75164
single_random_i16,ChaCha8Rng,Canon,,,8656976.0,ns,76912
single_random_i16,ChaCha8Rng,Canon,,,8896386.0,ns,78660
single_random_i16,ChaCha8Rng,Canon,,,9040729.0,ns,80408
single_random_i16,ChaCha8Rng,Canon,,,9286943.0,ns,82156
single_random_i16,ChaCha8Rng,Canon,,,9420294.0,ns,83904
single_random_i16,ChaCha8Rng,Canon,,,9640218.0,ns,85652
single_random_i16,ChaCha8Rng,Canon,,,9893665.0,ns,87400
single_random_i16,ChaCha8Rng,Canon,,,10025182.0,ns,89148
single_random_i16,ChaCha8Rng,Canon,,,10261176.0,ns,90896
single_random_i16,ChaCha8Rng,Canon,,,10442106.0,ns,92644
single_random_i16,ChaCha8Rng,Canon,,,10638166.0,ns,94392
single_random_i16,ChaCha8Rng,Canon,,,10873919.0,ns,96140
single_random_i16,ChaCha8Rng,Canon,,,11038881.0,ns,97888
single_random_i16,ChaCha8Rng,Canon,,,11199773.0,ns,99636
single_random_i16,ChaCha8Rng,Canon,,,11373279.0,ns,101384
single_random_i16,ChaCha8Rng,Canon,,,11655281.0,ns,103132
single_random_i16,ChaCha8Rng,Canon,,,11789654.0,ns,104880
single_random_i16,ChaCha8Rng,Canon,,,12019115.0,ns,106628
single_random_i16,ChaCha8Rng,Canon,,,12192021.0,ns,108376
single_random_i16,ChaCha8Rng,Canon,,,12350549.0,ns,110124
single_random_i16,ChaCha8Rng,Canon,,,12608686.0,ns,111872
single_random_i16,ChaCha8Rng,Canon,,,12797601.0,ns,113620
single_random_i16,ChaCha8Rng,Canon,,,13009990.0,ns,115368
single_random_i16,ChaCha8Rng,Canon,,,13222811.0,ns,117116
single_random_i16,ChaCha8Rng,Canon,,,13602847.0,ns,118864
single_random_i16,ChaCha8Rng,Canon,,,13590323.0,ns,120612
single_random_i16,ChaCha8Rng,Canon,,,13833170.0,ns,122360
single_random_i16,ChaCha8Rng,Canon,,,13987611.0,ns,124108
single_random_i16,ChaCha8Rng,Canon,,,14177178.0,ns,125856
single_random_i16,ChaCha8Rng,Canon,,,14764554.0,ns,127604
single_random_i16,ChaCha8Rng,Canon,,,14712946.0,ns,129352
single_random_i16,ChaCha8Rng,Canon,,,14981131.0,ns,131100
single_random_i16,ChaCha8Rng,Canon,,,15062995.0,ns,132848
single_random_i16,ChaCha8Rng,Canon,,,15264214.0,ns,134596
single_random_i16,ChaCha8Rng,Canon,,,15517421.0,ns,136344
single_random_i16,ChaCha8Rng,Canon,,,15704844.0,ns,138092
single_random_i16,ChaCha8Rng,Canon,,,15890943.0,ns,139840
single_random_i16,ChaCha8Rng,Canon,,,16091893.0,ns,141588
single_random_i16,ChaCha8Rng,Canon,,,16158998.0,ns,143336
single_random_i16,ChaCha8Rng,Canon,,,16370577.0,ns,145084
single_random_i16,ChaCha8Rng,Canon,,,16587825.0,ns,146832
single_random_i16,ChaCha8Rng,Canon,,,16768907.0,ns,148580
single_random_i16,ChaCha8Rng,Canon,,,17038354.0,ns,150328
single_random_i16,ChaCha8Rng,Canon,,,17146828.0,ns,152076
single_random_i16,ChaCha8Rng,Canon,,,17455760.0,ns,153824
single_random_i16,ChaCha8Rng,Canon,,,17558092.0,ns,155572
single_random_i16,ChaCha8Rng,Canon,,,17787804.0,ns,157320
single_random_i16,ChaCha8Rng,Canon,,,17978794.0,ns,159068
single_random_i16,ChaCha8Rng,Canon,,,18241999.0,ns,160816
single_random_i16,ChaCha8Rng,Canon,,,18480299.0,ns,162564
single_random_i16,ChaCha8Rng,Canon,,,18555910.0,ns,164312
single_random_i16,ChaCha8Rng,Canon,,,18734156.0,ns,166060
single_random_i16,ChaCha8Rng,Canon,,,19023601.0,ns,167808
single_random_i16,ChaCha8Rng,Canon,,,19119581.0,ns,169556
single_random_i16,ChaCha8Rng,Canon,,,19365614.0,ns,171304
single_random_i16,ChaCha8Rng,Canon,,,19589707.0,ns,173052
single_random_i16,ChaCha8Rng,Canon,,,19799672.0,ns,174800
