group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Canon32,,,199555.0,ns,73831
single_random_i16,ChaCha8Rng,Canon32,,,394763.0,ns,147662
single_random_i16,ChaCha8Rng,Canon32,,,587386.0,ns,221493
single_random_i16,ChaCha8Rng,Canon32,,,792372.0,ns,295324
single_random_i16,ChaCha8Rng,Canon32,,,981778.0,ns,369155
single_random_i16,ChaCha8Rng,Canon32,,,1186823.0,ns,442986
single_random_i16,ChaCha8Rng,Canon32,,,1380308.0,ns,516817
single_random_i16,ChaCha8Rng,Canon32,,,1578601.0,ns,590648
single_random_i16,ChaCha8Rng,Canon32,,,1776123.0,ns,664479
single_random_i16,ChaCha8Rng,Canon32,,,1976450.0,ns,738310
single_random_i16,ChaCha8Rng,Canon32,,,2202485.0,ns,812141
single_random_i16,ChaCha8Rng,Canon32,,,2400097.0,ns,885972
single_random_i16,ChaCha8Rng,Canon32,,,2582521.0,ns,959803
single_random_i16,ChaCha8Rng,Canon32,,,2773640.0,ns,1033634
single_random_i16,ChaCha8Rng,Canon32,,,2974749.0,ns,1107465
single_random_i16,ChaCha8Rng,Canon32,,,3181748.0,ns,1181296
single_random_i16,ChaCha8Rng,Canon32,,,3358491.0,ns,1255127
single_random_i16,ChaCha8Rng,Canon32,,,3560732.0,ns,1328958
single_random_i16,ChaCha8Rng,Canon32,,,3786597.0,ns,1402789
single_random_i16,ChaCha8Rng,Canon32,,,3970754.0,ns,1476620
single_random_i16,ChaCha8Rng,Canon32,,,4155922.0,ns,1550451
single_random_i16,ChaCha8Rng,Canon32,,,4365136.0,ns,1624282
single_random_i16,ChaCha8Rng,Canon32,,,4584749.0,ns,1698113
single_random_i16,ChaCha8Rng,Canon32,,,4777362.0,ns,1771944
single_random_i16,ChaCha8Rng,Canon32,,,4986926.0,ns,1845775
single_random_i16,ChaCha8Rng,Canon32,,,5119666.0,ns,1919606
single_random_i16,ChaCha8Rng,Canon32,,,5316266.0,ns,1993437
single_random_i16,ChaCha8Rng,Canon32,,,5516823.0,ns,2067268
single_random_i16,ChaCha8Rng,Canon32,,,5716649.0,ns,2141099
single_random_i16,ChaCha8Rng,Canon32,,,5913030.0,ns,2214930
single_random_i16,ChaCha8Rng,Canon32,,,6125599.0,ns,2288761
single_random_i16,ChaCha8Rng,Canon32,,,6322068.0,ns,2362592
single_random_i16,ChaCha8Rng,Canon32,,,6533176.0,ns,2436423
single_random_i16,ChaCha8Rng,Canon32,,,6740186.0,ns,2510254
single_random_i16,ChaCha8Rng,Canon32,,,6935594.0,ns,2584085
single_random_i16,ChaCha8Rng,Canon32,,,7145870.0,ns,2657916
single_random_i16,ChaCha8Rng,Canon32,,,7317873.0,ns,2731747
single_random_i16,ChaCha8Rng,Canon32,,,7522658.0,ns,2805578
single_random_i16,ChaCha8Rng,Canon32,,,7723326.0,ns,2879409
single_random_i16,ChaCha8Rng,Canon32,,,7898286.0,ns,2953240
single_random_i16,ChaCha8Rng,Canon32,,,8060811.0,ns,3027071
single_random_i16,ChaCha8Rng,Canon32,,,8279122.0,ns,3100902
single_random_i16,ChaCha8Rng,Canon32,,,8435988.0,ns,3174733
single_random_i16,ChaCha8Rng,Canon32,,,8674216.0,ns,3248564
single_random_i16,ChaCha8Rng,Canon32,,,8838184.0,ns,3322395
