group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg32,Bitmask,,,197461.0,ns,42504
single_random_i16,Pcg32,Bitmask,,,395134.0,ns,85008
single_random_i16,Pcg32,Bitmask,,,594018.0,ns,127512
single_random_i16,Pcg32,Bitmask,,,790568.0,ns,170016
single_random_i16,Pcg32,Bitmask,,,989423.0,ns,212520
single_random_i16,Pcg32,Bitmask,,,1187656.0,ns,255024
single_random_i16,Pcg32,Bitmask,,,1383103.0,ns,297528
single_random_i16,Pcg32,Bitmask,,,1569344.0,ns,340032
single_random_i16,Pcg32,Bitmask,,,1781914.0,ns,382536
single_random_i16,Pcg32,Bitmask,,,1979977.0,ns,425040
single_random_i16,Pcg32,Bitmask,,,2170875.0,ns,467544
single_random_i16,Pcg32,Bitmask,,,2369439.0,ns,510048
single_random_i16,Pcg32,Bitmask,,,2564497.0,ns,552552
single_random_i16,Pcg32,Bitmask,,,2762419.0,ns,595056
single_random_i16,Pcg32,Bitmask,,,2968617.0,ns,637560
single_random_i16,Pcg32,Bitmask,,,3165107.0,ns,680064
single_random_i16,Pcg32,Bitmask,,,3357699.0,ns,722568
single_random_i16,Pcg32,Bitmask,,,3563496.0,ns,765072
single_random_i16,Pcg32,Bitmask,,,3753675.0,ns,807576
single_random_i16,Pcg32,Bitmask,,,3966526.0,ns,850080
single_random_i16,Pcg32,Bitmask,,,4147446.0,ns,892584
single_random_i16,Pcg32,Bitmask,,,4346781.0,ns,935088
single_random_i16,Pcg32,Bitmask,,,4546157.0,ns,977592
single_random_i16,Pcg32,Bitmask,,,4745452.0,ns,1020096
single_random_i16,Pcg32,Bitmask,,,4951669.0,ns,1062600
single_random_i16,Pcg32,Bitmask,,,5149381.0,ns,1105104
single_random_i16,Pcg32,Bitmask,,,5351712.0,ns,1147608
single_random_i16,Pcg32,Bitmask,,,5534537.0,ns,1190112
single_random_i16,Pcg32,Bitmask,,,5738420.0,ns,1232616
single_random_i16,Pcg32,Bitmask,,,5943997.0,ns,1275120
single_random_i16,Pcg32,Bitmask,,,6137932.0,ns,1317624
single_random_i16,Pcg32,Bitmask,,,6317650.0,ns,1360128
single_random_i16,Pcg32,Bitmask,,,6520081.0,ns,1402632
single_random_i16,Pcg32,Bitmask,,,6723043.0,ns,1445136
single_random_i16,Pcg32,Bitmask,,,6910847.0,ns,1487640
single_random_i16,Pcg32,Bitmask,,,7121644.0,ns,1530144
single_random_i16,Pcg32,Bitmask,,,7319546.0,ns,1572648
single_random_i16,Pcg32,Bitmask,,,7517899.0,ns,1615152
single_random_i16,Pcg32,Bitmask,,,7697007.0,ns,1657656
single_random_i16,Pcg32,Bitmask,,,7912973.0,ns,1700160
single_random_i16,Pcg32,Bitmask,,,8112889.0,ns,1742664
single_random_i16,Pcg32,Bitmask,,,8290974.0,ns,1785168
single_random_i16,Pcg32,Bitmask,,,8499717.0,ns,1827672
single_random_i16,Pcg32,Bitmask,,,8708219.0,ns,1870176
single_random_i16,Pcg32,Bitmask,,,8883851.0,ns,1912680
single_random_i16,Pcg32,Bitmask,,,9086311.0,ns,1955184
single_random_i16,Pcg32,Bitmask,,,9279405.0,ns,1997688
single_random_i16,Pcg32,Bitmask,,,9490922.0,ns,2040192
single_random_i16,Pcg32,Bitmask,,,9695328.0,ns,2082696
single_random_i16,Pcg32,Bitmask,,,9883000.0,ns,2125200
single_random_i16,Pcg32,Bitmask,,,10076074.0,ns,2167704
single_random_i16,Pcg32,Bitmask,,,10286530.0,ns,2210208
single_random_i16,Pcg32,Bitmask,,,10458955.0,ns,2252712
single_random_i16,Pcg32,Bitmask,,,10718163.0,ns,2295216
single_random_i16,Pcg32,Bitmask,,,10883945.0,ns,2337720
single_random_i16,Pcg32,Bitmask,,,11062762.0,ns,2380224
single_random_i16,Pcg32,Bitmask,,,11274189.0,ns,2422728
single_random_i16,Pcg32,Bitmask,,,11466581.0,ns,2465232
single_random_i16,Pcg32,Bitmask,,,11673171.0,ns,2507736
single_random_i16,Pcg32,Bitmask,,,11866294.0,ns,2550240
single_random_i16,Pcg32,Bitmask,,,12045561.0,ns,2592744
single_random_i16,Pcg32,Bitmask,,,12263501.0,ns,2635248
single_random_i16,Pcg32,Bitmask,,,12434162.0,ns,2677752
single_random_i16,Pcg32,Bitmask,,,12643236.0,ns,2720256
single_random_i16,Pcg32,Bitmask,,,12845526.0,ns,2762760
single_random_i16,Pcg32,Bitmask,,,13041124.0,ns,2805264
single_random_i16,Pcg32,Bitmask,,,13222346.0,ns,2847768
single_random_i16,Pcg32,Bitmask,,,13429215.0,ns,2890272
single_random_i16,Pcg32,Bitmask,,,13628179.0,ns,2932776
single_random_i16,Pcg32,Bitmask,,,13863362.0,ns,2975280
single_random_i16,Pcg32,Bitmask,,,14037520.0,ns,3017784
single_random_i16,Pcg32,Bitmask,,,14224001.0,ns,3060288
single_random_i16,Pcg32,Bitmask,,,14441721.0,ns,3102792
single_random_i16,Pcg32,Bitmask,,,14622782.0,ns,3145296
