group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg32,Canon-Lemire,,,197752.0,ns,51312
single_random_i16,Pcg32,Canon-Lemire,,,396767.0,ns,102624
single_random_i16,Pcg32,Canon-Lemire,,,593146.0,ns,153936
single_random_i16,Pcg32,Canon-Lemire,,,792020.0,ns,205248
single_random_i16,Pcg32,Canon-Lemire,,,989632.0,ns,256560
single_random_i16,Pcg32,Canon-Lemire,,,1187385.0,ns,307872
single_random_i16,Pcg32,Canon-Lemire,,,1386230.0,ns,359184
single_random_i16,Pcg32,Canon-Lemire,,,1583370.0,ns,410496
single_random_i16,Pcg32,Canon-Lemire,,,1781743.0,ns,461808
single_random_i16,Pcg32,Canon-Lemire,,,1979936.0,ns,513120
single_random_i16,Pcg32,Canon-Lemire,,,2177618.0,ns,564432
single_random_i16,Pcg32,Canon-Lemire,,,2369880.0,ns,615744
single_random_i16,Pcg32,Canon-Lemire,,,2573805.0,ns,667056
single_random_i16,Pcg32,Canon-Lemire,,,2762049.0,ns,718368
single_random_i16,Pcg32,Canon-Lemire,,,2969189.0,ns,769680
single_random_i16,Pcg32,Canon-Lemire,,,3145460.0,ns,820992
single_random_i16,Pcg32,Canon-Lemire,,,3364482.0,ns,872304
single_random_i16,Pcg32,Canon-Lemire,,,3563907.0,ns,923616
single_random_i16,Pcg32,Canon-Lemire,,,3762321.0,ns,974928
single_random_i16,Pcg32,Canon-Lemire,,,3960004.0,ns,1026240
single_random_i16,Pcg32,Canon-Lemire,,,4157395.0,ns,1077552
single_random_i16,Pcg32,Canon-Lemire,,,4354726.0,ns,1128864
single_random_i16,Pcg32,Canon-Lemire,,,4554071.0,ns,1180176
single_random_i16,Pcg32,Canon-Lemire,,,4738007.0,ns,1231488
single_random_i16,Pcg32,Canon-Lemire,,,4947532.0,ns,1282800
single_random_i16,Pcg32,Canon-Lemire,,,5141327.0,ns,1334112
single_random_i16,Pcg32,Canon-Lemire,,,5345461.0,ns,1385424
single_random_i16,Pcg32,Canon-Lemire,,,5541469.0,ns,1436736
single_random_i16,Pcg32,Canon-Lemire,,,5741175.0,ns,1488048
single_random_i16,Pcg32,Canon-Lemire,,,5935271.0,ns,1539360
single_random_i16,Pcg32,Canon-Lemire,,,6137502.0,ns,1590672
single_random_i16,Pcg32,Canon-Lemire,,,6334752.0,ns,1641984
single_random_i16,Pcg32,Canon-Lemire,,,6541351.0,ns,1693296
single_random_i16,Pcg32,Canon-Lemire,,,6719817.0,ns,1744608
single_random_i16,Pcg32,Canon-Lemire,,,6922960.0,ns,1795920
single_random_i16,Pcg32,Canon-Lemire,,,7121433.0,ns,1847232
single_random_i16,Pcg32,Canon-Lemire,,,7314577.0,ns,1898544
single_random_i16,Pcg32,Canon-Lemire,,,7504654.0,ns,1949856
single_random_i16,Pcg32,Canon-Lemire,,,7718388.0,ns,2001168
single_random_i16,Pcg32,Canon-Lemire,,,7881153.0,ns,2052480
single_random_i16,Pcg32,Canon-Lemire,,,8093583.0,ns,2103792
single_random_i16,Pcg32,Canon-Lemire,,,8313257.0,ns,2155104
single_random_i16,Pcg32,Canon-Lemire,,,8511199.0,ns,2206416
single_random_i16,Pcg32,Canon-Lemire,,,8706476.0,ns,2257728
single_random_i16,Pcg32,Canon-Lemire,,,8905771.0,ns,2309040
single_random_i16,Pcg32,Canon-Lemire,,,9103965.0,ns,2360352
single_random_i16,Pcg32,Canon-Lemire,,,9293802.0,ns,2411664
single_random_i16,Pcg32,Canon-Lemire,,,9500000.0,ns,2462976
single_random_i16,Pcg32,Canon-Lemire,,,9696671.0,ns,2514288
single_random_i16,Pcg32,Canon-Lemire,,,9896256.0,ns,2565600
single_random_i16,Pcg32,Canon-Lemire,,,10084961.0,ns,2616912
single_random_i16,Pcg32,Canon-Lemire,,,10292572.0,ns,2668224
single_random_i16,Pcg32,Canon-Lemire,,,10485866.0,ns,2719536
single_random_i16,Pcg32,Canon-Lemire,,,10675733.0,ns,2770848
single_random_i16,Pcg32,Canon-Lemire,,,10869898.0,ns,2822160
single_random_i16,Pcg32,Canon-Lemire,,,11083700.0,ns,2873472
single_random_i16,Pcg32,Canon-Lemire,,,11226179.0,ns,2924784
single_random_i16,Pcg32,Canon-Lemire,,,11458566.0,ns,2976096
single_random_i16,Pcg32,Canon-Lemire,,,11676316.0,ns,3027408
single_random_i16,Pcg32,Canon-Lemire,,,11858409.0,ns,3078720
single_random_i16,Pcg32,Canon-Lemire,,,12050631.0,ns,3130032
single_random_i16,Pcg32,Canon-Lemire,,,12266116.0,ns,3181344
single_random_i16,Pcg32,Canon-Lemire,,,12470370.0,ns,3232656
single_random_i16,Pcg32,Canon-Lemire,,,12661641.0,ns,3283968
single_random_i16,Pcg32,Canon-Lemire,,,12852320.0,ns,3335280
single_random_i16,Pcg32,Canon-Lemire,,,13060000.0,ns,3386592
single_random_i16,Pcg32,Canon-Lemire,,,13266359.0,ns,3437904
single_random_i16,Pcg32,Canon-Lemire,,,13442901.0,ns,3489216
single_random_i16,Pcg32,Canon-Lemire,,,13634060.0,ns,3540528
single_random_i16,Pcg32,Canon-Lemire,,,13802778.0,ns,3591840
single_random_i16,Pcg32,Canon-Lemire,,,14047940.0,ns,3643152
single_random_i16,Pcg32,Canon-Lemire,,,14250602.0,ns,3694464
single_random_i16,Pcg32,Canon-Lemire,,,14449015.0,ns,3745776
single_random_i16,Pcg32,Canon-Lemire,,,14645795.0,ns,3797088
single_random_i16,Pcg32,Canon-Lemire,,,14819182.0,ns,3848400
single_random_i16,Pcg32,Canon-Lemire,,,15039967.0,ns,3899712
single_random_i16,Pcg32,Canon-Lemire,,,15244291.0,ns,3951024
single_random_i16,Pcg32,Canon-Lemire,,,15435311.0,ns,4002336
single_random_i16,Pcg32,Canon-Lemire,,,15622413.0,ns,4053648
single_random_i16,Pcg32,Canon-Lemire,,,15831276.0,ns,4104960
single_random_i16,Pcg32,Canon-Lemire,,,16026093.0,ns,4156272
single_random_i16,Pcg32,Canon-Lemire,,,16190011.0,ns,4207584
single_random_i16,Pcg32,Canon-Lemire,,,16423030.0,ns,4258896
single_random_i16,Pcg32,Canon-Lemire,,,16634698.0,ns,4310208
single_random_i16,Pcg32,Canon-Lemire,,,16824455.0,ns,4361520
single_random_i16,Pcg32,Canon-Lemire,,,17006989.0,ns,4412832
single_random_i16,Pcg32,Canon-Lemire,,,17211644.0,ns,4464144
single_random_i16,Pcg32,Canon-Lemire,,,17418363.0,ns,4515456
single_random_i16,Pcg32,Canon-Lemire,,,17586870.0,ns,4566768
single_random_i16,Pcg32,Canon-Lemire,,,17804730.0,ns,4618080
single_random_i16,Pcg32,Canon-Lemire,,,17993585.0,ns,4669392
single_random_i16,Pcg32,Canon-Lemire,,,18209182.0,ns,4720704
single_random_i16,Pcg32,Canon-Lemire,,,18407936.0,ns,4772016
single_random_i16,Pcg32,Canon-Lemire,,,18588847.0,ns,4823328
single_random_i16,Pcg32,Canon-Lemire,,,18792440.0,ns,4874640
single_random_i16,Pcg32,Canon-Lemire,,,18993037.0,ns,4925952
single_random_i16,Pcg32,Canon-Lemire,,,19184587.0,ns,4977264
single_random_i16,Pcg32,Canon-Lemire,,,19380546.0,ns,5028576
single_random_i16,Pcg32,Canon-Lemire,,,19588688.0,ns,5079888
single_random_i16,Pcg32,Canon-Lemire,,,19788784.0,ns,5131200
