group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg32,Canon-Unbiased,,,196340.0,ns,1777
single_random_i16,Pcg32,Canon-Unbiased,,,393872.0,ns,3554
single_random_i16,Pcg32,Canon-Unbiased,,,588939.0,ns,5331
single_random_i16,Pcg32,Canon-Unbiased,,,786441.0,ns,7108
single_random_i16,Pcg32,Canon-Unbiased,,,982640.0,ns,8885
single_random_i16,Pcg32,Canon-Unbiased,,,1215027.0,ns,10662
single_random_i16,Pcg32,Canon-Unbiased,,,1375739.0,ns,12439
single_random_i16,Pcg32,Canon-Unbiased,,,1571889.0,ns,14216
single_random_i16,Pcg32,Canon-Unbiased,,,1769170.0,ns,15993
single_random_i16,Pcg32,Canon-Unbiased,,,1967954.0,ns,17770
single_random_i16,Pcg32,Canon-Unbiased,,,2182479.0,ns,19547
single_random_i16,Pcg32,Canon-Unbiased,,,2359872.0,ns,21324
single_random_i16,Pcg32,Canon-Unbiased,,,2554249.0,ns,23101
single_random_i16,Pcg32,Canon-Unbiased,,,2796675.0,ns,24878
single_random_i16,Pcg32,Canon-Unbiased,,,2952568.0,ns,26655
single_random_i16,Pcg32,Canon-Unbiased,,,3154328.0,ns,28432
single_random_i16,Pcg32,Canon-Unbiased,,,3352581.0,ns,30209
single_random_i16,Pcg32,Canon-Unbiased,,,3532099.0,ns,31986
single_random_i16,Pcg32,Canon-Unbiased,,,3768013.0,ns,33763
single_random_i16,Pcg32,Canon-Unbiased,,,3923656.0,ns,35540
single_random_i16,Pcg32,Canon-Unbiased,,,4127350.0,ns,37317
single_random_i16,Pcg32,Canon-Unbiased,,,4324741.0,ns,39094
single_random_i16,Pcg32,Canon-Unbiased,,,4538684.0,ns,40871
single_random_i16,Pcg32,Canon-Unbiased,,,4720686.0,ns,42648
single_random_i16,Pcg32,Canon-Unbiased,,,4908971.0,ns,44425
single_random_i16,Pcg32,Canon-Unbiased,,,5122573.0,ns,46202
single_random_i16,Pcg32,Canon-Unbiased,,,5345041.0,ns,47979
single_random_i16,Pcg32,Canon-Unbiased,,,5497869.0,ns,49756
single_random_i16,Pcg32,Canon-Unbiased,,,5696473.0,ns,51533
single_random_i16,Pcg32,Canon-Unbiased,,,5915756.0,ns,53310
single_random_i16,Pcg32,Canon-Unbiased,,,6089563.0,ns,55087
single_random_i16,Pcg32,Canon-Unbiased,,,6318685.0,ns,56864
single_random_i16,Pcg32,Canon-Unbiased,,,6483986.0,ns,58641
single_random_i16,Pcg32,Canon-Unbiased,,,6674715.0,ns,60418
single_random_i16,Pcg32,Canon-Unbiased,,,6936728.0,ns,62195
single_random_i16,Pcg32,Canon-Unbiased,,,7075630.0,ns,63972
single_random_i16,Pcg32,Canon-Unbiased,,,7291376.0,ns,65749
single_random_i16,Pcg32,Canon-Unbiased,,,7456637.0,ns,67526
single_random_i16,Pcg32,Canon-Unbiased,,,7701478.0,ns,69303
single_random_i16,Pcg32,Canon-Unbiased,,,7852813.0,ns,71080
single_random_i16,Pcg32,Canon-Unbiased,,,8044383.0,ns,72857
single_random_i16,Pcg32,Canon-Unbiased,,,8260470.0,ns,74634
single_random_i16,Pcg32,Canon-Unbiased,,,8438555.0,ns,76411
single_random_i16,Pcg32,Canon-Unbiased,,,8651716.0,ns,78188
single_random_i16,Pcg32,Canon-Unbiased,,,8871220.0,ns,79965
single_random_i16,Pcg32,Canon-Unbiased,,,9025981.0,ns,81742
single_random_i16,Pcg32,Canon-Unbiased,,,9220297.0,ns,83519
single_random_i16,Pcg32,Canon-Unbiased,,,9398612.0,ns,85296
single_random_i16,Pcg32,Canon-Unbiased,,,9639856.0,ns,87073
single_random_i16,Pcg32,Canon-Unbiased,,,9785380.0,ns,88850
single_random_i16,Pcg32,Canon-Unbiased,,,10011626.0,ns,90627
single_random_i16,Pcg32,Canon-Unbiased,,,10211533.0,ns,92404
single_random_i16,Pcg32,Canon-Unbiased,,,10370763.0,ns,94181
single_random_i16,Pcg32,Canon-Unbiased,,,10596527.0,ns,95958
single_random_i16,Pcg32,Canon-Unbiased,,,10759494.0,ns,97735
single_random_i16,Pcg32,Canon-Unbiased,,,10984397.0,ns,99512
single_random_i16,Pcg32,Canon-Unbiased,,,11188111.0,ns,101289
single_random_i16,Pcg32,Canon-Unbiased,,,11338844.0,ns,103066
single_random_i16,Pcg32,Canon-Unbiased,,,11561964.0,ns,104843
single_random_i16,Pcg32,Canon-Unbiased,,,11777601.0,ns,106620
single_random_i16,Pcg32,Canon-Unbiased,,,11957158.0,ns,108397
single_random_i16,Pcg32,Canon-Unbiased,,,12143860.0,ns,110174
single_random_i16,Pcg32,Canon-Unbiased,,,12366479.0,ns,111951
single_random_i16,Pcg32,Canon-Unbiased,,,12534635.0,ns,113728
single_random_i16,Pcg32,Canon-Unbiased,,,12726246.0,ns,115505
single_random_i16,Pcg32,Canon-Unbiased,,,12910433.0,ns,117282
single_random_i16,Pcg32,Canon-Unbiased,,,13144103.0,ns,119059
single_random_i16,Pcg32,Canon-Unbiased,,,13319884.0,ns,120836
single_random_i16,Pcg32,Canon-Unbiased,,,13531062.0,ns,122613
single_random_i16,Pcg32,Canon-Unbiased,,,13703476.0,ns,124390
single_random_i16,Pcg32,Canon-Unbiased,,,13883975.0,ns,126167
single_random_i16,Pcg32,Canon-Unbiased,,,14096967.0,ns,127944
single_random_i16,Pcg32,Canon-Unbiased,,,14304217.0,ns,129721
single_random_i16,Pcg32,Canon-Unbiased,,,14484466.0,ns,131498
single_random_i16,Pcg32,Canon-Unbiased,,,14714639.0,ns,133275
single_random_i16,Pcg32,Canon-Unbiased,,,14884930.0,ns,135052
single_random_i16,Pcg32,Canon-Unbiased,,,15081490.0,ns,136829
single_random_i16,Pcg32,Canon-Unbiased,,,15285935.0,ns,138606
single_random_i16,Pcg32,Canon-Unbiased,,,15460714.0,ns,140383
single_random_i16,Pcg32,Canon-Unbiased,,,15699844.0,ns,142160
single_random_i16,Pcg32,Canon-Unbiased,,,15886045.0,ns,143937
single_random_i16,Pcg32,Canon-Unbiased,,,16079398.0,ns,145714
single_random_i16,Pcg32,Canon-Unbiased,,,16265368.0,ns,147491
