group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg64,Canon-reduced,,,199035.0,ns,74781
single_random_i16,Pcg64,Canon-reduced,,,390836.0,ns,149562
single_random_i16,Pcg64,Canon-reduced,,,591333.0,ns,224343
single_random_i16,Pcg64,Canon-reduced,,,788083.0,ns,299124
single_random_i16,Pcg64,Canon-reduced,,,986607.0,ns,373905
single_random_i16,Pcg64,Canon-reduced,,,1180723.0,ns,448686
single_random_i16,Pcg64,Canon-reduced,,,1382833.0,ns,523467
single_random_i16,Pcg64,Canon-reduced,,,1574574.0,ns,598248
single_random_i16,Pcg64,Canon-reduced,,,1773558.0,ns,673029
single_random_i16,Pcg64,Canon-reduced,,,1970699.0,ns,747810
single_random_i16,Pcg64,Canon-reduced,,,2167219.0,ns,822591
single_random_i16,Pcg64,Canon-reduced,,,2375191.0,ns,897372
single_random_i16,Pcg64,Canon-reduced,,,2564096.0,ns,972153
single_random_i16,Pcg64,Canon-reduced,,,2759834.0,ns,1046934
single_random_i16,Pcg64,Canon-reduced,,,2954130.0,ns,1121715
single_random_i16,Pcg64,Canon-reduced,,,3157533.0,ns,1196496
single_random_i16,Pcg64,Canon-reduced,,,3353643.0,ns,1271277
single_random_i16,Pcg64,Canon-reduced,,,3545112.0,ns,1346058
single_random_i16,Pcg64,Canon-reduced,,,3739478.0,ns,1420839
single_random_i16,Pcg64,Canon-reduced,,,3945676.0,ns,1495620
single_random_i16,Pcg64,Canon-reduced,,,4144811.0,ns,1570401
single_random_i16,Pcg64,Canon-reduced,,,4334007.0,ns,1645182
single_random_i16,Pcg64,Canon-reduced,,,4535035.0,ns,1719963
single_random_i16,Pcg64,Canon-reduced,,,4731284.0,ns,1794744
single_random_i16,Pcg64,Canon-reduced,,,4922575.0,ns,1869525
single_random_i16,Pcg64,Canon-reduced,,,5127772.0,ns,1944306
single_random_i16,Pcg64,Canon-reduced,,,5314442.0,ns,2019087
single_random_i16,Pcg64,Canon-reduced,,,5522704.0,ns,2093868
single_random_i16,Pcg64,Canon-reduced,,,5704316.0,ns,2168649
single_random_i16,Pcg64,Canon-reduced,,,5898491.0,ns,2243430
single_random_i16,Pcg64,Canon-reduced,,,6096845.0,ns,2318211
single_random_i16,Pcg64,Canon-reduced,,,6289268.0,ns,2392992
single_random_i16,Pcg64,Canon-reduced,,,6487731.0,ns,2467773
single_random_i16,Pcg64,Canon-reduced,,,6690262.0,ns,2542554
single_random_i16,Pcg64,Canon-reduced,,,6886943.0,ns,2617335
single_random_i16,Pcg64,Canon-reduced,,,7072041.0,ns,2692116
single_random_i16,Pcg64,Canon-reduced,,,7272598.0,ns,2766897
single_random_i16,Pcg64,Canon-reduced,,,7457876.0,ns,2841678
single_random_i16,Pcg64,Canon-reduced,,,7646801.0,ns,2916459
single_random_i16,Pcg64,Canon-reduced,,,7848101.0,ns,2991240
single_random_i16,Pcg64,Canon-reduced,,,8041655.0,ns,3066021
single_random_i16,Pcg64,Canon-reduced,,,8241491.0,ns,3140802
single_random_i16,Pcg64,Canon-reduced,,,8446106.0,ns,3215583
single_random_i16,Pcg64,Canon-reduced,,,8635273.0,ns,3290364
single_random_i16,Pcg64,Canon-reduced,,,8820411.0,ns,3365145
single_random_i16,Pcg64,Canon-reduced,,,9030937.0,ns,3439926
single_random_i16,Pcg64,Canon-reduced,,,9238267.0,ns,3514707
single_random_i16,Pcg64,Canon-reduced,,,9439286.0,ns,3589488
single_random_i16,Pcg64,Canon-reduced,,,9631107.0,ns,3664269
single_random_i16,Pcg64,Canon-reduced,,,9806678.0,ns,3739050
single_random_i16,Pcg64,Canon-reduced,,,10020650.0,ns,3813831
single_random_i16,Pcg64,Canon-reduced,,,10206170.0,ns,3888612
single_random_i16,Pcg64,Canon-reduced,,,10389534.0,ns,3963393
single_random_i16,Pcg64,Canon-reduced,,,10602195.0,ns,4038174
single_random_i16,Pcg64,Canon-reduced,,,10784348.0,ns,4112955
single_random_i16,Pcg64,Canon-reduced,,,11089251.0,ns,4187736
single_random_i16,Pcg64,Canon-reduced,,,11232872.0,ns,4262517
single_random_i16,Pcg64,Canon-reduced,,,11412659.0,ns,4337298
single_random_i16,Pcg64,Canon-reduced,,,11587329.0,ns,4412079
single_random_i16,Pcg64,Canon-reduced,,,11777617.0,ns,4486860
single_random_i16,Pcg64,Canon-reduced,,,11961061.0,ns,4561641
single_random_i16,Pcg64,Canon-reduced,,,12181397.0,ns,4636422
single_random_i16,Pcg64,Canon-reduced,,,12333643.0,ns,4711203
single_random_i16,Pcg64,Canon-reduced,,,12546183.0,ns,4785984
single_random_i16,Pcg64,Canon-reduced,,,12731442.0,ns,4860765
single_random_i16,Pcg64,Canon-reduced,,,12944112.0,ns,4935546
single_random_i16,Pcg64,Canon-reduced,,,13136714.0,ns,5010327
single_random_i16,Pcg64,Canon-reduced,,,13329768.0,ns,5085108
single_random_i16,Pcg64,Canon-reduced,,,13525176.0,ns,5159889
single_random_i16,Pcg64,Canon-reduced,,,13714532.0,ns,5234670
single_random_i16,Pcg64,Canon-reduced,,,13925278.0,ns,5309451
single_random_i16,Pcg64,Canon-reduced,,,14110107.0,ns,5384232
single_random_i16,Pcg64,Canon-reduced,,,14302459.0,ns,5459013
single_random_i16,Pcg64,Canon-reduced,,,14496093.0,ns,5533794
single_random_i16,Pcg64,Canon-reduced,,,14684558.0,ns,5608575
single_random_i16,Pcg64,Canon-reduced,,,14881799.0,ns,5683356
single_random_i16,Pcg64,Canon-reduced,,,15091874.0,ns,5758137
single_random_i16,Pcg64,Canon-reduced,,,15289466.0,ns,5832918
single_random_i16,Pcg64,Canon-reduced,,,15464325.0,ns,5907699
single_random_i16,Pcg64,Canon-reduced,,,15696242.0,ns,5982480
single_random_i16,Pcg64,Canon-reduced,,,15857826.0,ns,6057261
single_random_i16,Pcg64,Canon-reduced,,,16061129.0,ns,6132042
single_random_i16,Pcg64,Canon-reduced,,,16262889.0,ns,6206823
single_random_i16,Pcg64,Canon-reduced,,,16460901.0,ns,6281604
single_random_i16,Pcg64,Canon-reduced,,,16677959.0,ns,6356385
single_random_i16,Pcg64,Canon-reduced,,,16883997.0,ns,6431166
single_random_i16,Pcg64,Canon-reduced,,,17090025.0,ns,6505947
single_random_i16,Pcg64,Canon-reduced,,,17255166.0,ns,6580728
single_random_i16,Pcg64,Canon-reduced,,,17459901.0,ns,6655509
single_random_i16,Pcg64,Canon-reduced,,,17620864.0,ns,6730290
single_random_i16,Pcg64,Canon-reduced,,,17823265.0,ns,6805071
single_random_i16,Pcg64,Canon-reduced,,,18004656.0,ns,6879852
single_random_i16,Pcg64,Canon-reduced,,,18199233.0,ns,6954633
single_random_i16,Pcg64,Canon-reduced,,,18403898.0,ns,7029414
single_random_i16,Pcg64,Canon-reduced,,,18585019.0,ns,7104195
single_random_i16,Pcg64,Canon-reduced,,,18793030.0,ns,7178976
single_random_i16,Pcg64,Canon-reduced,,,18972047.0,ns,7253757
single_random_i16,Pcg64,Canon-reduced,,,19161904.0,ns,7328538
single_random_i16,Pcg64,Canon-reduced,,,19373763.0,ns,7403319
single_random_i16,Pcg64,Canon-reduced,,,19570013.0,ns,7478100
