group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon-Unbiased,,,200627.0,ns,86590
single_random_i16,SmallRng,Canon-Unbiased,,,418277.0,ns,173180
single_random_i16,SmallRng,Canon-Unbiased,,,594660.0,ns,259770
single_random_i16,SmallRng,Canon-Unbiased,,,789767.0,ns,346360
single_random_i16,SmallRng,Canon-Unbiased,,,988330.0,ns,432950
single_random_i16,SmallRng,Canon-Unbiased,,,1181854.0,ns,519540
single_random_i16,SmallRng,Canon-Unbiased,,,1378514.0,ns,606130
single_random_i16,SmallRng,Canon-Unbiased,,,1604380.0,ns,692720
single_random_i16,SmallRng,Canon-Unbiased,,,1773247.0,ns,779310
single_random_i16,SmallRng,Canon-Unbiased,,,1985005.0,ns,865900
single_random_i16,SmallRng,Canon-Unbiased,,,2190172.0,ns,952490
single_random_i16,SmallRng,Canon-Unbiased,,,2368347.0,ns,1039080
single_random_i16,SmallRng,Canon-Unbiased,,,2561922.0,ns,1125670
single_random_i16,SmallRng,Canon-Unbiased,,,2758803.0,ns,1212260
single_random_i16,SmallRng,Canon-Unbiased,,,2982824.0,ns,1298850
single_random_i16,SmallRng,Canon-Unbiased,,,3151792.0,ns,1385440
single_random_i16,SmallRng,Canon-Unbiased,,,3349103.0,ns,1472030
single_random_i16,SmallRng,Canon-Unbiased,,,3551685.0,ns,1558620
single_random_i16,SmallRng,Canon-Unbiased,,,3748355.0,ns,1645210
single_random_i16,SmallRng,Canon-Unbiased,,,3976624.0,ns,1731800
single_random_i16,SmallRng,Canon-Unbiased,,,4161923.0,ns,1818390
single_random_i16,SmallRng,Canon-Unbiased,,,4340640.0,ns,1904980
single_random_i16,SmallRng,Canon-Unbiased,,,4532892.0,ns,1991570
single_random_i16,SmallRng,Canon-Unbiased,,,4755159.0,ns,2078160
single_random_i16,SmallRng,Canon-Unbiased,,,4924699.0,ns,2164750
single_random_i16,SmallRng,Canon-Unbiased,,,5124686.0,ns,2251340
single_random_i16,SmallRng,Canon-Unbiased,,,5333568.0,ns,2337930
single_random_i16,SmallRng,Canon-Unbiased,,,5594480.0,ns,2424520
single_random_i16,SmallRng,Canon-Unbiased,,,5814984.0,ns,2511110
single_random_i16,SmallRng,Canon-Unbiased,,,5938357.0,ns,2597700
single_random_i16,SmallRng,Canon-Unbiased,,,6106844.0,ns,2684290
single_random_i16,SmallRng,Canon-Unbiased,,,6311168.0,ns,2770880
single_random_i16,SmallRng,Canon-Unbiased,,,6528848.0,ns,2857470
single_random_i16,SmallRng,Canon-Unbiased,,,6696804.0,ns,2944060
single_random_i16,SmallRng,Canon-Unbiased,,,6953177.0,ns,3030650
single_random_i16,SmallRng,Canon-Unbiased,,,7096727.0,ns,3117240
single_random_i16,SmallRng,Canon-Unbiased,,,7300751.0,ns,3203830
single_random_i16,SmallRng,Canon-Unbiased,,,7505155.0,ns,3290420
single_random_i16,SmallRng,Canon-Unbiased,,,7685415.0,ns,3377010
single_random_i16,SmallRng,Canon-Unbiased,,,8035053.0,ns,3463600
single_random_i16,SmallRng,Canon-Unbiased,,,8078635.0,ns,3550190
single_random_i16,SmallRng,Canon-Unbiased,,,8304190.0,ns,3636780
single_random_i16,SmallRng,Canon-Unbiased,,,8473608.0,ns,3723370
single_random_i16,SmallRng,Canon-Unbiased,,,8685127.0,ns,3809960
single_random_i16,SmallRng,Canon-Unbiased,,,8903778.0,ns,3896550
single_random_i16,SmallRng,Canon-Unbiased,,,9089817.0,ns,3983140
single_random_i16,SmallRng,Canon-Unbiased,,,9276590.0,ns,4069730
single_random_i16,SmallRng,Canon-Unbiased,,,9455066.0,ns,4156320
single_random_i16,SmallRng,Canon-Unbiased,,,9717209.0,ns,4242910
single_random_i16,SmallRng,Canon-Unbiased,,,9876148.0,ns,4329500
single_random_i16,SmallRng,Canon-Unbiased,,,10076245.0,ns,4416090
single_random_i16,SmallRng,Canon-Unbiased,,,10246375.0,ns,4502680
single_random_i16,SmallRng,Canon-Unbiased,,,10488370.0,ns,4589270
single_random_i16,SmallRng,Canon-Unbiased,,,10664833.0,ns,4675860
single_random_i16,SmallRng,Canon-Unbiased,,,10833399.0,ns,4762450
single_random_i16,SmallRng,Canon-Unbiased,,,11045649.0,ns,4849040
single_random_i16,SmallRng,Canon-Unbiased,,,11286412.0,ns,4935630
single_random_i16,SmallRng,Canon-Unbiased,,,11433238.0,ns,5022220
single_random_i16,SmallRng,Canon-Unbiased,,,11639136.0,ns,5108810
single_random_i16,SmallRng,Canon-Unbiased,,,11842419.0,ns,5195400
single_random_i16,SmallRng,Canon-Unbiased,,,12039399.0,ns,5281990
single_random_i16,SmallRng,Canon-Unbiased,,,12211173.0,ns,5368580
single_random_i16,SmallRng,Canon-Unbiased,,,12423662.0,ns,5455170
single_random_i16,SmallRng,Canon-Unbiased,,,12640981.0,ns,5541760
single_random_i16,SmallRng,Canon-Unbiased,,,12817534.0,ns,5628350
single_random_i16,SmallRng,Canon-Unbiased,,,13005728.0,ns,5714940
single_random_i16,SmallRng,Canon-Unbiased,,,13223488.0,ns,5801530
single_random_i16,SmallRng,Canon-Unbiased,,,13416000.0,ns,5888120
single_random_i16,SmallRng,Canon-Unbiased,,,13608663.0,ns,5974710
single_random_i16,SmallRng,Canon-Unbiased,,,13821584.0,ns,6061300
single_random_i16,SmallRng,Canon-Unbiased,,,13983999.0,ns,6147890
single_random_i16,SmallRng,Canon-Unbiased,,,14200126.0,ns,6234480
single_random_i16,SmallRng,Canon-Unbiased,,,14416404.0,ns,6321070
single_random_i16,SmallRng,Canon-Unbiased,,,14613294.0,ns,6407660
single_random_i16,SmallRng,Canon-Unbiased,,,14811847.0,ns,6494250
single_random_i16,SmallRng,Canon-Unbiased,,,14994311.0,ns,6580840
single_random_i16,SmallRng,Canon-Unbiased,,,15182084.0,ns,6667430
single_random_i16,SmallRng,Canon-Unbiased,,,15400886.0,ns,6754020
single_random_i16,SmallRng,Canon-Unbiased,,,15579482.0,ns,6840610
single_random_i16,SmallRng,Canon-Unbiased,,,15787373.0,ns,6927200
single_random_i16,SmallRng,Canon-Unbiased,,,15992920.0,ns,7013790
single_random_i16,SmallRng,Canon-Unbiased,,,16207364.0,ns,7100380
single_random_i16,SmallRng,Canon-Unbiased,,,16447846.0,ns,7186970
single_random_i16,SmallRng,Canon-Unbiased,,,16583361.0,ns,7273560
single_random_i16,SmallRng,Canon-Unbiased,,,16790041.0,ns,7360150
single_random_i16,SmallRng,Canon-Unbiased,,,16980429.0,ns,7446740
single_random_i16,SmallRng,Canon-Unbiased,,,17166309.0,ns,7533330
single_random_i16,SmallRng,Canon-Unbiased,,,17404867.0,ns,7619920
single_random_i16,SmallRng,Canon-Unbiased,,,17547015.0,ns,7706510
single_random_i16,SmallRng,Canon-Unbiased,,,17787868.0,ns,7793100
single_random_i16,SmallRng,Canon-Unbiased,,,17952338.0,ns,7879690
single_random_i16,SmallRng,Canon-Unbiased,,,18175458.0,ns,7966280
single_random_i16,SmallRng,Canon-Unbiased,,,18344887.0,ns,8052870
single_random_i16,SmallRng,Canon-Unbiased,,,18567316.0,ns,8139460
single_random_i16,SmallRng,Canon-Unbiased,,,18737065.0,ns,8226050
single_random_i16,SmallRng,Canon-Unbiased,,,18925690.0,ns,8312640
single_random_i16,SmallRng,Canon-Unbiased,,,19177143.0,ns,8399230
single_random_i16,SmallRng,Canon-Unbiased,,,19334159.0,ns,8485820
single_random_i16,SmallRng,Canon-Unbiased,,,19557940.0,ns,8572410
single_random_i16,SmallRng,Canon-Unbiased,,,19711880.0,ns,8659000
