group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon-reduced,,,197682.0,ns,107475
single_random_i16,SmallRng,Canon-reduced,,,395334.0,ns,214950
single_random_i16,SmallRng,Canon-reduced,,,595030.0,ns,322425
single_random_i16,SmallRng,Canon-reduced,,,791710.0,ns,429900
single_random_i16,SmallRng,Canon-reduced,,,989282.0,ns,537375
single_random_i16,SmallRng,Canon-reduced,,,1186934.0,ns,644850
single_random_i16,SmallRng,Canon-reduced,,,1381871.0,ns,752325
single_random_i16,SmallRng,Canon-reduced,,,1578651.0,ns,859800
single_random_i16,SmallRng,Canon-reduced,,,1779168.0,ns,967275
single_random_i16,SmallRng,Canon-reduced,,,1971751.0,ns,1074750
single_random_i16,SmallRng,Canon-reduced,,,2170344.0,ns,1182225
single_random_i16,SmallRng,Canon-reduced,,,2373467.0,ns,1289700
single_random_i16,SmallRng,Canon-reduced,,,2556892.0,ns,1397175
single_random_i16,SmallRng,Canon-reduced,,,2766898.0,ns,1504650
single_random_i16,SmallRng,Canon-reduced,,,2965591.0,ns,1612125
single_random_i16,SmallRng,Canon-reduced,,,3153104.0,ns,1719600
single_random_i16,SmallRng,Canon-reduced,,,3351999.0,ns,1827075
single_random_i16,SmallRng,Canon-reduced,,,3554059.0,ns,1934550
single_random_i16,SmallRng,Canon-reduced,,,3747954.0,ns,2042025
single_random_i16,SmallRng,Canon-reduced,,,3931379.0,ns,2149500
single_random_i16,SmallRng,Canon-reduced,,,4141424.0,ns,2256975
single_random_i16,SmallRng,Canon-reduced,,,4341170.0,ns,2364450
single_random_i16,SmallRng,Canon-reduced,,,4528663.0,ns,2471925
single_random_i16,SmallRng,Canon-reduced,,,4732527.0,ns,2579400
single_random_i16,SmallRng,Canon-reduced,,,4925269.0,ns,2686875
single_random_i16,SmallRng,Canon-reduced,,,5136678.0,ns,2794350
single_random_i16,SmallRng,Canon-reduced,,,5323700.0,ns,2901825
single_random_i16,SmallRng,Canon-reduced,,,5520220.0,ns,3009300
single_random_i16,SmallRng,Canon-reduced,,,5724504.0,ns,3116775
single_random_i16,SmallRng,Canon-reduced,,,5909301.0,ns,3224250
single_random_i16,SmallRng,Canon-reduced,,,6122894.0,ns,3331725
single_random_i16,SmallRng,Canon-reduced,,,6306148.0,ns,3439200
single_random_i16,SmallRng,Canon-reduced,,,6512467.0,ns,3546675
single_random_i16,SmallRng,Canon-reduced,,,6700872.0,ns,3654150
single_random_i16,SmallRng,Canon-reduced,,,6893625.0,ns,3761625
single_random_i16,SmallRng,Canon-reduced,,,7085486.0,ns,3869100
single_random_i16,SmallRng,Canon-reduced,,,7296002.0,ns,3976575
single_random_i16,SmallRng,Canon-reduced,,,7483164.0,ns,4084050
single_random_i16,SmallRng,Canon-reduced,,,7672641.0,ns,4191525
single_random_i16,SmallRng,Canon-reduced,,,7881503.0,ns,4299000
single_random_i16,SmallRng,Canon-reduced,,,8051714.0,ns,4406475
single_random_i16,SmallRng,Canon-reduced,,,8274834.0,ns,4513950
single_random_i16,SmallRng,Canon-reduced,,,8463990.0,ns,4621425
single_random_i16,SmallRng,Canon-reduced,,,8658716.0,ns,4728900
single_random_i16,SmallRng,Canon-reduced,,,8843875.0,ns,4836375
single_random_i16,SmallRng,Canon-reduced,,,9036327.0,ns,4943850
single_random_i16,SmallRng,Canon-reduced,,,9236214.0,ns,5051325
single_random_i16,SmallRng,Canon-reduced,,,9429567.0,ns,5158800
single_random_i16,SmallRng,Canon-reduced,,,9622571.0,ns,5266275
single_random_i16,SmallRng,Canon-reduced,,,9816766.0,ns,5373750
single_random_i16,SmallRng,Canon-reduced,,,10016743.0,ns,5481225
single_random_i16,SmallRng,Canon-reduced,,,10193095.0,ns,5588700
